Index       V(D)              V(G)              I(VD)      
228     -3.30000000e-01   -7.00000000e-01    2.05719108e-05
229     -3.20000000e-01   -7.00000000e-01    2.02457248e-05
230     -3.10000000e-01   -7.00000000e-01    1.98998218e-05
231     -3.00000000e-01   -7.00000000e-01    1.95341651e-05
232     -2.90000000e-01   -7.00000000e-01    1.91487520e-05
233     -2.80000000e-01   -7.00000000e-01    1.87436102e-05
234     -2.70000000e-01   -7.00000000e-01    1.83187940e-05
235     -2.60000000e-01   -7.00000000e-01    1.78743818e-05
236     -2.50000000e-01   -7.00000000e-01    1.74104724e-05
237     -2.40000000e-01   -7.00000000e-01    1.69271832e-05
238     -2.30000000e-01   -7.00000000e-01    1.64246476e-05
239     -2.20000000e-01   -7.00000000e-01    1.59030129e-05
240     -2.10000000e-01   -7.00000000e-01    1.53624383e-05
241     -2.00000000e-01   -7.00000000e-01    1.48030940e-05
242     -1.90000000e-01   -7.00000000e-01    1.42251588e-05
243     -1.80000000e-01   -7.00000000e-01    1.36288199e-05
244     -1.70000000e-01   -7.00000000e-01    1.30142714e-05
245     -1.60000000e-01   -7.00000000e-01    1.23817134e-05
246     -1.50000000e-01   -7.00000000e-01    1.17313519e-05
247     -1.40000000e-01   -7.00000000e-01    1.10633980e-05
248     -1.30000000e-01   -7.00000000e-01    1.03780681e-05
249     -1.20000000e-01   -7.00000000e-01    9.67558370e-06
250     -1.10000000e-01   -7.00000000e-01    8.95617188e-06
251     -1.00000000e-01   -7.00000000e-01    8.22006582e-06
252     -9.00000000e-02   -7.00000000e-01    7.46750512e-06
253     -8.00000000e-02   -7.00000000e-01    6.69873525e-06
254     -7.00000000e-02   -7.00000000e-01    5.91400517e-06
255     -6.00000000e-02   -7.00000000e-01    5.11356424e-06
256     -5.00000000e-02   -7.00000000e-01    4.29766805e-06
257     -4.00000000e-02   -7.00000000e-01    3.46661323e-06
258     -3.00000000e-02   -7.00000000e-01    2.62080265e-06
259     -2.00000000e-02   -7.00000000e-01    1.76077026e-06
260     -1.00000000e-02   -7.00000000e-01    8.87058966e-07
261      0.00000000e+00   -7.00000000e-01    2.41699388e-28
262     -1.30000000e+00   -4.00000000e-01    8.31800795e-06
263     -1.29000000e+00   -4.00000000e-01    8.28520825e-06
264     -1.28000000e+00   -4.00000000e-01    8.25246714e-06
265     -1.27000000e+00   -4.00000000e-01    8.21978527e-06
266     -1.26000000e+00   -4.00000000e-01    8.18716335e-06
267     -1.25000000e+00   -4.00000000e-01    8.15460211e-06
268     -1.24000000e+00   -4.00000000e-01    8.12210236e-06
269     -1.23000000e+00   -4.00000000e-01    8.08966492e-06
270     -1.22000000e+00   -4.00000000e-01    8.05729071e-06
271     -1.21000000e+00   -4.00000000e-01    8.02498066e-06
272     -1.20000000e+00   -4.00000000e-01    7.99273580e-06
273     -1.19000000e+00   -4.00000000e-01    7.96055720e-06
274     -1.18000000e+00   -4.00000000e-01    7.92844601e-06
275     -1.17000000e+00   -4.00000000e-01    7.89640347e-06
276     -1.16000000e+00   -4.00000000e-01    7.86443086e-06
277     -1.15000000e+00   -4.00000000e-01    7.83252959e-06
278     -1.14000000e+00   -4.00000000e-01    7.80070113e-06
279     -1.13000000e+00   -4.00000000e-01    7.76894707e-06
280     -1.12000000e+00   -4.00000000e-01    7.73726909e-06
281     -1.11000000e+00   -4.00000000e-01    7.70566900e-06
282     -1.10000000e+00   -4.00000000e-01    7.67414871e-06
283     -1.09000000e+00   -4.00000000e-01    7.64271029e-06
284     -1.08000000e+00   -4.00000000e-01    7.61135591e-06
285     -1.07000000e+00   -4.00000000e-01    7.58008792e-06
286     -1.06000000e+00   -4.00000000e-01    7.54890881e-06
287     -1.05000000e+00   -4.00000000e-01    7.51782127e-06
288     -1.04000000e+00   -4.00000000e-01    7.48682815e-06
289     -1.03000000e+00   -4.00000000e-01    7.45593249e-06
290     -1.02000000e+00   -4.00000000e-01    7.42513758e-06
291     -1.01000000e+00   -4.00000000e-01    7.39444688e-06
292     -1.00000000e+00   -4.00000000e-01    7.36386415e-06
293     -9.90000000e-01   -4.00000000e-01    7.33339337e-06
294     -9.80000000e-01   -4.00000000e-01    7.30303881e-06
295     -9.70000000e-01   -4.00000000e-01    7.27280506e-06
296     -9.60000000e-01   -4.00000000e-01    7.24269698e-06
297     -9.50000000e-01   -4.00000000e-01    7.21271982e-06
298     -9.40000000e-01   -4.00000000e-01    7.18287917e-06
299     -9.30000000e-01   -4.00000000e-01    7.15318102e-06
300     -9.20000000e-01   -4.00000000e-01    7.12363174e-06
301     -9.10000000e-01   -4.00000000e-01    7.09423820e-06
302     -9.00000000e-01   -4.00000000e-01    7.06500769e-06
303     -8.90000000e-01   -4.00000000e-01    7.03594802e-06
304     -8.80000000e-01   -4.00000000e-01    7.00706753e-06
305     -8.70000000e-01   -4.00000000e-01    6.97837512e-06
306     -8.60000000e-01   -4.00000000e-01    6.94988027e-06
307     -8.50000000e-01   -4.00000000e-01    6.92159312e-06
308     -8.40000000e-01   -4.00000000e-01    6.89352443e-06
309     -8.30000000e-01   -4.00000000e-01    6.86568566e-06
310     -8.20000000e-01   -4.00000000e-01    6.83808900e-06
311     -8.10000000e-01   -4.00000000e-01    6.81074739e-06
312     -8.00000000e-01   -4.00000000e-01    6.78367454e-06
313     -7.90000000e-01   -4.00000000e-01    6.75688496e-06
314     -7.80000000e-01   -4.00000000e-01    6.73039398e-06
315     -7.70000000e-01   -4.00000000e-01    6.70421779e-06
316     -7.60000000e-01   -4.00000000e-01    6.67837339e-06
317     -7.50000000e-01   -4.00000000e-01    6.65287865e-06
318     -7.40000000e-01   -4.00000000e-01    6.62775228e-06
319     -7.30000000e-01   -4.00000000e-01    6.60301379e-06
320     -7.20000000e-01   -4.00000000e-01    6.57868348e-06
321     -7.10000000e-01   -4.00000000e-01    6.55478238e-06
322     -7.00000000e-01   -4.00000000e-01    6.53133220e-06
323     -6.90000000e-01   -4.00000000e-01    6.50835524e-06
324     -6.80000000e-01   -4.00000000e-01    6.48587426e-06
325     -6.70000000e-01   -4.00000000e-01    6.46391240e-06
326     -6.60000000e-01   -4.00000000e-01    6.44249297e-06
327     -6.50000000e-01   -4.00000000e-01    6.42163933e-06
328     -6.40000000e-01   -4.00000000e-01    6.40137467e-06
329     -6.30000000e-01   -4.00000000e-01    6.38172175e-06
330     -6.20000000e-01   -4.00000000e-01    6.36270270e-06
331     -6.10000000e-01   -4.00000000e-01    6.34433872e-06
332     -6.00000000e-01   -4.00000000e-01    6.32664979e-06
333     -5.90000000e-01   -4.00000000e-01    6.30965439e-06
334     -5.80000000e-01   -4.00000000e-01    6.29336913e-06
335     -5.70000000e-01   -4.00000000e-01    6.27780849e-06
336     -5.60000000e-01   -4.00000000e-01    6.26298449e-06
337     -5.50000000e-01   -4.00000000e-01    6.24890634e-06
338     -5.40000000e-01   -4.00000000e-01    6.23558023e-06
339     -5.30000000e-01   -4.00000000e-01    6.22300900e-06
340     -5.20000000e-01   -4.00000000e-01    6.21119198e-06
341     -5.10000000e-01   -4.00000000e-01    6.20012473e-06
342     -5.00000000e-01   -4.00000000e-01    6.18979892e-06
343     -4.90000000e-01   -4.00000000e-01    6.18020220e-06
344     -4.80000000e-01   -4.00000000e-01    6.17131811e-06
345     -4.70000000e-01   -4.00000000e-01    6.16312596e-06
346     -4.60000000e-01   -4.00000000e-01    6.15560078e-06
347     -4.50000000e-01   -4.00000000e-01    6.14871313e-06
348     -4.40000000e-01   -4.00000000e-01    6.14242888e-06
349     -4.30000000e-01   -4.00000000e-01    6.13670883e-06
350     -4.20000000e-01   -4.00000000e-01    6.13150803e-06
351     -4.10000000e-01   -4.00000000e-01    6.12677481e-06
352     -4.00000000e-01   -4.00000000e-01    6.12244925e-06
353     -3.90000000e-01   -4.00000000e-01    6.11846089e-06
354     -3.80000000e-01   -4.00000000e-01    6.11472550e-06
355     -3.70000000e-01   -4.00000000e-01    6.11114043e-06
356     -3.60000000e-01   -4.00000000e-01    6.10757820e-06
357     -3.50000000e-01   -4.00000000e-01    6.10387772e-06
358     -3.40000000e-01   -4.00000000e-01    6.09983270e-06
359     -3.30000000e-01   -4.00000000e-01    6.09517663e-06
360     -3.20000000e-01   -4.00000000e-01    6.08956419e-06
361     -3.10000000e-01   -4.00000000e-01    6.08254947e-06
362     -3.00000000e-01   -4.00000000e-01    6.07356254e-06
363     -2.90000000e-01   -4.00000000e-01    6.06188718e-06
364     -2.80000000e-01   -4.00000000e-01    6.04664474e-06
365     -2.70000000e-01   -4.00000000e-01    6.02678933e-06
366     -2.60000000e-01   -4.00000000e-01    6.00111959e-06
367     -2.50000000e-01   -4.00000000e-01    5.96830856e-06
368     -2.40000000e-01   -4.00000000e-01    5.92694911e-06
369     -2.30000000e-01   -4.00000000e-01    5.87560784e-06
370     -2.20000000e-01   -4.00000000e-01    5.81287809e-06
371     -2.10000000e-01   -4.00000000e-01    5.73742365e-06
372     -2.00000000e-01   -4.00000000e-01    5.64800925e-06
373     -1.90000000e-01   -4.00000000e-01    5.54351906e-06
374     -1.80000000e-01   -4.00000000e-01    5.42296576e-06
375     -1.70000000e-01   -4.00000000e-01    5.28549182e-06
376     -1.60000000e-01   -4.00000000e-01    5.13036480e-06
377     -1.50000000e-01   -4.00000000e-01    4.95696883e-06
378     -1.40000000e-01   -4.00000000e-01    4.76479443e-06
379     -1.30000000e-01   -4.00000000e-01    4.55342795e-06
380     -1.20000000e-01   -4.00000000e-01    4.32254174e-06
381     -1.10000000e-01   -4.00000000e-01    4.07188522e-06
382     -1.00000000e-01   -4.00000000e-01    3.80127708e-06
383     -9.00000000e-02   -4.00000000e-01    3.51059833e-06
384     -8.00000000e-02   -4.00000000e-01    3.19978488e-06
385     -7.00000000e-02   -4.00000000e-01    2.86881854e-06
386     -6.00000000e-02   -4.00000000e-01    2.51771746e-06
387     -5.00000000e-02   -4.00000000e-01    2.14653987e-06
388     -4.00000000e-02   -4.00000000e-01    1.75542914e-06
389     -3.00000000e-02   -4.00000000e-01    1.34470365e-06
390     -2.00000000e-02   -4.00000000e-01    9.14892300e-07
391     -1.00000000e-02   -4.00000000e-01    4.66561787e-07
392      0.00000000e+00   -4.00000000e-01   -1.48321551e-28
End of Xyce(TM) Simulation
