Index       TIME              V(VI)             V(1)              V(2)              V(3)              V(4)              V(VO)      
122      1.05714446e-06    6.75692129e-01    2.13085354e-01    2.25779288e-01    1.03625200e+00    1.31355964e-02    1.00136177e+00
123      1.06095387e-06    6.86845177e-01    1.70285796e-01    2.97422590e-01    1.04491301e+00    1.26103917e-02    1.00025873e+00
124      1.06411233e-06    6.96011538e-01    1.42931838e-01    3.58113937e-01    1.04735247e+00    1.04235365e-02    9.98511649e-01
125      1.06727080e-06    7.05100706e-01    1.23309728e-01    4.17056388e-01    1.04320715e+00    6.68486067e-03    9.96391533e-01
126      1.07042927e-06    7.14109101e-01    1.09751218e-01    4.72575523e-01    1.03135164e+00    1.82888878e-03    9.94396034e-01
127      1.07358773e-06    7.23033175e-01    1.00183713e-01    5.23675188e-01    1.01141994e+00   -3.65784270e-03    9.92846997e-01
128      1.07674620e-06    7.31869414e-01    9.30003908e-02    5.70093555e-01    9.83406413e-01   -9.41350377e-03    9.91829182e-01
129      1.07990467e-06    7.40614339e-01    8.71211893e-02    6.11742176e-01    9.47382414e-01   -1.52215234e-02    9.91272534e-01
130      1.08306313e-06    7.49264505e-01    8.19217401e-02    6.48796698e-01    9.03171413e-01   -2.09974551e-02    9.91031962e-01
131      1.08805270e-06    7.62728200e-01    7.48197104e-02    7.01000825e-01    8.13534408e-01   -3.05826825e-02    9.90616211e-01
132      1.09160376e-06    7.72153760e-01    7.10557487e-02    7.37363375e-01    7.28426258e-01   -3.96886808e-02    9.89006226e-01
133      1.09479972e-06    7.80521061e-01    6.83360520e-02    7.69855934e-01    6.33988571e-01   -4.89477054e-02    9.87441647e-01
134      1.09725715e-06    7.86878106e-01    6.55918325e-02    7.90852195e-01    5.55661516e-01   -5.27998773e-02    9.89152622e-01
135      1.09946885e-06    7.92541013e-01    6.22786253e-02    8.05086407e-01    4.85698453e-01   -5.15287393e-02    9.93879621e-01
136      1.10168054e-06    7.98147427e-01    5.84014178e-02    8.15152998e-01    4.19963327e-01   -4.45180422e-02    1.00151096e+00
137      1.10389223e-06    8.03696267e-01    5.45232054e-02    8.22681806e-01    3.60464802e-01   -3.13375254e-02    1.01132430e+00
138      1.10610393e-06    8.09186460e-01    5.10671486e-02    8.29196671e-01    3.07950922e-01   -1.16170606e-02    1.02282415e+00
139      1.10831562e-06    8.14616946e-01    4.81777306e-02    8.35533924e-01    2.62101349e-01    1.55696685e-02    1.03620545e+00
140      1.11052731e-06    8.19986678e-01    4.57547660e-02    8.41760479e-01    2.20950396e-01    5.28225092e-02    1.05308165e+00
141      1.11273901e-06    8.25294616e-01    4.35066739e-02    8.47155132e-01    1.80203506e-01    1.04889607e-01    1.07720556e+00
142      1.11472953e-06    8.30018081e-01    4.17424431e-02    8.51842779e-01    1.45606694e-01    1.58622508e-01    1.10106097e+00
143      1.11652100e-06    8.34225085e-01    4.05767215e-02    8.56874327e-01    1.19713614e-01    2.05750835e-01    1.11748228e+00
144      1.11812959e-06    8.37966553e-01    3.98541019e-02    8.62223732e-01    1.01342887e-01    2.46058879e-01    1.12569009e+00
145      1.11973818e-06    8.41673497e-01    3.93606594e-02    8.68298439e-01    8.74485816e-02    2.84182430e-01    1.12677716e+00
146      1.12134677e-06    8.45345538e-01    3.89899877e-02    8.74876631e-01    7.73055007e-02    3.20085476e-01    1.12097030e+00
147      1.12456395e-06    8.52583416e-01    3.82271148e-02    8.88399207e-01    6.41903007e-02    3.85429204e-01    1.09226713e+00
148      1.12745942e-06    8.58974413e-01    3.73209292e-02    9.00159189e-01    5.72700104e-02    4.37670013e-01    1.05108905e+00
149      1.13035488e-06    8.65246603e-01    3.61479679e-02    9.11000425e-01    5.25445569e-02    4.83967836e-01    9.98911593e-01
150      1.13325034e-06    8.71397908e-01    3.47573608e-02    9.20728188e-01    4.87014787e-02    5.24523862e-01    9.33708414e-01
151      1.13614581e-06    8.77426292e-01    3.32225666e-02    9.29283205e-01    4.48786878e-02    5.58357582e-01    8.45882701e-01
152      1.13763262e-06    8.80473426e-01    3.24042416e-02    9.33247612e-01    4.28730063e-02    5.73330718e-01    7.82496314e-01
153      1.13855101e-06    8.82339049e-01    3.18940699e-02    9.35554996e-01    4.15886862e-02    5.81689781e-01    7.27018361e-01
154      1.13901244e-06    8.83271600e-01    3.16341755e-02    9.36663728e-01    4.08833119e-02    5.85459802e-01    6.85495106e-01
155      1.13928910e-06    8.83829188e-01    3.14724004e-02    9.37295493e-01    4.03728343e-02    5.87333609e-01    6.46194466e-01
156      1.13943633e-06    8.84125452e-01    3.13779546e-02    9.37599694e-01    3.99878560e-02    5.87905124e-01    6.10067410e-01
157      1.13952934e-06    8.84312422e-01    3.13064649e-02    9.37751035e-01    3.95889516e-02    5.87708803e-01    5.68662571e-01
158      1.13961304e-06    8.84480582e-01    3.12271543e-02    9.37836340e-01    3.90328187e-02    5.86828787e-01    5.09577745e-01
159      1.13966399e-06    8.84582898e-01    3.11793513e-02    9.37888778e-01    3.86966034e-02    5.86288082e-01    4.74651261e-01
160      1.13970985e-06    8.84674948e-01    3.11407389e-02    9.37949720e-01    3.84478404e-02    5.85979203e-01    4.49613916e-01
161      1.13975571e-06    8.84766966e-01    3.11059593e-02    9.38022634e-01    3.82461010e-02    5.85826322e-01    4.30003197e-01
162      1.13984742e-06    8.84950907e-01    3.10441299e-02    9.38192395e-01    3.79374786e-02    5.85834294e-01    4.01513122e-01
163      1.13992996e-06    8.85116321e-01    3.09939105e-02    9.38361588e-01    3.77259428e-02    5.86057826e-01    3.83099954e-01
164      1.14001249e-06    8.85281632e-01    3.09467840e-02    9.38539849e-01    3.75520398e-02    5.86402372e-01    3.68595839e-01
165      1.14009502e-06    8.85446839e-01    3.09017341e-02    9.38723974e-01    3.74034455e-02    5.86827149e-01    3.56595303e-01
166      1.14017756e-06    8.85611943e-01    3.08581799e-02    9.38912146e-01    3.72731913e-02    5.87309337e-01    3.46316613e-01
167      1.14026009e-06    8.85776943e-01    3.08157671e-02    9.39103266e-01    3.71570759e-02    5.87835341e-01    3.37296832e-01
168      1.14042516e-06    8.86106631e-01    3.07334602e-02    9.39491587e-01    3.69567432e-02    5.88985596e-01    3.21924781e-01
169      1.14059022e-06    8.86435904e-01    3.06536574e-02    9.39885407e-01    3.67889963e-02    5.90235393e-01    3.09034228e-01
170      1.14075529e-06    8.86764762e-01    3.05757241e-02    9.40282813e-01    3.66465695e-02    5.91562290e-01    2.97867870e-01
171      1.14092035e-06    8.87093203e-01    3.04992456e-02    9.40682581e-01    3.65248297e-02    5.92952534e-01    2.87982612e-01
172      1.14125049e-06    8.87748837e-01    3.03494523e-02    9.41485717e-01    3.63302458e-02    5.95886169e-01    2.70992964e-01
173      1.14158062e-06    8.88402802e-01    3.02027076e-02    9.42290226e-01    3.61877803e-02    5.98987215e-01    2.56678648e-01
174      1.14191075e-06    8.89055096e-01    3.00580362e-02    9.43093235e-01    3.60863540e-02    6.02225184e-01    2.44296273e-01
175      1.14257102e-06    8.90354659e-01    2.97718396e-02    9.44685409e-01    3.59695528e-02    6.09012519e-01    2.23614558e-01
176      1.14323128e-06    8.91647504e-01    2.94870964e-02    9.46250188e-01    3.59303925e-02    6.16110212e-01    2.06788921e-01
177      1.14389155e-06    8.92933609e-01    2.92017163e-02    9.47780105e-01    3.59360775e-02    6.23421811e-01    1.92681365e-01
178      1.14455181e-06    8.94212951e-01    2.89144416e-02    9.49269876e-01    3.59613041e-02    6.30868832e-01    1.80577227e-01
179      1.14587234e-06    8.96751259e-01    2.83328135e-02    9.52117310e-01    3.59985513e-02    6.45916813e-01    1.60536727e-01
180      1.14719287e-06    8.99262253e-01    2.77436407e-02    9.54785305e-01    3.59682586e-02    6.60949423e-01    1.44429570e-01
181      1.14851340e-06    9.01745762e-01    2.71508068e-02    9.57277136e-01    3.58405405e-02    6.75790207e-01    1.31065031e-01
182      1.14983393e-06    9.04201614e-01    2.65590638e-02    9.59601217e-01    3.56057672e-02    6.90321309e-01    1.19696955e-01
183      1.15247499e-06    9.09029672e-01    2.53993063e-02    9.63802275e-01    3.48528178e-02    7.18181814e-01    1.01141178e-01
184      1.15511605e-06    9.13745099e-01    2.42896617e-02    9.67477597e-01    3.37899467e-02    7.44266984e-01    8.66309188e-02
185      1.15775711e-06    9.18346595e-01    2.32431339e-02    9.70700440e-01    3.24953506e-02    7.68480564e-01    7.49980508e-02
186      1.16039817e-06    9.22832894e-01    2.22657907e-02    9.73537995e-01    3.10474410e-02    7.90808123e-01    6.54813250e-02
187      1.16303923e-06    9.27202761e-01    2.13580532e-02    9.76047830e-01    2.95142625e-02    8.11293077e-01    5.75810847e-02
188      1.16832134e-06    9.35588415e-01    1.97322543e-02    9.80294654e-01    2.64277742e-02    8.47142109e-01    4.52662507e-02
189      1.17360346e-06    9.43494322e-01    1.83235198e-02    9.83707438e-01    2.34724301e-02    8.76824534e-01    3.63519146e-02
190      1.17888558e-06    9.50911774e-01    1.70924990e-02    9.86466044e-01    2.07696557e-02    9.01141142e-01    2.97998263e-02
191      1.18416770e-06    9.57832602e-01    1.60045810e-02    9.88715431e-01    1.83944354e-02    9.20903730e-01    2.48838450e-02
192      1.18944982e-06    9.64249183e-01    1.50320551e-02    9.90564582e-01    1.63708520e-02    9.36870821e-01    2.11323138e-02
193      1.19473194e-06    9.70154451e-01    1.41539096e-02    9.92093701e-01    1.46843930e-02    9.49716134e-01    1.82412532e-02
194      1.20529617e-06    9.80405601e-01    1.26186296e-02    9.94448176e-01    1.21444321e-02    9.68553768e-01    1.41790878e-02
195      1.21586041e-06    9.88540903e-01    1.13257917e-02    9.96101313e-01    1.05023071e-02    9.80708680e-01    1.16811416e-02
196      1.22642465e-06    9.94524525e-01    1.02303949e-02    9.97248901e-01    9.50264445e-03    9.88315224e-01    1.01629508e-02
197      1.23698889e-06    9.98330114e-01    9.30010458e-03    9.98034200e-01    8.89916222e-03    9.92970735e-01    9.24678396e-03
198      1.24755312e-06    9.99940910e-01    8.51480434e-03    9.98567422e-01    8.52950810e-03    9.95775836e-01    8.69940200e-03
199      1.25811736e-06    9.99349818e-01    7.86235644e-03    9.98931102e-01    8.30092551e-03    9.97447664e-01    8.37524572e-03
200      1.27924583e-06    9.91582068e-01    6.93318209e-03    9.99385596e-01    8.05469872e-03    9.99159812e-01    8.04489235e-03
201      1.30037431e-06    9.75163562e-01    6.52608229e-03    9.99644131e-01    7.95809772e-03    9.99770804e-01    7.92790116e-03
202      1.32150278e-06    9.50383228e-01    6.73546855e-03    9.99824564e-01    7.92805693e-03    9.99922151e-01    7.89917310e-03
203      1.36375973e-06    8.77620867e-01    9.83502785e-03    1.00020887e+00    7.91350412e-03    9.99935261e-01    7.89679790e-03
204      1.40601668e-06    7.78394280e-01    1.90522904e-02    1.00085259e+00    7.91043399e-03    9.99883583e-01    7.90672100e-03
205      1.44827363e-06    6.59657411e-01    4.02797828e-02    1.00210057e+00    7.90177336e-03    9.99850446e-01    7.91299492e-03
206      1.48630488e-06    5.42971402e-01    8.14253951e-02    1.00433702e+00    7.88947002e-03    9.99839039e-01    7.91516038e-03
207      1.50635084e-06    4.80053555e-01    1.21250102e-01    1.00658053e+00    7.92207369e-03    9.99843039e-01    7.91614595e-03
208      1.52121642e-06    4.33543894e-01    1.68374706e-01    1.00903135e+00    7.95691208e-03    9.99846601e-01    7.91580987e-03
209      1.53200554e-06    4.00127956e-01    2.20757336e-01    1.01102430e+00    7.92061564e-03    9.99837088e-01    7.91242911e-03
210      1.54171575e-06    3.70441539e-01    2.87821817e-01    1.01040072e+00    7.34785279e-03    9.99730375e-01    7.88384963e-03
