Index       TIME              V(1)              V(2)              L1:L             {L1:L}           {2*L1:L}        {(L1:L)**2.0}     {(L1:L)*R1:R}  
236      7.47559638e-05    4.52623765e-01    9.05247529e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
237      7.82973256e-05    4.72351364e-01    9.44702727e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
238      8.18386873e-05    4.91845107e-01    9.83690215e-01    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
239      8.53800491e-05    5.11095345e-01    1.02219069e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
240      8.89214108e-05    5.30092544e-01    1.06018509e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
241      9.24627726e-05    5.48827302e-01    1.09765460e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
242      9.60041343e-05    5.67290342e-01    1.13458068e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
243      9.95454960e-05    5.85472523e-01    1.17094505e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
244      1.03086858e-04    6.03364843e-01    1.20672969e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
245      1.06628220e-04    6.20958445e-01    1.24191689e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
246      1.10169581e-04    6.38244618e-01    1.27648924e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
247      1.13710943e-04    6.55214803e-01    1.31042961e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
248      1.17252305e-04    6.71860600e-01    1.34372120e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
249      1.20793667e-04    6.88173766e-01    1.37634753e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
250      1.27876390e-04    7.19770072e-01    1.43954014e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
251      1.34959113e-04    7.49941155e-01    1.49988231e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
252      1.42041837e-04    7.78627276e-01    1.55725455e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
253      1.49124560e-04    8.05771630e-01    1.61154326e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
254      1.56207284e-04    8.31320471e-01    1.66264094e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
255      1.63290007e-04    8.55223209e-01    1.71044642e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
256      1.70372731e-04    8.77432513e-01    1.75486503e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
257      1.77455454e-04    8.97904407e-01    1.79580881e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
258      1.84538178e-04    9.16598354e-01    1.83319671e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
259      1.91620901e-04    9.33477339e-01    1.86695468e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
260      2.05786348e-04    9.61660391e-01    1.92332078e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
261      2.19951795e-04    9.82230452e-01    1.96446090e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
262      2.34117242e-04    9.95024679e-01    1.99004936e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
263      2.62448136e-04    9.96942848e-01    1.99388570e+00    1.00000000e-03    1.00000000e-03    2.00000000e-03    1.00000000e-06    2.00000000e-03
