Index       TIME              I(VS)          {V(2)+0.2}        {V(3)+0.2}        I(XKS1:L1)        I(XKS1:L2)    
174      2.22678422e-02   -1.45516478e-01    1.67093139e-01    1.75324067e-01    1.45516478e-01    2.46759325e-05
175      2.24012997e-02   -1.40941435e-01    1.64367997e-01    1.73285152e-01    1.40941435e-01    2.67148479e-05
176      2.25347572e-02   -1.36009685e-01    1.61746747e-01    1.71313830e-01    1.36009685e-01    2.86861698e-05
177      2.26682148e-02   -1.30733735e-01    1.59208994e-01    1.69415422e-01    1.30733735e-01    3.05845779e-05
178      2.28016723e-02   -1.25126912e-01    1.56787406e-01    1.67593821e-01    1.25126912e-01    3.24061790e-05
179      2.29351298e-02   -1.19203432e-01    1.54462615e-01    1.65855094e-01    1.19203432e-01    3.41449057e-05
180      2.30685874e-02   -1.12978260e-01    1.52265285e-01    1.64201671e-01    1.12978260e-01    3.57983288e-05
181      2.32020449e-02   -1.06467175e-01    1.50176880e-01    1.62640191e-01    1.06467175e-01    3.73598095e-05
182      2.33355024e-02   -9.96866314e-02    1.48226131e-01    1.61171696e-01    9.96866314e-02    3.88283043e-05
183      2.34689600e-02   -9.26538132e-02    1.46395151e-01    1.59803238e-01    9.26538132e-02    4.01967620e-05
184      2.36024175e-02   -8.53864964e-02    1.44710803e-01    1.58534545e-01    8.53864964e-02    4.14654545e-05
185      2.37358750e-02   -7.79030946e-02    1.43155690e-01    1.57372940e-01    7.79030946e-02    4.26270602e-05
186      2.38693326e-02   -7.02225257e-02    1.41754862e-01    1.56316898e-01    7.02225257e-02    4.36831022e-05
187      2.40027901e-02   -6.23642482e-02    1.40491271e-01    1.55373885e-01    6.23642482e-02    4.46261150e-05
188      2.41362476e-02   -5.43481297e-02    1.39388210e-01    1.54541186e-01    5.43481297e-02    4.54588141e-05
189      2.42697052e-02   -4.61944770e-02    1.38428854e-01    1.53826299e-01    4.61944770e-02    4.61737008e-05
190      2.44031627e-02   -3.79239061e-02    1.37634789e-01    1.53225373e-01    3.79239061e-02    4.67746273e-05
191      2.45366202e-02   -2.95573669e-02    1.36989304e-01    1.52745841e-01    2.95573669e-02    4.72541591e-05
192      2.46700778e-02   -2.11160150e-02    1.36512335e-01    1.52382768e-01    2.11160150e-02    4.76172317e-05
193      2.49369928e-02   -4.09458205e-03    1.35948077e-01    1.51963913e-01    4.09458205e-03    4.80360868e-05
194      2.50000000e-02   -6.38944675e-05    1.36105532e-01    1.52074754e-01    6.38944675e-05    4.79252456e-05
End of Xyce(TM) Simulation
