Index       TIME              V(1)              V(2)             X1:L1:L          {X1:L1:L}       {2.0*X1:L1:L}     {X1:L1:L**2}    {(X1:L1:L)*R1:R} 
132      8.13762864e-04   -9.20813961e-01   -9.20813961e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
133      8.22355895e-04   -8.98425545e-01   -8.98425545e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
134      8.30948927e-04   -8.73418770e-01   -8.73418770e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
135      8.39541958e-04   -8.45866516e-01   -8.45866516e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
136      8.47275686e-04   -8.18959319e-01   -8.18959319e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
137      8.54236042e-04   -7.93087908e-01   -7.93087908e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
138      8.61196397e-04   -7.65699883e-01   -7.65699883e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
139      8.68156753e-04   -7.36847620e-01   -7.36847620e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
140      8.75117108e-04   -7.06586291e-01   -7.06586291e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
141      8.82077464e-04   -6.74973766e-01   -6.74973766e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
142      8.89037819e-04   -6.42070497e-01   -6.42070497e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
143      8.95998175e-04   -6.07939404e-01   -6.07939404e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
144      9.02958530e-04   -5.72645755e-01   -5.72645755e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
145      9.09918886e-04   -5.36257042e-01   -5.36257042e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
146      9.16879241e-04   -4.98842852e-01   -4.98842852e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
147      9.23839597e-04   -4.60474730e-01   -4.60474730e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
148      9.30799952e-04   -4.21226048e-01   -4.21226048e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
149      9.37760308e-04   -3.81171860e-01   -3.81171860e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
150      9.44720663e-04   -3.40388762e-01   -3.40388762e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
151      9.51681019e-04   -2.98954742e-01   -2.98954742e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
152      9.58641374e-04   -2.56949035e-01   -2.56949035e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
153      9.65601729e-04   -2.14451967e-01   -2.14451967e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
154      9.72562085e-04   -1.71544805e-01   -1.71544805e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
155      9.79522440e-04   -1.28309600e-01   -1.28309600e-01    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
156      9.86482796e-04   -8.48290295e-02   -8.48290295e-02    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
157      9.93443151e-04   -4.11862419e-02   -4.11862419e-02    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
158      1.00000000e-03   -2.44929318e-16   -1.02300468e-15    1.00000000e+02    1.00000000e+02    2.00000000e+02    1.00000000e+04    2.00000000e+02
End of Xyce(TM) Simulation
