V(g) I(d) I(g) I(s) I(b)
0.36 -3.83744e-08 7.12106e-11 -6.39689e-11 3.83672e-08
0.35 -3.83763e-08 6.82319e-11 -5.91069e-11 3.83672e-08
0.34 -3.83788e-08 6.53378e-11 -5.37715e-11 3.83672e-08
0.33 -3.83819e-08 6.25253e-11 -4.77965e-11 3.83672e-08
0.32 -3.8386e-08 5.97909e-11 -4.09668e-11 3.83672e-08
0.31 -3.83913e-08 5.71307e-11 -3.30047e-11 3.83672e-08
0.3 -3.83982e-08 5.45403e-11 -2.35504e-11 3.83672e-08
0.29 -3.84071e-08 5.20146e-11 -1.21381e-11 3.83672e-08
0.28 -3.84186e-08 4.9548e-11 1.836e-12 3.83672e-08
0.27 -3.84335e-08 4.71339e-11 1.91545e-11 3.83672e-08
0.26 -3.84528e-08 4.47649e-11 4.08324e-11 3.83672e-08
0.25 -3.84778e-08 4.24333e-11 6.81862e-11 3.83672e-08
0.24 -3.85103e-08 4.01305e-11 1.029244e-10 3.83672e-08
0.23 -3.85523e-08 3.78486e-11 1.472648e-10 3.83672e-08
0.22 -3.86069e-08 3.55807e-11 2.040865e-10 3.83672e-08
0.21 -3.86777e-08 3.3322e-11 2.771294e-10 3.83672e-08
0.2 -3.87695e-08 3.10711e-11 3.712533e-10 3.83672e-08
0.19 -3.88888e-08 2.88311e-11 4.927771e-10 3.83672e-08
0.18 -3.90438e-08 2.66095e-11 6.499214e-10 3.83672e-08
0.17 -3.9245e-08 2.44177e-11 8.53387e-10 3.83672e-08
0.16 -3.95066e-08 2.22697e-11 1.1171e-09 3.83673e-08
0.15 -3.98467e-08 2.01805e-11 1.4592e-09 3.83673e-08
0.14 -4.02889e-08 1.8164e-11 1.9035e-09 3.83673e-08
0.13 -4.08642e-08 1.62325e-11 2.4806e-09 3.83673e-08
0.12 -4.16127e-08 1.4395e-11 3.2309e-09 3.83673e-08
0.11 -4.25869e-08 1.2658e-11 4.2069e-09 3.83674e-08
0.1 -4.38554e-08 1.10252e-11 5.4769e-09 3.83675e-08
0.09 -4.55073e-08 9.4979e-12 7.1303e-09 3.83675e-08
0.08 -4.76593e-08 8.0755e-12 9.2836e-09 3.83676e-08
0.07 -5.04634e-08 6.7563e-12 1.20889e-08 3.83678e-08
0.06 -5.41184e-08 5.5374e-12 1.57449e-08 3.83679e-08
0.05 -5.88836e-08 4.4153e-12 2.05111e-08 3.83681e-08
0.04 -6.5098e-08 3.3859e-12 2.67262e-08 3.83684e-08
0.03 -7.32042e-08 2.4451e-12 3.4833e-08 3.83688e-08
0.02 -8.37808e-08 1.5884e-12 4.541e-08 3.83693e-08
0.01 -9.7584e-08 8.114567e-13 5.92133e-08 3.83699e-08
0. -1.156022e-07 1.094713e-13 7.72314e-08 3.83707e-08
-0.01 -1.391276e-07 -5.871015e-13 1.007564e-07 3.83718e-08
-0.02 -1.698495e-07 -1.3448e-12 1.314777e-07 3.83732e-08
-0.03 -2.099768e-07 -2.1629e-12 1.71604e-07 3.8375e-08
-0.04 -2.623973e-07 -3.0396e-12 2.240229e-07 3.83774e-08
-0.05 -3.308861e-07 -3.9726e-12 2.925096e-07 3.83805e-08
-0.06 -4.203774e-07 -4.9601e-12 3.819978e-07 3.83845e-08
-0.07 -5.373172e-07 -6.003e-12 4.989334e-07 3.83898e-08
-0.08 -6.901232e-07 -7.107e-12 6.517336e-07 3.83967e-08
-0.09 -8.89778e-07 -8.2853e-12 8.513806e-07 3.84057e-08
-0.1 -1.1506e-06 -9.5606e-12 1.1122e-06 3.84175e-08
-0.11 -1.4912e-06 -1.09671e-11 1.4528e-06 3.84328e-08
-0.12 -1.9358e-06 -1.25517e-11 1.8974e-06 3.84527e-08
-0.13 -2.5157e-06 -1.43751e-11 2.4772e-06 3.84786e-08
-0.14 -3.2713e-06 -1.65136e-11 3.2328e-06 3.85122e-08
-0.15 -4.2546e-06 -1.90607e-11 4.216e-06 3.85556e-08
-0.16 -5.5316e-06 -2.21284e-11 5.493e-06 3.86115e-08
-0.17 -7.186e-06 -2.58484e-11 7.1474e-06 3.86832e-08
-0.18 -9.3224e-06 -3.03713e-11 9.2836e-06 3.87746e-08
-0.19 -1.20692e-05 -3.58632e-11 1.20303e-05 3.88902e-08
-0.2 -1.55818e-05 -4.25001e-11 1.55428e-05 3.9035e-08
-0.21 -2.00435e-05 -5.0458e-11 2.00044e-05 3.92146e-08
-0.22 -2.56647e-05 -5.99016e-11 2.56253e-05 3.94343e-08
-0.23 -3.26786e-05 -7.09722e-11 3.2639e-05 3.96991e-08
-0.24 -4.13351e-05 -8.37772e-11 4.12952e-05 4.00127e-08
-0.25 -5.18906e-05 -9.83843e-11 5.18503e-05 4.03776e-08
-0.26 -6.45977e-05 -1.148209e-10 6.4557e-05 4.07936e-08
-0.27 -7.96945e-05 -1.330776e-10 7.96534e-05 4.12586e-08
-0.28 -9.73961e-05 -1.531167e-10 9.73545e-05 4.17676e-08
-0.29 -0.0001178882 -1.748811e-10 0.0001178461 4.23137e-08
-0.3 -0.0001413243 -1.983036e-10 0.0001412816 4.2888e-08
-0.31 -0.0001678252 -2.233143e-10 0.0001677819 4.348e-08
-0.32 -0.0001974805 -2.498472e-10 0.0001974367 4.4079e-08
-0.33 -0.0002303518 -2.778429e-10 0.0002303074 4.46738e-08
-0.34 -0.0002664753 -3.07252e-10 0.0002664304 4.52536e-08
-0.35 -0.0003058661 -3.380354e-10 0.0003058206 4.58084e-08
-0.36 -0.0003485208 -3.701643e-10 0.0003484748 4.63292e-08
-0.37 -0.0003944208 -4.0362e-10 0.0003943743 4.68084e-08
