Index       TIME              V(A)        N(YNEURON!NEURON1_V0) N(YNEURON!NEURON1_V36)       V(B)       
216      1.08000000e-02    3.76245967e-03    2.04186568e-03   -5.26029370e-02   -5.26029370e-02
217      1.08500000e-02    3.89792673e-03    2.17733275e-03   -5.24978104e-02   -5.24978104e-02
218      1.09000000e-02    4.03339380e-03    2.31279982e-03   -5.23926837e-02   -5.23926837e-02
219      1.09500000e-02    4.16886087e-03    2.44826689e-03   -5.22875570e-02   -5.22875570e-02
220      1.10000000e-02    4.30432794e-03    2.58373396e-03   -5.21824304e-02   -5.21824304e-02
221      1.10500000e-02    4.43979501e-03    2.71920103e-03   -5.20773037e-02   -5.20773037e-02
222      1.11000000e-02    4.57526208e-03    2.85466810e-03   -5.19721770e-02   -5.19721770e-02
223      1.11500000e-02    4.71072914e-03    2.99013516e-03   -5.18670504e-02   -5.18670504e-02
224      1.12000000e-02    4.84619621e-03    3.12560223e-03   -5.17619237e-02   -5.17619237e-02
225      1.12500000e-02    4.98166328e-03    3.26106930e-03   -5.16567970e-02   -5.16567970e-02
226      1.13000000e-02    5.11713035e-03    3.39653637e-03   -5.15516704e-02   -5.15516704e-02
227      1.13500000e-02    5.25259742e-03    3.53200344e-03   -5.14465437e-02   -5.14465437e-02
228      1.14000000e-02    5.38806449e-03    3.66747051e-03   -5.13414170e-02   -5.13414170e-02
229      1.14500000e-02    5.52353156e-03    3.80293758e-03   -5.12362904e-02   -5.12362904e-02
230      1.15000000e-02    5.65899862e-03    3.93840465e-03   -5.11311637e-02   -5.11311637e-02
231      1.15500000e-02    5.79446569e-03    4.07387171e-03   -5.10260370e-02   -5.10260370e-02
232      1.16000000e-02    5.92993276e-03    4.20933878e-03   -5.09209103e-02   -5.09209103e-02
233      1.16500000e-02    6.06539983e-03    4.34480585e-03   -5.08157837e-02   -5.08157837e-02
234      1.17000000e-02    6.19762090e-03    4.47702692e-03   -5.07103257e-02   -5.07103257e-02
235      1.17500000e-02    6.32680725e-03    4.60621328e-03   -5.06045579e-02   -5.06045579e-02
236      1.18000000e-02    6.45599361e-03    4.73539963e-03   -5.04987902e-02   -5.04987902e-02
237      1.18500000e-02    6.58517996e-03    4.86458598e-03   -5.03930224e-02   -5.03930224e-02
238      1.19000000e-02    6.71436632e-03    4.99377234e-03   -5.02872547e-02   -5.02872547e-02
239      1.19500000e-02    6.84355267e-03    5.12295869e-03   -5.01814869e-02   -5.01814869e-02
240      1.20000000e-02    6.97273903e-03    5.25214505e-03   -5.00757191e-02   -5.00757191e-02
241      1.20500000e-02    7.10192538e-03    5.38133140e-03   -4.99699514e-02   -4.99699514e-02
242      1.21000000e-02    7.23111174e-03    5.51051776e-03   -4.98641836e-02   -4.98641836e-02
243      1.21500000e-02    7.36029809e-03    5.63970411e-03   -4.97584159e-02   -4.97584159e-02
244      1.22000000e-02    7.48948445e-03    5.76889047e-03   -4.96526481e-02   -4.96526481e-02
245      1.22500000e-02    7.61867080e-03    5.89807682e-03   -4.95468804e-02   -4.95468804e-02
246      1.23000000e-02    7.74785716e-03    6.02726318e-03   -4.94411126e-02   -4.94411126e-02
247      1.23500000e-02    7.87704351e-03    6.15644953e-03   -4.93353449e-02   -4.93353449e-02
248      1.24000000e-02    8.00622987e-03    6.28563589e-03   -4.92295771e-02   -4.92295771e-02
249      1.24500000e-02    8.13541622e-03    6.41482224e-03   -4.91238093e-02   -4.91238093e-02
250      1.25000000e-02    8.26460258e-03    6.54400859e-03   -4.90180416e-02   -4.90180416e-02
251      1.25500000e-02    8.39378893e-03    6.67319495e-03   -4.89122738e-02   -4.89122738e-02
252      1.26000000e-02    8.52297529e-03    6.80238130e-03   -4.88065061e-02   -4.88065061e-02
253      1.26500000e-02    8.64915830e-03    6.92856431e-03   -4.87007833e-02   -4.87007833e-02
254      1.27000000e-02    8.77292071e-03    7.05232672e-03   -4.85950969e-02   -4.85950969e-02
255      1.27500000e-02    8.89668311e-03    7.17608913e-03   -4.84894105e-02   -4.84894105e-02
256      1.28000000e-02    9.02044552e-03    7.29985154e-03   -4.83837240e-02   -4.83837240e-02
257      1.28500000e-02    9.14420793e-03    7.42361395e-03   -4.82780376e-02   -4.82780376e-02
258      1.29000000e-02    9.26797034e-03    7.54737636e-03   -4.81723511e-02   -4.81723511e-02
259      1.29500000e-02    9.39173275e-03    7.67113877e-03   -4.80666647e-02   -4.80666647e-02
260      1.30000000e-02    9.51549516e-03    7.79490118e-03   -4.79609783e-02   -4.79609783e-02
261      1.30500000e-02    9.63925757e-03    7.91866359e-03   -4.78552918e-02   -4.78552918e-02
262      1.31000000e-02    9.76301998e-03    8.04242600e-03   -4.77496054e-02   -4.77496054e-02
263      1.31500000e-02    9.88678239e-03    8.16618841e-03   -4.76439189e-02   -4.76439189e-02
264      1.32000000e-02    1.00105448e-02    8.28995082e-03   -4.75382325e-02   -4.75382325e-02
265      1.32500000e-02    1.01343072e-02    8.41371323e-03   -4.74325460e-02   -4.74325460e-02
266      1.33000000e-02    1.02580696e-02    8.53747563e-03   -4.73268596e-02   -4.73268596e-02
267      1.33500000e-02    1.03818320e-02    8.66123804e-03   -4.72211732e-02   -4.72211732e-02
268      1.34000000e-02    1.05055944e-02    8.78500045e-03   -4.71154867e-02   -4.71154867e-02
269      1.34500000e-02    1.06293568e-02    8.90876286e-03   -4.70098003e-02   -4.70098003e-02
270      1.35000000e-02    1.07531192e-02    9.03252527e-03   -4.69041138e-02   -4.69041138e-02
271      1.35500000e-02    1.08768817e-02    9.15628768e-03   -4.67984274e-02   -4.67984274e-02
