Index        TIME         {V(VOUT)+2.0}     {V(IN)+2.0}      {V(1)+2.0}
135     1.50337204e-06   2.00454344e+00   4.41865320e+00   3.62795578e+00   
136     1.50337206e-06   2.00455833e+00   4.41860396e+00   3.62793623e+00   
137     1.50337210e-06   2.00459172e+00   4.41850832e+00   3.62789713e+00   
138     1.50337214e-06   2.00462848e+00   4.41841536e+00   3.62785804e+00   
139     1.50337218e-06   2.00466839e+00   4.41832495e+00   3.62781894e+00   
140     1.50337226e-06   2.00475490e+00   4.41814966e+00   3.62774075e+00   
141     1.50337234e-06   2.00485586e+00   4.41798667e+00   3.62766255e+00   
142     1.50337242e-06   2.00496513e+00   4.41783115e+00   3.62758436e+00   
143     1.50337249e-06   2.00508165e+00   4.41768236e+00   3.62750617e+00   
144     1.50337265e-06   2.00532884e+00   4.41739855e+00   3.62734978e+00   
145     1.50337279e-06   2.00557478e+00   4.41716715e+00   3.62720904e+00   
146     1.50337293e-06   2.00583157e+00   4.41694817e+00   3.62706829e+00   
147     1.50337307e-06   2.00609686e+00   4.41673962e+00   3.62692754e+00   
148     1.50337335e-06   2.00664178e+00   4.41634189e+00   3.62664605e+00   
149     1.50337364e-06   2.00720987e+00   4.41597975e+00   3.62636456e+00   
150     1.50337392e-06   2.00778484e+00   4.41563264e+00   3.62608306e+00   
151     1.50337420e-06   2.00836352e+00   4.41529647e+00   3.62580157e+00   
152     1.50337476e-06   2.00952393e+00   4.41464125e+00   3.62523858e+00   
153     1.50337532e-06   2.01068348e+00   4.41401231e+00   3.62467559e+00   
154     1.50337589e-06   2.01183783e+00   4.41339076e+00   3.62411261e+00   
155     1.50337645e-06   2.01298698e+00   4.41277382e+00   3.62354962e+00   
156     1.50337758e-06   2.01527467e+00   4.41154627e+00   3.62242364e+00   
157     1.50337870e-06   2.01754119e+00   4.41032791e+00   3.62129767e+00   
158     1.50337983e-06   2.01979824e+00   4.40911221e+00   3.62017169e+00   
159     1.50338095e-06   2.02204850e+00   4.40789851e+00   3.61904572e+00   
160     1.50338321e-06   2.02653935e+00   4.40547444e+00   3.61679377e+00   
161     1.50338546e-06   2.03101358e+00   4.40305606e+00   3.61454182e+00   
162     1.50338771e-06   2.03548437e+00   4.40063980e+00   3.61228987e+00   
163     1.50339221e-06   2.04441983e+00   4.39581223e+00   3.60778597e+00   
164     1.50339672e-06   2.05335798e+00   4.39098798e+00   3.60328207e+00   
165     1.50340573e-06   2.07123875e+00   4.38134868e+00   3.59427427e+00   
166     1.50341473e-06   2.08914526e+00   4.37171721e+00   3.58526648e+00   
167     1.50343275e-06   2.12501031e+00   4.35248333e+00   3.56725088e+00   
168     1.50346878e-06   2.19707682e+00   4.31412523e+00   3.53121969e+00   
169     1.50350481e-06   2.26989677e+00   4.27587056e+00   3.49518849e+00   
170     1.50354084e-06   2.34364510e+00   4.23771437e+00   3.45915730e+00   
171     1.50361291e-06   2.49474154e+00   4.16161399e+00   3.38709491e+00   
172     1.50368497e-06   2.65201614e+00   4.08584232e+00   3.31503252e+00   
173     1.50375703e-06   2.81786195e+00   4.01038296e+00   3.24297014e+00   
174     1.50382909e-06   2.99549679e+00   3.93520735e+00   3.17090775e+00   
175     1.50389456e-06   3.16927990e+00   3.86715078e+00   3.10544031e+00   
176     1.50396003e-06   3.35541867e+00   3.79932852e+00   3.03997288e+00   
177     1.50402549e-06   3.55879544e+00   3.73181954e+00   2.97450544e+00   
178     1.50409096e-06   3.77263443e+00   3.66443343e+00   2.90903800e+00   
179     1.50411995e-06   3.86844081e+00   3.63454813e+00   2.88004735e+00   
180     1.50414894e-06   3.96513030e+00   3.60450875e+00   2.85105670e+00   
181     1.50417503e-06   4.05286447e+00   3.57732692e+00   2.82496512e+00   
182     1.50420113e-06   4.14127993e+00   3.55000552e+00   2.79887353e+00   
183     1.50423155e-06   4.24521391e+00   3.51797677e+00   2.76844591e+00   
184     1.50426198e-06   4.34948222e+00   3.48578124e+00   2.73801829e+00   
185     1.50429241e-06   4.45347164e+00   3.45342080e+00   2.70759066e+00   
186     1.50431672e-06   4.53604028e+00   3.42744236e+00   2.68328026e+00   
187     1.50434103e-06   4.61778858e+00   3.40135906e+00   2.65896986e+00   
188     1.50436534e-06   4.69844637e+00   3.37517271e+00   2.63465946e+00   
189     1.50436838e-06   4.70851578e+00   3.37188585e+00   2.63162066e+00   
190     1.50436982e-06   4.71327634e+00   3.37032984e+00   2.63018256e+00   
191     1.50437126e-06   4.71803161e+00   3.36877387e+00   2.62874446e+00   
192     1.50437255e-06   4.72230711e+00   3.36737338e+00   2.62745017e+00   
193     1.50437384e-06   4.72657843e+00   3.36597275e+00   2.62615588e+00   
194     1.50437514e-06   4.73084563e+00   3.36457192e+00   2.62486159e+00   
195     1.50437773e-06   4.73937076e+00   3.36176917e+00   2.62227301e+00   
196     1.50438032e-06   4.74787231e+00   3.35896627e+00   2.61968443e+00   
197     1.50438215e-06   4.75389284e+00   3.35697767e+00   2.61784886e+00   
198     1.50438399e-06   4.75990521e+00   3.35498850e+00   2.61601329e+00   
199     1.50438535e-06   4.76435779e+00   3.35351401e+00   2.61465256e+00   
200     1.50438635e-06   4.76761980e+00   3.35243426e+00   2.61365493e+00   
201     1.50438734e-06   4.77087934e+00   3.35135625e+00   2.61265730e+00   
202     1.50438834e-06   4.77413637e+00   3.35027964e+00   2.61165968e+00   
203     1.50438934e-06   4.77739180e+00   3.34920447e+00   2.61066205e+00   
204     1.50439133e-06   4.78389048e+00   3.34705630e+00   2.60866680e+00   
205     1.50439305e-06   4.78948962e+00   3.34520668e+00   2.60694540e+00   
