Index        TIME             V(2A)        {V(2A)/V(2B)}    {I(R1)/I(R2)}        V(2C)        {V(2C)/V(2D)}    {I(R3)/I(R4)}
155     5.02547338e-05   -9.99925608e-01  1.00000000e+00   1.00000000e+00   -9.99690907e-01  1.00000000e+00   1.00000000e+00   
156     5.02581183e-05   -9.99939417e-01  1.00000000e+00   1.00000000e+00   -9.99740571e-01  1.00000000e+00   1.00000000e+00   
157     5.02615027e-05   -9.99950662e-01  1.00000000e+00   1.00000000e+00   -9.99782256e-01  1.00000000e+00   1.00000000e+00   
158     5.02648872e-05   -9.99959820e-01  1.00000000e+00   1.00000000e+00   -9.99817244e-01  1.00000000e+00   1.00000000e+00   
159     5.02716561e-05   -9.99972401e-01  1.00000000e+00   1.00000000e+00   -9.99867845e-01  1.00000000e+00   1.00000000e+00   
160     5.02784251e-05   -9.99981042e-01  1.00000000e+00   1.00000000e+00   -9.99904436e-01  1.00000000e+00   1.00000000e+00   
161     5.02851940e-05   -9.99986978e-01  1.00000000e+00   1.00000000e+00   -9.99930896e-01  1.00000000e+00   1.00000000e+00   
162     5.02919630e-05   -9.99991055e-01  1.00000000e+00   1.00000000e+00   -9.99950030e-01  1.00000000e+00   1.00000000e+00   
163     5.02987319e-05   -9.99993856e-01  1.00000000e+00   1.00000000e+00   -9.99963866e-01  1.00000000e+00   1.00000000e+00   
164     5.03122698e-05   -9.99996786e-01  1.00000000e+00   1.00000000e+00   -9.99979537e-01  1.00000000e+00   1.00000000e+00   
165     5.03258077e-05   -9.99998319e-01  1.00000000e+00   1.00000000e+00   -9.99988411e-01  1.00000000e+00   1.00000000e+00   
166     5.03393456e-05   -9.99999121e-01  1.00000000e+00   1.00000000e+00   -9.99993437e-01  1.00000000e+00   1.00000000e+00   
167     5.03664213e-05   -9.99999689e-01  1.00000000e+00   1.00000000e+00   -9.99997408e-01  1.00000000e+00   1.00000000e+00   
168     5.03934971e-05   -9.99999890e-01  1.00000000e+00   1.00000000e+00   -9.99998976e-01  1.00000000e+00   1.00000000e+00   
169     5.04476486e-05   -9.99999976e-01  1.00000000e+00   1.00000000e+00   -9.99999748e-01  1.00000000e+00   1.00000000e+00   
170     5.05559517e-05   -9.99999997e-01  1.00000000e+00   1.00000000e+00   -9.99999965e-01  1.00000000e+00   1.00000000e+00   
171     5.07725578e-05   -1.00000000e+00  1.00000000e+00   1.00000000e+00   -9.99999997e-01  1.00000000e+00   1.00000000e+00   
172     5.12057701e-05   -1.00000000e+00  1.00000000e+00   1.00000000e+00   -1.00000000e+00  1.00000000e+00   1.00000000e+00   
173     5.20721947e-05   -1.00000000e+00  1.00000000e+00   1.00000000e+00   -1.00000000e+00  1.00000000e+00   1.00000000e+00   
174     5.38050439e-05   -1.00000000e+00  1.00000000e+00   1.00000000e+00   -1.00000000e+00  1.00000000e+00   1.00000000e+00   
175     5.72707422e-05   -1.00000000e+00  1.00000000e+00   1.00000000e+00   -1.00000000e+00  1.00000000e+00   1.00000000e+00   
176     6.42021388e-05   -1.00000000e+00  1.00000000e+00   1.00000000e+00   -1.00000000e+00  1.00000000e+00   1.00000000e+00   
177     7.80649320e-05   -1.00000000e+00  1.00000000e+00   1.00000000e+00   -1.00000000e+00  1.00000000e+00   1.00000000e+00   
178     9.80649320e-05   -1.00000000e+00  1.00000000e+00   1.00000000e+00   -1.00000000e+00  1.00000000e+00   1.00000000e+00   
179     1.18064932e-04   -1.00000000e+00  1.00000000e+00   1.00000000e+00   -1.00000000e+00  1.00000000e+00   1.00000000e+00   
180     1.38064932e-04   -1.00000000e+00  1.00000000e+00   1.00000000e+00   -1.00000000e+00  1.00000000e+00   1.00000000e+00   
181     1.50100000e-04   -1.00000000e+00  1.00000000e+00   1.00000000e+00   -1.00000000e+00  1.00000000e+00   1.00000000e+00   
182     1.50100500e-04   -9.97640827e-01  1.00000000e+00   1.00000000e+00   -9.93339916e-01  1.00000000e+00   1.00000000e+00   
183     1.50100953e-04   -9.94760040e-01  1.00000000e+00   1.00000000e+00   -9.86772740e-01  1.00000000e+00   1.00000000e+00   
184     1.50101407e-04   -9.91160276e-01  1.00000000e+00   1.00000000e+00   -9.79690572e-01  1.00000000e+00   1.00000000e+00   
185     1.50101860e-04   -9.86864060e-01  1.00000000e+00   1.00000000e+00   -9.72107040e-01  1.00000000e+00   1.00000000e+00   
186     1.50102313e-04   -9.81893571e-01  1.00000000e+00   1.00000000e+00   -9.64035636e-01  1.00000000e+00   1.00000000e+00   
187     1.50103220e-04   -9.69417100e-01  1.00000000e+00   1.00000000e+00   -9.46040626e-01  1.00000000e+00   1.00000000e+00   
188     1.50104127e-04   -9.54572049e-01  1.00000000e+00   1.00000000e+00   -9.26297084e-01  1.00000000e+00   1.00000000e+00   
189     1.50105033e-04   -9.37515223e-01  1.00000000e+00   1.00000000e+00   -9.04903575e-01  1.00000000e+00   1.00000000e+00   
190     1.50105940e-04   -9.18396612e-01  1.00000000e+00   1.00000000e+00   -8.81955495e-01  1.00000000e+00   1.00000000e+00   
191     1.50106847e-04   -8.97359248e-01  1.00000000e+00   1.00000000e+00   -8.57544913e-01  1.00000000e+00   1.00000000e+00   
192     1.50107753e-04   -8.74539169e-01  1.00000000e+00   1.00000000e+00   -8.31760463e-01  1.00000000e+00   1.00000000e+00   
193     1.50109567e-04   -8.22570673e-01  1.00000000e+00   1.00000000e+00   -7.75230454e-01  1.00000000e+00   1.00000000e+00   
194     1.50111380e-04   -7.65267318e-01  1.00000000e+00   1.00000000e+00   -7.14410877e-01  1.00000000e+00   1.00000000e+00   
195     1.50113193e-04   -7.03416248e-01  1.00000000e+00   1.00000000e+00   -6.49849758e-01  1.00000000e+00   1.00000000e+00   
196     1.50115007e-04   -6.37718858e-01  1.00000000e+00   1.00000000e+00   -5.82046565e-01  1.00000000e+00   1.00000000e+00   
197     1.50116820e-04   -5.68799192e-01  1.00000000e+00   1.00000000e+00   -5.11455474e-01  1.00000000e+00   1.00000000e+00   
198     1.50118633e-04   -4.97212584e-01  1.00000000e+00   1.00000000e+00   -4.38489105e-01  1.00000000e+00   1.00000000e+00   
199     1.50120447e-04   -4.23454152e-01  1.00000000e+00   1.00000000e+00   -3.63522496e-01  1.00000000e+00   1.00000000e+00   
200     1.50122260e-04   -3.47966963e-01  1.00000000e+00   1.00000000e+00   -2.86897156e-01  1.00000000e+00   1.00000000e+00   
201     1.50124073e-04   -2.71149713e-01  1.00000000e+00   1.00000000e+00   -2.08925074e-01  1.00000000e+00   1.00000000e+00   
