Index       V(B)              TEMP             I(V_C)            I(V_B)      
100      1.20000000e+00    5.00000000e+01    2.86989431e-02    1.55438130e-02
0        2.00000000e-01    1.50000000e+02    1.86822938e-08    2.62592418e-10
1        2.10000000e-01    1.50000000e+02    2.45339781e-08    3.35286927e-10
2        2.20000000e-01    1.50000000e+02    3.22101696e-08    4.29177352e-10
3        2.30000000e-01    1.50000000e+02    4.22795116e-08    5.50695688e-10
4        2.40000000e-01    1.50000000e+02    5.54877769e-08    7.08265767e-10
5        2.50000000e-01    1.50000000e+02    7.28129990e-08    9.12926197e-10
6        2.60000000e-01    1.50000000e+02    9.55377415e-08    1.17914901e-09
7        2.70000000e-01    1.50000000e+02    1.25343824e-07    1.52591565e-09
8        2.80000000e-01    1.50000000e+02    1.64436464e-07    1.97813135e-09
9        2.90000000e-01    1.50000000e+02    2.15706935e-07    2.56848443e-09
10       3.00000000e-01    1.50000000e+02    2.82945669e-07    3.33989071e-09
11       3.10000000e-01    1.50000000e+02    3.71121339e-07    4.34870720e-09
12       3.20000000e-01    1.50000000e+02    4.86746270e-07    5.66895747e-09
13       3.30000000e-01    1.50000000e+02    6.38354662e-07    7.39788714e-09
14       3.40000000e-01    1.50000000e+02    8.37128143e-07    9.66326814e-09
15       3.50000000e-01    1.50000000e+02    1.09771352e-06    1.26330022e-08
16       3.60000000e-01    1.50000000e+02    1.43929085e-06    1.65277460e-08
17       3.70000000e-01    1.50000000e+02    1.88696710e-06    2.16375084e-08
18       3.80000000e-01    1.50000000e+02    2.47359190e-06    2.83434651e-08
19       3.90000000e-01    1.50000000e+02    3.24211946e-06    3.71466270e-08
20       4.00000000e-01    1.50000000e+02    4.24867352e-06    4.87055049e-08
21       4.10000000e-01    1.50000000e+02    5.56651319e-06    6.38855791e-08
22       4.20000000e-01    1.50000000e+02    7.29114462e-06    8.38242434e-08
23       4.30000000e-01    1.50000000e+02    9.54687682e-06    1.10016016e-07
24       4.40000000e-01    1.50000000e+02    1.24951747e-05    1.44424257e-07
25       4.50000000e-01    1.50000000e+02    1.63452112e-05    1.89627503e-07
