Index       TIME           {V(1)+6.0}     {NINT(V(1)+6.0)} 
256      1.55079714e-03    4.43111722e+00    4.00000000e+00
257      1.55678766e-03    4.25357756e+00    4.00000000e+00
258      1.56277818e-03    4.07851181e+00    4.00000000e+00
259      1.56876869e-03    3.90616798e+00    4.00000000e+00
260      1.57475921e-03    3.73679021e+00    4.00000000e+00
261      1.58074973e-03    3.57061842e+00    4.00000000e+00
262      1.58674025e-03    3.40788802e+00    3.00000000e+00
263      1.59273076e-03    3.24882951e+00    3.00000000e+00
264      1.59872128e-03    3.09366822e+00    3.00000000e+00
265      1.60471180e-03    2.94262395e+00    3.00000000e+00
266      1.61070231e-03    2.79591065e+00    3.00000000e+00
267      1.61669283e-03    2.65373616e+00    3.00000000e+00
268      1.62268335e-03    2.51630188e+00    3.00000000e+00
269      1.62867387e-03    2.38380249e+00    2.00000000e+00
270      1.63466438e-03    2.25642568e+00    2.00000000e+00
271      1.64065490e-03    2.13435190e+00    2.00000000e+00
272      1.64664542e-03    2.01775407e+00    2.00000000e+00
273      1.65263593e-03    1.90679735e+00    2.00000000e+00
274      1.65862645e-03    1.80163893e+00    2.00000000e+00
275      1.66461697e-03    1.70242777e+00    2.00000000e+00
276      1.67060749e-03    1.60930441e+00    2.00000000e+00
277      1.67659800e-03    1.52240076e+00    2.00000000e+00
278      1.68258852e-03    1.44183993e+00    1.00000000e+00
279      1.68857904e-03    1.36773604e+00    1.00000000e+00
280      1.69456955e-03    1.30019406e+00    1.00000000e+00
281      1.70056007e-03    1.23930967e+00    1.00000000e+00
282      1.70655059e-03    1.18516912e+00    1.00000000e+00
283      1.71254111e-03    1.13784910e+00    1.00000000e+00
284      1.71853162e-03    1.09741664e+00    1.00000000e+00
285      1.72452214e-03    1.06392901e+00    1.00000000e+00
286      1.73051266e-03    1.03743367e+00    1.00000000e+00
287      1.73650317e-03    1.01796813e+00    1.00000000e+00
288      1.74249369e-03    1.00555997e+00    1.00000000e+00
289      1.74848421e-03    1.00022676e+00    1.00000000e+00
290      1.75447473e-03    1.00197608e+00    1.00000000e+00
291      1.76046524e-03    1.01080542e+00    1.00000000e+00
292      1.76645576e-03    1.02670230e+00    1.00000000e+00
293      1.77244628e-03    1.04964419e+00    1.00000000e+00
294      1.77843679e-03    1.07959858e+00    1.00000000e+00
295      1.78442731e-03    1.11652305e+00    1.00000000e+00
296      1.79041783e-03    1.16036530e+00    1.00000000e+00
297      1.79640835e-03    1.21106321e+00    1.00000000e+00
298      1.80239886e-03    1.26854497e+00    1.00000000e+00
299      1.80838938e-03    1.33272915e+00    1.00000000e+00
300      1.81437990e-03    1.40352484e+00    1.00000000e+00
301      1.82037041e-03    1.48083173e+00    1.00000000e+00
302      1.82636093e-03    1.56454034e+00    2.00000000e+00
303      1.83235145e-03    1.65453207e+00    2.00000000e+00
304      1.83834197e-03    1.75067944e+00    2.00000000e+00
305      1.84433248e-03    1.85284626e+00    2.00000000e+00
306      1.85032300e-03    1.96088780e+00    2.00000000e+00
307      1.85631352e-03    2.07465102e+00    2.00000000e+00
308      1.86230403e-03    2.19397475e+00    2.00000000e+00
309      1.86829455e-03    2.31868998e+00    2.00000000e+00
310      1.87428507e-03    2.44862002e+00    2.00000000e+00
311      1.88027559e-03    2.58358084e+00    3.00000000e+00
312      1.88626610e-03    2.72338124e+00    3.00000000e+00
313      1.89225662e-03    2.86782319e+00    3.00000000e+00
314      1.89824714e-03    3.01670207e+00    3.00000000e+00
315      1.90423765e-03    3.16980700e+00    3.00000000e+00
316      1.91022817e-03    3.32692109e+00    3.00000000e+00
317      1.91621869e-03    3.48782177e+00    3.00000000e+00
318      1.92220921e-03    3.65228112e+00    4.00000000e+00
319      1.92819972e-03    3.82006617e+00    4.00000000e+00
320      1.93419024e-03    3.99093924e+00    4.00000000e+00
321      1.94018076e-03    4.16465828e+00    4.00000000e+00
322      1.94617127e-03    4.34097721e+00    4.00000000e+00
323      1.95216179e-03    4.51964625e+00    5.00000000e+00
324      1.95815231e-03    4.70041232e+00    5.00000000e+00
325      1.96414283e-03    4.88301933e+00    5.00000000e+00
326      1.97013334e-03    5.06720863e+00    5.00000000e+00
327      1.97612386e-03    5.25271928e+00    5.00000000e+00
328      1.98211438e-03    5.43928851e+00    5.00000000e+00
329      1.98810489e-03    5.62665202e+00    6.00000000e+00
330      1.99409541e-03    5.81454441e+00    6.00000000e+00
331      2.00607645e-03    6.19085078e+00    6.00000000e+00
332      2.01685938e-03    6.52866291e+00    7.00000000e+00
333      2.02577448e-03    6.80619446e+00    7.00000000e+00
334      2.03468959e-03    7.08119706e+00    7.00000000e+00
335      2.04360469e-03    7.35280807e+00    7.00000000e+00
336      2.05251980e-03    7.62017547e+00    8.00000000e+00
337      2.06143490e-03    7.88246057e+00    8.00000000e+00
338      2.07035001e-03    8.13884059e+00    8.00000000e+00
339      2.07926511e-03    8.38851131e+00    8.00000000e+00
340      2.08818022e-03    8.63068953e+00    9.00000000e+00
341      2.09709532e-03    8.86461557e+00    9.00000000e+00
342      2.10601043e-03    9.08955563e+00    9.00000000e+00
343      2.11492553e-03    9.30480411e+00    9.00000000e+00
344      2.12384064e-03    9.50968577e+00    1.00000000e+01
345      2.13275574e-03    9.70355795e+00    1.00000000e+01
346      2.14167085e-03    9.88581247e+00    1.00000000e+01
347      2.15058595e-03    1.00558776e+01    1.00000000e+01
348      2.15950106e-03    1.02132200e+01    1.00000000e+01
349      2.16841616e-03    1.03573459e+01    1.00000000e+01
350      2.17733127e-03    1.04878033e+01    1.00000000e+01
351      2.18624637e-03    1.06041830e+01    1.10000000e+01
352      2.19516148e-03    1.07061198e+01    1.10000000e+01
353      2.20407658e-03    1.07932941e+01    1.10000000e+01
354      2.21299169e-03    1.08654324e+01    1.10000000e+01
355      2.22190679e-03    1.09223083e+01    1.10000000e+01
356      2.23082190e-03    1.09637435e+01    1.10000000e+01
357      2.23973700e-03    1.09896080e+01    1.10000000e+01
358      2.24865211e-03    1.09998207e+01    1.10000000e+01
359      2.25756721e-03    1.09943495e+01    1.10000000e+01
360      2.26648232e-03    1.09732115e+01    1.10000000e+01
361      2.27539742e-03    1.09364731e+01    1.10000000e+01
362      2.28431253e-03    1.08842496e+01    1.10000000e+01
363      2.29322764e-03    1.08167047e+01    1.10000000e+01
364      2.30214274e-03    1.07340504e+01    1.10000000e+01
365      2.31105785e-03    1.06365459e+01    1.10000000e+01
366      2.31997295e-03    1.05244970e+01    1.10000000e+01
367      2.32888806e-03    1.03982553e+01    1.00000000e+01
368      2.33780316e-03    1.02582168e+01    1.00000000e+01
369      2.34671827e-03    1.01048207e+01    1.00000000e+01
370      2.35563337e-03    9.93854822e+00    1.00000000e+01
371      2.36454848e-03    9.75992097e+00    1.00000000e+01
372      2.37346358e-03    9.56949927e+00    1.00000000e+01
373      2.38237869e-03    9.36788045e+00    9.00000000e+00
374      2.39129379e-03    9.15569696e+00    9.00000000e+00
375      2.40020890e-03    8.93361440e+00    9.00000000e+00
376      2.40912400e-03    8.70232942e+00    9.00000000e+00
377      2.41803911e-03    8.46256754e+00    8.00000000e+00
378      2.42695421e-03    8.21508085e+00    8.00000000e+00
379      2.43586932e-03    7.96064570e+00    8.00000000e+00
380      2.44478442e-03    7.70006022e+00    8.00000000e+00
381      2.45369953e-03    7.43414184e+00    7.00000000e+00
382      2.46261463e-03    7.16372472e+00    7.00000000e+00
383      2.47152974e-03    6.88965713e+00    7.00000000e+00
384      2.48044484e-03    6.61279878e+00    7.00000000e+00
385      2.48935995e-03    6.33401814e+00    6.00000000e+00
386      2.49827505e-03    6.05418973e+00    6.00000000e+00
387      2.50273261e-03    5.91415687e+00    6.00000000e+00
388      2.50668589e-03    5.79001842e+00    6.00000000e+00
389      2.51063917e-03    5.66600953e+00    6.00000000e+00
390      2.51459245e-03    5.54220669e+00    6.00000000e+00
391      2.51854573e-03    5.41868629e+00    5.00000000e+00
392      2.52249901e-03    5.29552453e+00    5.00000000e+00
393      2.53040558e-03    5.05058062e+00    5.00000000e+00
394      2.53831214e-03    4.80797934e+00    5.00000000e+00
395      2.54621870e-03    4.56831930e+00    5.00000000e+00
396      2.55412526e-03    4.33219183e+00    4.00000000e+00
397      2.56203183e-03    4.10017958e+00    4.00000000e+00
398      2.56993839e-03    3.87285501e+00    4.00000000e+00
399      2.57784495e-03    3.65077903e+00    4.00000000e+00
400      2.58575152e-03    3.43449961e+00    3.00000000e+00
401      2.59365808e-03    3.22455039e+00    3.00000000e+00
402      2.60156464e-03    3.02144942e+00    3.00000000e+00
403      2.60947121e-03    2.82569783e+00    3.00000000e+00
404      2.61737777e-03    2.63777863e+00    3.00000000e+00
405      2.62528433e-03    2.45815550e+00    2.00000000e+00
406      2.63319089e-03    2.28727163e+00    2.00000000e+00
407      2.64109746e-03    2.12554869e+00    2.00000000e+00
408      2.64900402e-03    1.97338571e+00    2.00000000e+00
409      2.65691058e-03    1.83115814e+00    2.00000000e+00
410      2.66481715e-03    1.69921692e+00    2.00000000e+00
411      2.67272371e-03    1.57788760e+00    2.00000000e+00
412      2.68063027e-03    1.46746957e+00    1.00000000e+00
413      2.68853683e-03    1.36823526e+00    1.00000000e+00
414      2.69644340e-03    1.28042954e+00    1.00000000e+00
415      2.70434996e-03    1.20426905e+00    1.00000000e+00
416      2.71225652e-03    1.13994173e+00    1.00000000e+00
417      2.72016309e-03    1.08760628e+00    1.00000000e+00
418      2.72806965e-03    1.04739185e+00    1.00000000e+00
419      2.73597621e-03    1.01939766e+00    1.00000000e+00
420      2.74388277e-03    1.00369280e+00    1.00000000e+00
421      2.75178934e-03    1.00031599e+00    1.00000000e+00
422      2.75969590e-03    1.00927559e+00    1.00000000e+00
423      2.76760246e-03    1.03054948e+00    1.00000000e+00
424      2.77550903e-03    1.06408518e+00    1.00000000e+00
425      2.78341559e-03    1.10979992e+00    1.00000000e+00
426      2.79132215e-03    1.16758092e+00    1.00000000e+00
427      2.79922871e-03    1.23728560e+00    1.00000000e+00
428      2.80713528e-03    1.31874198e+00    1.00000000e+00
429      2.81504184e-03    1.41174906e+00    1.00000000e+00
430      2.82294840e-03    1.51607736e+00    2.00000000e+00
431      2.83085497e-03    1.63146945e+00    2.00000000e+00
432      2.83876153e-03    1.75764060e+00    2.00000000e+00
433      2.84666809e-03    1.89427951e+00    2.00000000e+00
434      2.85457465e-03    2.04104902e+00    2.00000000e+00
435      2.86248122e-03    2.19758698e+00    2.00000000e+00
436      2.87038778e-03    2.36350716e+00    2.00000000e+00
437      2.87829434e-03    2.53840015e+00    3.00000000e+00
438      2.88620091e-03    2.72183441e+00    3.00000000e+00
439      2.89410747e-03    2.91335734e+00    3.00000000e+00
440      2.90201403e-03    3.11249636e+00    3.00000000e+00
441      2.90992060e-03    3.31876011e+00    3.00000000e+00
442      2.91782716e-03    3.53163965e+00    4.00000000e+00
443      2.92573372e-03    3.75060971e+00    4.00000000e+00
