Index        TIME        {20.0 + V(30)}
513     6.29236165e-04   2.21558680e+01   
514     6.30494583e-04   2.21973969e+01   
515     6.31753000e-04   2.22210309e+01   
516     6.33011418e-04   2.22265912e+01   
517     6.34269835e-04   2.22118174e+01   
518     6.35528252e-04   2.21751882e+01   
519     6.36786670e-04   2.21152092e+01   
520     6.38045087e-04   2.20323946e+01   
521     6.39303504e-04   2.19250500e+01   
522     6.40561922e-04   2.17923718e+01   
523     6.41820339e-04   2.16336645e+01   
524     6.43820339e-04   2.13295105e+01   
525     6.45820339e-04   2.09613782e+01   
526     6.47820339e-04   2.05317796e+01   
527     6.49820339e-04   2.00451963e+01   
528     6.51820339e-04   1.95082613e+01   
529     6.53110813e-04   1.91366250e+01   
530     6.54401286e-04   1.87489416e+01   
531     6.55691760e-04   1.83480422e+01   
532     6.56982233e-04   1.79371295e+01   
533     6.58272707e-04   1.75197892e+01   
534     6.59434133e-04   1.71391274e+01   
535     6.60595559e-04   1.67576980e+01   
536     6.61756985e-04   1.63783296e+01   
537     6.62918411e-04   1.60040281e+01   
538     6.64079837e-04   1.56379756e+01   
539     6.65241263e-04   1.52810933e+01   
540     6.66402690e-04   1.49374780e+01   
541     6.67564116e-04   1.46101828e+01   
542     6.68725542e-04   1.43023203e+01   
543     6.69886968e-04   1.40170536e+01   
544     6.71048394e-04   1.37558106e+01   
545     6.72209820e-04   1.35221733e+01   
546     6.73371246e-04   1.33188710e+01   
547     6.74532673e-04   1.31485484e+01   
548     6.75694099e-04   1.30137485e+01   
549     6.76855525e-04   1.29159779e+01   
550     6.78016951e-04   1.28576841e+01   
551     6.79178377e-04   1.28407120e+01   
552     6.80339803e-04   1.28666806e+01   
553     6.81501229e-04   1.29369615e+01   
554     6.82662655e-04   1.30526376e+01   
555     6.83824082e-04   1.32145253e+01   
556     6.84985508e-04   1.34231198e+01   
557     6.86146934e-04   1.36785821e+01   
558     6.87308360e-04   1.39807181e+01   
559     6.88469786e-04   1.43297296e+01   
560     6.89631212e-04   1.47245183e+01   
561     6.90792638e-04   1.51639457e+01   
562     6.91954065e-04   1.56464825e+01   
563     6.93115491e-04   1.61701908e+01   
564     6.94276917e-04   1.67341866e+01   
565     6.95438343e-04   1.73354169e+01   
566     6.96599769e-04   1.79710956e+01   
567     6.97761195e-04   1.86380553e+01   
568     6.98922621e-04   1.93327375e+01   
569     7.00084048e-04   2.00531502e+01   
570     7.01245474e-04   2.07945983e+01   
571     7.02406900e-04   2.15529343e+01   
572     7.03568326e-04   2.23237106e+01   
573     7.04729752e-04   2.31021811e+01   
574     7.05775036e-04   2.38070321e+01   
575     7.06820319e-04   2.45115109e+01   
576     7.07865603e-04   2.52120225e+01   
577     7.08910886e-04   2.59048667e+01   
578     7.09956170e-04   2.65862457e+01   
579     7.11001453e-04   2.72535968e+01   
580     7.12046737e-04   2.79026870e+01   
581     7.13092020e-04   2.85298652e+01   
582     7.14137304e-04   2.91314877e+01   
583     7.15182587e-04   2.97039313e+01   
584     7.16227871e-04   3.02444400e+01   
585     7.17273154e-04   3.07493233e+01   
586     7.18318438e-04   3.12153617e+01   
587     7.19363721e-04   3.16394611e+01   
588     7.20409005e-04   3.20186702e+01   
589     7.21454288e-04   3.23505098e+01   
590     7.22499572e-04   3.26323137e+01   
591     7.23544856e-04   3.28617645e+01   
592     7.24590139e-04   3.30367775e+01   
593     7.25635423e-04   3.31555202e+01   
594     7.26680706e-04   3.32162174e+01   
595     7.27725990e-04   3.32176338e+01   
596     7.28771273e-04   3.31587383e+01   
597     7.29816557e-04   3.30388152e+01   
598     7.30861840e-04   3.28574812e+01   
599     7.31907124e-04   3.26139966e+01   
600     7.32952407e-04   3.23088160e+01   
601     7.33997691e-04   3.19424334e+01   
602     7.35042974e-04   3.15157017e+01   
603     7.36088258e-04   3.10298471e+01   
604     7.37133541e-04   3.04853580e+01   
605     7.38178825e-04   2.98844372e+01   
606     7.39224108e-04   2.92291502e+01   
607     7.40269392e-04   2.85219198e+01   
608     7.41314675e-04   2.77655336e+01   
609     7.42359959e-04   2.69617463e+01   
610     7.43405242e-04   2.61143343e+01   
611     7.44450526e-04   2.52267724e+01   
612     7.45495809e-04   2.43028418e+01   
613     7.46541093e-04   2.33466300e+01   
614     7.47586377e-04   2.23610292e+01   
615     7.48631660e-04   2.13509923e+01   
616     7.49676944e-04   2.03210419e+01   
617     7.50722227e-04   1.92759120e+01   
618     7.51767511e-04   1.82205395e+01   
619     7.52812794e-04   1.71586647e+01   
620     7.53858078e-04   1.60958407e+01   
621     7.54903361e-04   1.50371169e+01   
622     7.55948645e-04   1.39876252e+01   
623     7.56993928e-04   1.29525646e+01   
624     7.58039212e-04   1.19361033e+01   
625     7.59084495e-04   1.09437097e+01   
626     7.60129779e-04   9.98034216e+00   
