Index       V(G)              V(D)             I(V_D)            I(V_G)            I(V_S)      
32       6.80000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
33       6.70000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
34       6.60000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
35       6.50000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
36       6.40000000e-01   -1.00000000e+00   -1.00000000e-15    0.00000000e+00    1.00000000e-15
37       6.30000000e-01   -1.00000000e+00   -1.00000001e-15    0.00000000e+00    1.00000001e-15
38       6.20000000e-01   -1.00000000e+00   -1.00000001e-15    0.00000000e+00    1.00000001e-15
39       6.10000000e-01   -1.00000000e+00   -1.00000001e-15    0.00000000e+00    1.00000001e-15
40       6.00000000e-01   -1.00000000e+00   -1.00000002e-15    0.00000000e+00    1.00000002e-15
41       5.90000000e-01   -1.00000000e+00   -1.00000002e-15    0.00000000e+00    1.00000002e-15
42       5.80000000e-01   -1.00000000e+00   -1.00000003e-15    0.00000000e+00    1.00000003e-15
43       5.70000000e-01   -1.00000000e+00   -1.00000005e-15    0.00000000e+00    1.00000005e-15
44       5.60000000e-01   -1.00000000e+00   -1.00000007e-15    0.00000000e+00    1.00000007e-15
45       5.50000000e-01   -1.00000000e+00   -1.00000009e-15    0.00000000e+00    1.00000009e-15
46       5.40000000e-01   -1.00000000e+00   -1.00000013e-15    0.00000000e+00    1.00000013e-15
47       5.30000000e-01   -1.00000000e+00   -1.00000019e-15    0.00000000e+00    1.00000019e-15
48       5.20000000e-01   -1.00000000e+00   -1.00000027e-15    0.00000000e+00    1.00000027e-15
49       5.10000000e-01   -1.00000000e+00   -1.00000038e-15    0.00000000e+00    1.00000038e-15
50       5.00000000e-01   -1.00000000e+00   -1.00000053e-15    0.00000000e+00    1.00000053e-15
51       4.90000000e-01   -1.00000000e+00   -1.00000075e-15    0.00000000e+00    1.00000075e-15
52       4.80000000e-01   -1.00000000e+00   -1.00000106e-15    0.00000000e+00    1.00000106e-15
53       4.70000000e-01   -1.00000000e+00   -1.00000150e-15    0.00000000e+00    1.00000150e-15
54       4.60000000e-01   -1.00000000e+00   -1.00000212e-15    0.00000000e+00    1.00000212e-15
55       4.50000000e-01   -1.00000000e+00   -1.00000299e-15    0.00000000e+00    1.00000299e-15
56       4.40000000e-01   -1.00000000e+00   -1.00000423e-15    0.00000000e+00    1.00000423e-15
57       4.30000000e-01   -1.00000000e+00   -1.00000597e-15    0.00000000e+00    1.00000597e-15
