Index    V(COLL)    V(BASE)    I(V_COLL)    I(V_BASE)
29    1.4500000000E+00    8.5000000000E-01    1.4377665200E-02    2.8779428070E-04
30    1.5000000000E+00    8.5000000000E-01    1.4606995800E-02    3.0220067340E-04
31    1.5500000000E+00    8.5000000000E-01    1.4845146700E-02    3.1771587120E-04
32    1.6000000000E+00    8.5000000000E-01    1.5092594500E-02    3.3445275890E-04
33    1.6500000000E+00    8.5000000000E-01    1.5349838300E-02    3.5253791870E-04
34    1.7000000000E+00    8.5000000000E-01    1.5617398000E-02    3.7211341430E-04
35    1.7500000000E+00    8.5000000000E-01    1.5895812100E-02    3.9333878210E-04
36    1.8000000000E+00    8.5000000000E-01    1.6185633600E-02    4.1639323300E-04
37    1.8500000000E+00    8.5000000000E-01    1.6487424300E-02    4.4147805930E-04
38    1.9000000000E+00    8.5000000000E-01    1.6801746900E-02    4.6881922450E-04
39    1.9500000000E+00    8.5000000000E-01    1.7129154300E-02    4.9867009030E-04
40    2.0000000000E+00    8.5000000000E-01    1.7470176000E-02    5.3131419970E-04
0    0.0000000000E+00    9.0000000000E-01    -3.6754602850E-04    1.0330157000E-03
1    5.0000000000E-02    9.0000000000E-01    1.0971417100E-02    5.9842269770E-04
2    1.0000000000E-01    9.0000000000E-01    1.9973487900E-02    3.8278285070E-04
3    1.5000000000E-01    9.0000000000E-01    2.4998413000E-02    3.0858136930E-04
4    2.0000000000E-01    9.0000000000E-01    2.6760121600E-02    3.0352264530E-04
5    2.5000000000E-01    9.0000000000E-01    2.7424733900E-02    3.1900323020E-04
6    3.0000000000E-01    9.0000000000E-01    2.7883299700E-02    3.3975890110E-04
7    3.5000000000E-01    9.0000000000E-01    2.8317681100E-02    3.6299402140E-04
8    4.0000000000E-01    9.0000000000E-01    2.8759107500E-02    3.8840769180E-04
9    4.5000000000E-01    9.0000000000E-01    2.9213097400E-02    4.1613772780E-04
10    5.0000000000E-01    9.0000000000E-01    2.9680858600E-02    4.4641597250E-04
11    5.5000000000E-01    9.0000000000E-01    3.0162832100E-02    4.7951381120E-04
12    6.0000000000E-01    9.0000000000E-01    3.0659274500E-02    5.1573549660E-04
13    6.5000000000E-01    9.0000000000E-01    3.1170343400E-02    5.5541946250E-04
14    7.0000000000E-01    9.0000000000E-01    3.1696095100E-02    5.9894095580E-04
15    7.5000000000E-01    9.0000000000E-01    3.2236464300E-02    6.4671474910E-04
16    8.0000000000E-01    9.0000000000E-01    3.2791238300E-02    6.9919756230E-04
17    8.5000000000E-01    9.0000000000E-01    3.3360027900E-02    7.5688992000E-04
18    9.0000000000E-01    9.0000000000E-01    3.3942235500E-02    8.2033713540E-04
19    9.5000000000E-01    9.0000000000E-01    3.4537022200E-02    8.9012904870E-04
20    1.0000000000E+00    9.0000000000E-01    3.5143274200E-02    9.6689808860E-04
21    1.0500000000E+00    9.0000000000E-01    3.5759572200E-02    1.0513152000E-03
22    1.1000000000E+00    9.0000000000E-01    3.6384164500E-02    1.1440831000E-03
23    1.1500000000E+00    9.0000000000E-01    3.7014948900E-02    1.2459265000E-03
24    1.2000000000E+00    9.0000000000E-01    3.7649465500E-02    1.3575794000E-03
25    1.2500000000E+00    9.0000000000E-01    3.8284905600E-02    1.4797678000E-03
26    1.3000000000E+00    9.0000000000E-01    3.8918138900E-02    1.6131910000E-03
27    1.3500000000E+00    9.0000000000E-01    3.9545762400E-02    1.7584990000E-03
28    1.4000000000E+00    9.0000000000E-01    4.0164169900E-02    1.9162693000E-03
