Index       TIME              V(IN)          V(AWL1_OUT)       V(LPF1_OUT)       V(LIM1_OUT)       V(AWL2_OUT)       V(LPF2_OUT)       V(LIM2_OUT)   
120      4.99167012e+00   -9.60552829e-01   -5.01743970e-01   -6.15482797e-01   -5.00000000e-01   -2.86455790e-01   -2.70050587e-01   -2.70050587e-01
121      5.11040696e+00   -9.20823257e-01   -5.01548501e-01   -6.51932668e-01   -5.00000000e-01   -3.24176806e-01   -3.08717476e-01   -3.08717476e-01
122      5.22914380e+00   -8.68113620e-01   -5.01374941e-01   -6.79116724e-01   -5.00000000e-01   -3.57058064e-01   -3.42490072e-01   -3.42490072e-01
123      5.34788064e+00   -8.03166921e-01   -5.01220834e-01   -6.96660301e-01   -5.00000000e-01   -3.84651640e-01   -3.70923593e-01   -3.70923593e-01
124      5.46661747e+00   -7.26898658e-01   -5.01084000e-01   -7.04323672e-01   -5.00000000e-01   -4.06583245e-01   -3.93646715e-01   -3.93646715e-01
125      5.58535431e+00   -6.40383921e-01   -5.00962502e-01   -7.02005535e-01   -5.00000000e-01   -4.22557558e-01   -4.10366909e-01   -4.10366909e-01
126      5.70409115e+00   -5.44842235e-01   -5.00854622e-01   -6.89744537e-01   -5.00000000e-01   -4.32362435e-01   -4.20874661e-01   -4.20874661e-01
127      5.82282799e+00   -4.41620370e-01   -4.97487162e-01   -6.67718809e-01   -5.00000000e-01   -4.35871947e-01   -4.25046522e-01   -4.25046522e-01
128      5.92969114e+00   -3.43354811e-01   -4.86835701e-01   -6.39798557e-01   -5.00000000e-01   -4.33614170e-01   -4.23352115e-01   -4.23352115e-01
129      6.01818475e+00   -2.58962633e-01   -4.71100698e-01   -6.11100875e-01   -5.00000000e-01   -4.27880293e-01   -4.18062472e-01   -4.18062472e-01
130      6.09782900e+00   -1.81255941e-01   -4.51876234e-01   -5.81153222e-01   -5.00000000e-01   -4.19767935e-01   -4.10333449e-01   -4.10333449e-01
131      6.17747325e+00   -1.02398947e-01   -4.28128323e-01   -5.47503455e-01   -5.00000000e-01   -4.08915831e-01   -3.99849711e-01   -3.99849711e-01
132      6.25711751e+00   -2.28921007e-02   -4.00134493e-01   -5.10366193e-01   -5.00000000e-01   -3.95395809e-01   -3.86683673e-01   -3.86683673e-01
133      6.28522751e+00    5.23013411e-03   -3.89051243e-01   -4.96269050e-01   -4.96269050e-01   -3.89843056e-01   -3.81251671e-01   -3.81251671e-01
134      6.29429766e+00    1.43044247e-02   -3.85425630e-01   -4.91679696e-01   -4.91679696e-01   -3.88018490e-01   -3.79465893e-01   -3.79465893e-01
135      6.30246080e+00    2.24703003e-02   -3.82122879e-01   -4.87516602e-01   -4.87516602e-01   -3.86349862e-01   -3.77832031e-01   -3.77832031e-01
136      6.31878708e+00    3.87970105e-02   -3.75438666e-01   -4.79125634e-01   -4.79125634e-01   -3.82959805e-01   -3.74511223e-01   -3.74511223e-01
137      6.35143963e+00    7.14150228e-02   -3.61606116e-01   -4.61961827e-01   -4.61961827e-01   -3.75865731e-01   -3.67553966e-01   -3.67553966e-01
138      6.38409219e+00    1.03956823e-01   -3.47171251e-01   -4.44302731e-01   -4.44302731e-01   -3.68358937e-01   -3.60181773e-01   -3.60181773e-01
139      6.41674474e+00    1.36387682e-01   -3.32156428e-01   -4.26167265e-01   -4.26167265e-01   -3.60447622e-01   -3.52402881e-01   -3.52402881e-01
140      6.44939730e+00    1.68672992e-01   -3.16584400e-01   -4.07574855e-01   -4.07574855e-01   -3.52140415e-01   -3.44225950e-01   -3.44225950e-01
141      6.48204985e+00    2.00778299e-01   -3.00478299e-01   -3.88545411e-01   -3.88545411e-01   -3.43446361e-01   -3.35660064e-01   -3.35660064e-01
142      6.51470240e+00    2.32669339e-01   -2.83861617e-01   -3.69099307e-01   -3.69099307e-01   -3.34374919e-01   -3.26714714e-01   -3.26714714e-01
143      6.54735496e+00    2.64312080e-01   -2.66758189e-01   -3.49257360e-01   -3.49257360e-01   -3.24935945e-01   -3.17399790e-01   -3.17399790e-01
144      6.58000751e+00    2.95672753e-01   -2.49192172e-01   -3.29040808e-01   -3.29040808e-01   -3.15139685e-01   -3.07725571e-01   -3.07725571e-01
145      6.61266007e+00    3.26717892e-01   -2.31188030e-01   -3.08471287e-01   -3.08471287e-01   -3.04996764e-01   -2.97702715e-01   -2.97702715e-01
146      6.64531262e+00    3.57414365e-01   -2.12770506e-01   -2.87570805e-01   -2.87570805e-01   -2.94518174e-01   -2.87342245e-01   -2.87342245e-01
147      6.67796518e+00    3.87729414e-01   -1.93964612e-01   -2.66361725e-01   -2.66361725e-01   -2.83715262e-01   -2.76655541e-01   -2.76655541e-01
148      6.74327029e+00    4.47086275e-01   -1.55301322e-01   -2.23120030e-01   -2.23120030e-01   -2.61189562e-01   -2.54356656e-01   -2.54356656e-01
149      6.80857540e+00    5.04535166e-01   -1.15389698e-01   -1.78919540e-01   -1.78919540e-01   -2.37511200e-01   -2.30897821e-01   -2.30897821e-01
150      6.87388051e+00    5.59830919e-01   -7.44370959e-02   -1.33949301e-01   -1.33949301e-01   -2.12782445e-01   -2.06381541e-01   -2.06381541e-01
151      6.93918562e+00    6.12737557e-01   -3.26529752e-02   -8.84016191e-02   -8.84016191e-02   -1.87110011e-01   -1.80914756e-01   -1.80914756e-01
152      7.00449073e+00    6.63029297e-01    9.75185206e-03   -4.24712389e-02   -4.24712389e-02   -1.60604603e-01   -1.54608389e-01   -1.54608389e-01
153      7.06979584e+00    7.10491516e-01    5.25659792e-02    3.64548464e-03    3.64548464e-03   -1.33380440e-01   -1.27576872e-01   -1.27576872e-01
154      7.13510094e+00    7.54921665e-01    9.55781781e-02    4.97514233e-02    4.97514233e-02   -1.05554775e-01   -9.99376646e-02   -9.99376646e-02
155      7.20040605e+00    7.96130136e-01    1.38578179e-01    9.56495150e-02    9.56495150e-02   -7.72473941e-02   -7.18107505e-02   -7.18107505e-02
156      7.26571116e+00    8.33941069e-01    1.81357452e-01    1.41143604e-01    1.41143604e-01   -4.85801048e-02   -4.33181298e-02   -4.33181298e-02
157      7.33101627e+00    8.68193103e-01    2.23709994e-01    1.86039276e-01    1.86039276e-01   -1.96762186e-02   -1.45833004e-02   -1.45833004e-02
158      7.39632138e+00    8.98740065e-01    2.65433105e-01    2.30144688e-01    2.30144688e-01    9.33997481e-03    1.42692675e-02    1.42692675e-02
159      7.46162649e+00    9.25451595e-01    3.06328157e-01    2.73271386e-01    2.73271386e-01    3.83437363e-02    4.31146606e-02    4.31146606e-02
160      7.52693160e+00    9.48213699e-01    3.46201359e-01    3.15235104e-01    3.15235104e-01    6.72104094e-02    7.18280533e-02    7.18280533e-02
161      7.59223671e+00    9.66929239e-01    3.84864501e-01    3.55856556e-01    3.55856556e-01    9.58159506e-02    1.00285239e-01    1.00285239e-01
162      7.65754182e+00    9.81518343e-01    4.22135675e-01    3.94962197e-01    3.94962197e-01    1.24037458e-01    1.28363157e-01    1.28363157e-01
163      7.72284693e+00    9.91918754e-01    4.57839984e-01    4.32384962e-01    4.32384962e-01    1.51753697e-01    1.55940420e-01    1.55940420e-01
164      7.78815204e+00    9.98086085e-01    4.91810221e-01    4.67964978e-01    4.67964978e-01    1.78845612e-01    1.82897823e-01    1.82897823e-01
165      7.85345715e+00    9.99994018e-01    5.08077665e-01    5.01550249e-01    5.00000000e-01    2.05196838e-01    2.09118860e-01    2.09118860e-01
166      7.86273681e+00    9.99918806e-01    5.08003396e-01    5.06132420e-01    5.00000000e-01    2.08867185e-01    2.12771093e-01    2.12771093e-01
167      7.87201647e+00    9.99757401e-01    5.07929470e-01    5.10692683e-01    5.00000000e-01    2.12528662e-01    2.16414499e-01    2.16414499e-01
168      7.88129614e+00    9.99509819e-01    5.07856227e-01    5.15208936e-01    5.00000000e-01    2.16172244e-01    2.20040093e-01    2.20040093e-01
169      7.89985546e+00    9.98756213e-01    5.07711762e-01    5.24107664e-01    5.00000000e-01    2.23404300e-01    2.27236423e-01    2.27236423e-01
170      7.93697412e+00    9.96216302e-01    5.07430727e-01    5.41358672e-01    5.00000000e-01    2.37638650e-01    2.41400304e-01    2.41400304e-01
171      8.01121142e+00    9.87020429e-01    5.06898833e-01    5.73588413e-01    5.00000000e-01    2.65115410e-01    2.68739982e-01    2.68739982e-01
172      8.08544872e+00    9.72381895e-01    5.06405012e-01    6.02658101e-01    5.00000000e-01    2.91156564e-01    2.94649048e-01    2.94649048e-01
173      8.15968603e+00    9.52381420e-01    5.05946539e-01    6.28407235e-01    5.00000000e-01    3.15617555e-01    3.18982765e-01    3.18982765e-01
174      8.23392333e+00    9.27129291e-01    5.05520884e-01    6.50693639e-01    5.00000000e-01    3.38362577e-01    3.41605151e-01    3.41605151e-01
175      8.30816064e+00    8.96764754e-01    5.05125697e-01    6.69394245e-01    5.00000000e-01    3.59265318e-01    3.62389724e-01    3.62389724e-01
176      8.38239794e+00    8.61455247e-01    5.04758798e-01    6.84405770e-01    5.00000000e-01    3.78209658e-01    3.81220204e-01    3.81220204e-01
177      8.45663525e+00    8.21395475e-01    5.04418162e-01    6.95645285e-01    5.00000000e-01    3.95090307e-01    3.97991141e-01    3.97991141e-01
