Index      V(COLL)           V(BASE)          I(V_COLL)         I(V_BASE)    
39       1.95000000e+00    8.50000000e-01    6.53977352e-03    9.67609765e-06
40       2.00000000e+00    8.50000000e-01    6.60363680e-03    4.83777208e-06
0        0.00000000e+00    9.00000000e-01   -4.01097395e-04    8.20505715e-04
1        5.00000000e-02    9.00000000e-01    6.31130877e-03    4.21466496e-04
2        1.00000000e-01    9.00000000e-01    1.05012441e-02    2.62236815e-04
3        1.50000000e-01    9.00000000e-01    1.28981937e-02    1.86246710e-04
4        2.00000000e-01    9.00000000e-01    1.41196540e-02    1.32738489e-04
5        2.50000000e-01    9.00000000e-01    1.46829983e-02    9.60860937e-05
6        3.00000000e-01    9.00000000e-01    1.50186448e-02    7.80137887e-05
7        3.50000000e-01    9.00000000e-01    1.52596452e-02    7.17713238e-05
8        4.00000000e-01    9.00000000e-01    1.54574955e-02    7.10884798e-05
9        4.50000000e-01    9.00000000e-01    1.56355510e-02    7.27681788e-05
10       5.00000000e-01    9.00000000e-01    1.58043235e-02    7.55044932e-05
11       5.50000000e-01    9.00000000e-01    1.59687729e-02    7.88061145e-05
12       6.00000000e-01    9.00000000e-01    1.61314663e-02    8.24957582e-05
13       6.50000000e-01    9.00000000e-01    1.62938820e-02    8.65155665e-05
14       7.00000000e-01    9.00000000e-01    1.64569651e-02    9.08548894e-05
15       7.50000000e-01    9.00000000e-01    1.66213885e-02    9.55233230e-05
16       8.00000000e-01    9.00000000e-01    1.67876379e-02    1.00541770e-04
17       8.50000000e-01    9.00000000e-01    1.69560021e-02    1.05938501e-04
18       9.00000000e-01    9.00000000e-01    1.71267272e-02    1.11744800e-04
19       9.50000000e-01    9.00000000e-01    1.73000635e-02    1.17988702e-04
20       1.00000000e+00    9.00000000e-01    1.74761833e-02    1.24716173e-04
21       1.05000000e+00    9.00000000e-01    1.76552651e-02    1.31965596e-04
22       1.10000000e+00    9.00000000e-01    1.78374560e-02    1.39781730e-04
23       1.15000000e+00    9.00000000e-01    1.80228865e-02    1.48212447e-04
24       1.20000000e+00    9.00000000e-01    1.82116759e-02    1.57308567e-04
25       1.25000000e+00    9.00000000e-01    1.84039366e-02    1.67123709e-04
26       1.30000000e+00    9.00000000e-01    1.85997782e-02    1.77714143e-04
27       1.35000000e+00    9.00000000e-01    1.87993113e-02    1.89138641e-04
