Index        TIME        {V(2)+11000.0}     {V(3)+1.0}
358     5.34091792e-09   1.57652716e+03   1.61934336e+00   
359     5.35877511e-09   1.58022254e+03   1.62256093e+00   
360     5.37663230e-09   1.58392977e+03   1.62578613e+00   
361     5.39448949e-09   1.58764619e+03   1.62901725e+00   
362     5.41234668e-09   1.59137182e+03   1.63225430e+00   
363     5.43044513e-09   1.59516527e+03   1.63554634e+00   
364     5.44854358e-09   1.59897087e+03   1.63884620e+00   
365     5.46664204e-09   1.60278860e+03   1.64215387e+00   
366     5.48474049e-09   1.60661577e+03   1.64546762e+00   
367     5.50283895e-09   1.61045237e+03   1.64878743e+00   
368     5.52118333e-09   1.61435903e+03   1.65216389e+00   
369     5.53952771e-09   1.61827814e+03   1.65554837e+00   
370     5.55787209e-09   1.62220969e+03   1.65894085e+00   
371     5.57621647e-09   1.62615092e+03   1.66233955e+00   
372     5.59456085e-09   1.63010183e+03   1.66574448e+00   
373     5.61315592e-09   1.63412510e+03   1.66920776e+00   
374     5.63175100e-09   1.63816114e+03   1.67267925e+00   
375     5.65034607e-09   1.64220994e+03   1.67615894e+00   
376     5.66894114e-09   1.64626865e+03   1.67964502e+00   
377     5.68753621e-09   1.65033729e+03   1.68313747e+00   
378     5.70638685e-09   1.65448069e+03   1.68669004e+00   
379     5.72523748e-09   1.65863718e+03   1.69025102e+00   
380     5.74408811e-09   1.66280675e+03   1.69382041e+00   
381     5.76293874e-09   1.66698649e+03   1.69739635e+00   
382     5.78178938e-09   1.67117641e+03   1.70097882e+00   
383     5.80090055e-09   1.67544355e+03   1.70462322e+00   
384     5.82001172e-09   1.67972413e+03   1.70827625e+00   
385     5.83912289e-09   1.68401812e+03   1.71193790e+00   
386     5.85823406e-09   1.68832254e+03   1.71560626e+00   
387     5.87734524e-09   1.69263739e+03   1.71928131e+00   
388     5.89672204e-09   1.69703203e+03   1.72302018e+00   
389     5.91609884e-09   1.70144045e+03   1.72676789e+00   
390     5.93547564e-09   1.70586262e+03   1.73052443e+00   
391     5.95485244e-09   1.71029549e+03   1.73428785e+00   
392     5.97422924e-09   1.71473905e+03   1.73805814e+00   
393     5.99387688e-09   1.71926506e+03   1.74189418e+00   
394     6.01352453e-09   1.72380518e+03   1.74573928e+00   
395     6.03317217e-09   1.72835942e+03   1.74959345e+00   
396     6.05281981e-09   1.73292463e+03   1.75345466e+00   
397     6.07246745e-09   1.73750081e+03   1.75732291e+00   
398     6.09239126e-09   1.74216217e+03   1.76125891e+00   
399     6.11231507e-09   1.74683801e+03   1.76520422e+00   
400     6.13223888e-09   1.75152833e+03   1.76915881e+00   
401     6.15216269e-09   1.75622991e+03   1.77312062e+00   
402     6.17208650e-09   1.76094273e+03   1.77708965e+00   
403     6.19229194e-09   1.76574356e+03   1.78112851e+00   
404     6.21249738e-09   1.77055926e+03   1.78517689e+00   
405     6.23270282e-09   1.77538980e+03   1.78923481e+00   
406     6.25290826e-09   1.78023189e+03   1.79330012e+00   
407     6.27311370e-09   1.78508552e+03   1.79737284e+00   
408     6.29360636e-09   1.79003009e+03   1.80151752e+00   
409     6.31409902e-09   1.79498990e+03   1.80567198e+00   
410     6.33459167e-09   1.79996495e+03   1.80983620e+00   
411     6.35508433e-09   1.80495184e+03   1.81400801e+00   
412     6.37557699e-09   1.80995057e+03   1.81818741e+00   
413     6.39636259e-09   1.81504328e+03   1.82244099e+00   
414     6.41714820e-09   1.82015163e+03   1.82670459e+00   
415     6.43793380e-09   1.82527560e+03   1.83097820e+00   
416     6.45871940e-09   1.83041173e+03   1.83525960e+00   
417     6.47950501e-09   1.83556000e+03   1.83954878e+00   
418     6.50058943e-09   1.84080539e+03   1.84391442e+00   
419     6.52167385e-09   1.84606683e+03   1.84829034e+00   
420     6.54275827e-09   1.85134431e+03   1.85267653e+00   
421     6.56384269e-09   1.85663425e+03   1.85707070e+00   
422     6.58492711e-09   1.86193665e+03   1.86147285e+00   
423     6.60631636e-09   1.86733942e+03   1.86595382e+00   
424     6.62770561e-09   1.87275866e+03   1.87044534e+00   
425     6.64909487e-09   1.87819436e+03   1.87494739e+00   
426     6.67048412e-09   1.88364284e+03   1.87945762e+00   
427     6.69187338e-09   1.88910412e+03   1.88397604e+00   
428     6.71357364e-09   1.89466913e+03   1.88857573e+00   
429     6.73527390e-09   1.90025104e+03   1.89318622e+00   
430     6.75697417e-09   1.90584984e+03   1.89780753e+00   
431     6.77867443e-09   1.91146176e+03   1.90243722e+00   
432     6.80037469e-09   1.91708680e+03   1.90707531e+00   
433     6.82239230e-09   1.92281907e+03   1.91179719e+00   
434     6.84440991e-09   1.92856869e+03   1.91653017e+00   
435     6.86642751e-09   1.93433563e+03   1.92127422e+00   
436     6.88844512e-09   1.94011604e+03   1.92602688e+00   
437     6.91046273e-09   1.94590992e+03   1.93078816e+00   
438     6.93280418e-09   1.95181465e+03   1.93563584e+00   
439     6.95514563e-09   1.95773717e+03   1.94049490e+00   
440     6.97748709e-09   1.96367747e+03   1.94536532e+00   
441     6.99982854e-09   1.96963160e+03   1.95024457e+00   
442     7.02216999e-09   1.97559955e+03   1.95513266e+00   
443     7.04484197e-09   1.98168210e+03   1.96010986e+00   
444     7.06751395e-09   1.98778291e+03   1.96509873e+00   
445     7.09018593e-09   1.99390197e+03   1.97009926e+00   
446     7.11285791e-09   2.00003522e+03   1.97510885e+00   
447     7.13552989e-09   2.00618266e+03   1.98012749e+00   
448     7.15853925e-09   2.01244857e+03   1.98523806e+00   
449     7.18154861e-09   2.01873324e+03   1.99036060e+00   
450     7.20455798e-09   2.02503664e+03   1.99549509e+00   
451     7.22756734e-09   2.03135460e+03   2.00063888e+00   
452     7.25057671e-09   2.03768712e+03   2.00579196e+00   
453     7.27393051e-09   2.04414215e+03   2.01103986e+00   
454     7.29728431e-09   2.05061642e+03   2.01630004e+00   
455     7.32063811e-09   2.05710993e+03   2.02157249e+00   
456     7.34399191e-09   2.06361839e+03   2.02685447e+00   
457     7.36734571e-09   2.07014178e+03   2.03214598e+00   
458     7.39105120e-09   2.07679187e+03   2.03753532e+00   
459     7.41475669e-09   2.08346171e+03   2.04293726e+00   
460     7.43846218e-09   2.09015130e+03   2.04835179e+00   
