Index        TIME           V(VINP)
4.750000e+02  1.855851e-04  6.317453e-01
4.760000e+02  1.860511e-04  5.941731e-01
4.770000e+02  1.865171e-04  5.575060e-01
4.780000e+02  1.869831e-04  5.217753e-01
4.790000e+02  1.874491e-04  4.870117e-01
4.800000e+02  1.879151e-04  4.532449e-01
4.810000e+02  1.883811e-04  4.205042e-01
4.820000e+02  1.888471e-04  3.888175e-01
4.830000e+02  1.893131e-04  3.582118e-01
4.840000e+02  1.897791e-04  3.287134e-01
4.850000e+02  1.902451e-04  3.003475e-01
4.860000e+02  1.906645e-04  2.758069e-01
4.870000e+02  1.910839e-04  2.522205e-01
4.880000e+02  1.915032e-04  2.296046e-01
4.890000e+02  1.919226e-04  2.079749e-01
4.900000e+02  1.923420e-04  1.873463e-01
4.910000e+02  1.927614e-04  1.677336e-01
4.920000e+02  1.931808e-04  1.491501e-01
4.930000e+02  1.936002e-04  1.316087e-01
4.940000e+02  1.940196e-04  1.151215e-01
4.950000e+02  1.944390e-04  9.969996e-02
4.960000e+02  1.948165e-04  8.674083e-02
4.970000e+02  1.951939e-04  7.466092e-02
4.980000e+02  1.955714e-04  6.346703e-02
4.990000e+02  1.959488e-04  5.316540e-02
5.000000e+02  1.963263e-04  4.376178e-02
5.010000e+02  1.967037e-04  3.526172e-02
5.020000e+02  1.970812e-04  2.766984e-02
5.030000e+02  1.974587e-04  2.099041e-02
5.040000e+02  1.978361e-04  1.522714e-02
5.050000e+02  1.982136e-04  1.038323e-02
5.060000e+02  1.985910e-04  6.461632e-03
5.070000e+02  1.989685e-04  3.464423e-03
5.080000e+02  1.993459e-04  1.393266e-03
5.090000e+02  1.997234e-04  2.492980e-04
5.100000e+02  2.001008e-04  3.312000e-05
5.110000e+02  2.004783e-04  7.450720e-04
5.120000e+02  2.008558e-04  2.384623e-03
5.130000e+02  2.012332e-04  4.950835e-03
5.140000e+02  2.016107e-04  8.442237e-03
5.150000e+02  2.019881e-04  1.285682e-02
