Index   TIME           V(1)           V(2)           V(3)           V(4)           
145     3.32597805e+00   7.06619759e-01   8.64471488e+00   -1.50814223e-01  9.36750674e-01   
146     3.41712155e+00   6.24590608e-01   9.24717342e+00   -2.04404551e-01  9.66009003e-01   
147     3.46838977e+00   5.78449211e-01   9.58605635e+00   -2.37734767e-01  9.81639978e-01   
148     3.51965798e+00   5.32307814e-01   9.92493928e+00   -2.73837159e-01  9.96727858e-01   
149     3.57092620e+00   4.86166416e-01   1.02638222e+01   -3.13215045e-01  1.01130912e+00   
150     3.62219442e+00   4.40025019e-01   1.06027051e+01   -3.56522630e-01  1.02541668e+00   
151     3.67346264e+00   3.93883622e-01   1.09415881e+01   -4.04632077e-01  1.03908036e+00   
152     3.72473086e+00   3.47742225e-01   1.12804710e+01   -4.58742572e-01  1.05232723e+00   
153     3.76318203e+00   3.13136177e-01   1.15346332e+01   -5.04266755e-01  1.06200379e+00   
154     3.81375828e+00   2.67617544e-01   1.18689423e+01   -5.72485419e-01  1.07441202e+00   
155     3.84220743e+00   2.42013314e-01   1.20569911e+01   -6.16160742e-01  1.08123894e+00   
156     3.87065657e+00   2.16409083e-01   1.22450400e+01   -6.64724515e-01  1.08796021e+00   
157     3.90677762e+00   1.83900146e-01   1.24838000e+01   -7.35417925e-01  1.09634680e+00   
158     3.94289866e+00   1.51391210e-01   1.27225601e+01   -8.19899341e-01  1.10457451e+00   
159     3.96875437e+00   1.28121065e-01   1.28934664e+01   -8.92379460e-01  1.11036969e+00   
160     3.98814616e+00   1.10668456e-01   1.30216461e+01   -9.55976148e-01  1.11466589e+00   
161     4.00000000e+00   1.00000000e-01   1.31000000e+01   -1.00000000e+00  1.11727130e+00   
162     4.00500000e+00   1.00000000e-01   1.31000000e+01   -1.00000000e+00  1.11727130e+00   
163     4.01500000e+00   1.00000000e-01   1.31000000e+01   -1.00000000e+00  1.11727130e+00   
164     4.03500000e+00   1.00000000e-01   1.31000000e+01   -1.00000000e+00  1.11727130e+00   
165     4.07500000e+00   1.00000000e-01   1.31000000e+01   -1.00000000e+00  1.11727130e+00   
166     4.15500000e+00   1.00000000e-01   1.31000000e+01   -1.00000000e+00  1.11727130e+00   
167     4.31500000e+00   1.00000000e-01   1.31000000e+01   -1.00000000e+00  1.11727130e+00   
168     4.63500000e+00   1.00000000e-01   1.31000000e+01   -1.00000000e+00  1.11727130e+00   
169     5.00000000e+00   1.00000000e-01   1.31000000e+01   -1.00000000e+00  1.11727130e+00   
End of Xyce(TM) Simulation
