Index        TIME            V(OBJ)
530     2.78152680e-04   4.57316296e-01   
531     2.78316520e-04   4.56566821e-01   
532     2.78480360e-04   4.55818574e-01   
533     2.78644200e-04   4.55071553e-01   
534     2.78808040e-04   4.54325757e-01   
535     2.78971880e-04   4.53581183e-01   
536     2.79135720e-04   4.52837830e-01   
537     2.79299560e-04   4.52095694e-01   
538     2.79463400e-04   4.51354775e-01   
539     2.79627240e-04   4.50615070e-01   
540     2.79791080e-04   4.49876577e-01   
541     2.79954920e-04   4.49139295e-01   
542     2.80118760e-04   4.48403221e-01   
543     2.80282600e-04   4.47668353e-01   
544     2.80446440e-04   4.46934690e-01   
545     2.80610280e-04   4.46202229e-01   
546     2.80774120e-04   4.45470968e-01   
547     2.80937960e-04   4.44740906e-01   
548     2.81101800e-04   4.44012040e-01   
549     2.81265640e-04   4.43284369e-01   
550     2.81429480e-04   4.42557890e-01   
551     2.81593320e-04   4.41832602e-01   
552     2.81757160e-04   4.41108502e-01   
553     2.81921000e-04   4.40385590e-01   
554     2.82084840e-04   4.39663862e-01   
555     2.82248680e-04   4.38943316e-01   
556     2.82412520e-04   4.38223952e-01   
557     2.82576360e-04   4.37505767e-01   
558     2.82740200e-04   4.36788758e-01   
559     2.82904040e-04   4.36072925e-01   
560     2.83067880e-04   4.35358265e-01   
561     2.83231720e-04   4.34644776e-01   
562     2.83395560e-04   4.33932456e-01   
563     2.83559400e-04   4.33221304e-01   
564     2.83723240e-04   4.32511317e-01   
565     2.83887080e-04   4.31802494e-01   
566     2.84050920e-04   4.31094832e-01   
567     2.84214760e-04   4.30388330e-01   
568     2.84378600e-04   4.29682986e-01   
569     2.84542440e-04   4.28978798e-01   
570     2.84706280e-04   4.28275764e-01   
571     2.84870120e-04   4.27573883e-01   
572     2.85033960e-04   4.26873151e-01   
573     2.85197800e-04   4.26173568e-01   
574     2.85361640e-04   4.25475131e-01   
575     2.85525480e-04   4.24777839e-01   
576     2.85689320e-04   4.24081690e-01   
577     2.85853160e-04   4.23386682e-01   
578     2.86017000e-04   4.22692813e-01   
579     2.86180840e-04   4.22000080e-01   
580     2.86344680e-04   4.21308484e-01   
581     2.86508520e-04   4.20618020e-01   
582     2.86672360e-04   4.19928688e-01   
583     2.86836200e-04   4.19240486e-01   
584     2.87000040e-04   4.18553412e-01   
585     2.87163880e-04   4.17867464e-01   
586     2.87327720e-04   4.17182639e-01   
587     2.87491560e-04   4.16498938e-01   
588     2.87655400e-04   4.15816356e-01   
589     2.87819240e-04   4.15134894e-01   
590     2.87983080e-04   4.14454548e-01   
591     2.88146920e-04   4.13775317e-01   
592     2.88310760e-04   4.13097200e-01   
