Index         TIME              V(VOUT)          {V(IN)+1.0}           V(1)
288     1.5052801471e-06   1.8720416982e+00   1.0001032212e+00   0.0000000000e+00   
289     1.5052874897e-06   1.8720553422e+00   1.0000883317e+00   0.0000000000e+00   
290     1.5052948322e-06   1.8720670062e+00   1.0000755855e+00   0.0000000000e+00   
291     1.5053021748e-06   1.8720769754e+00   1.0000646741e+00   0.0000000000e+00   
292     1.5053095174e-06   1.8720854938e+00   1.0000553334e+00   0.0000000000e+00   
293     1.5053168600e-06   1.8720927703e+00   1.0000473373e+00   0.0000000000e+00   
294     1.5053242026e-06   1.8720989839e+00   1.0000404923e+00   0.0000000000e+00   
295     1.5053315451e-06   1.8721042874e+00   1.0000346327e+00   0.0000000000e+00   
296     1.5053388877e-06   1.8721088121e+00   1.0000296166e+00   0.0000000000e+00   
297     1.5053462303e-06   1.8721126700e+00   1.0000253226e+00   0.0000000000e+00   
298     1.5053535729e-06   1.8721159571e+00   1.0000216468e+00   0.0000000000e+00   
299     1.5053682580e-06   1.8721208229e+00   1.0000161455e+00   0.0000000000e+00   
300     1.5053829432e-06   1.8721244103e+00   1.0000120289e+00   0.0000000000e+00   
301     1.5053976284e-06   1.8721270412e+00   1.0000089483e+00   0.0000000000e+00   
302     1.5054123135e-06   1.8721289562e+00   1.0000066431e+00   0.0000000000e+00   
303     1.5054269987e-06   1.8721303356e+00   1.0000049181e+00   0.0000000000e+00   
304     1.5054416839e-06   1.8721313142e+00   1.0000036273e+00   0.0000000000e+00   
305     1.5054710542e-06   1.8721323130e+00   1.0000020840e+00   0.0000000000e+00   
306     1.5055004245e-06   1.8721327387e+00   1.0000011613e+00   0.0000000000e+00   
307     1.5055297948e-06   1.8721328219e+00   1.0000006097e+00   0.0000000000e+00   
308     1.5055885355e-06   1.8721324041e+00   1.0000001393e+00   0.0000000000e+00   
309     1.5056472761e-06   1.8721317372e+00   9.9999993877e-01   0.0000000000e+00   
310     1.5057647574e-06   1.8721301338e+00   9.9999983012e-01   0.0000000000e+00   
311     1.5059997199e-06   1.8721267588e+00   9.9999979612e-01   0.0000000000e+00   
312     1.5064696451e-06   1.8721199549e+00   9.9999979044e-01   0.0000000000e+00   
313     1.5074094953e-06   1.8721063519e+00   9.9999979016e-01   0.0000000000e+00   
314     1.5092891959e-06   1.8720792046e+00   9.9999979059e-01   0.0000000000e+00   
315     1.5130485969e-06   1.8720251479e+00   9.9999979150e-01   0.0000000000e+00   
316     1.5205673991e-06   1.8719179779e+00   9.9999979330e-01   0.0000000000e+00   
317     1.5356050033e-06   1.8717073469e+00   9.9999979684e-01   0.0000000000e+00   
318     1.5656802118e-06   1.8713004207e+00   9.9999980369e-01   0.0000000000e+00   
319     1.6258306288e-06   1.8705401676e+00   9.9999981647e-01   0.0000000000e+00   
320     1.7461314628e-06   1.8691845843e+00   9.9999983646e-01   0.0000000000e+00   
321     1.8664322969e-06   1.8679947595e+00   9.9999985630e-01   0.0000000000e+00   
322     1.9867331309e-06   1.8669458015e+00   9.9999987322e-01   0.0000000000e+00   
323     2.2273347989e-06   1.8652966875e+00   9.9999990015e-01   0.0000000000e+00   
324     2.4679364669e-06   1.8639992409e+00   9.9999992129e-01   0.0000000000e+00   
325     2.7085381349e-06   1.8629797409e+00   9.9999993801e-01   0.0000000000e+00   
