Index       TIME              VR(1)            {VR(1)}            VI(1)            {VI(1)}            VM(1)            {VM(1)}            VP(1)            {VP(1)}           VDB(1)           {VDB(1)}           IR(V1)           {IR(V1)}           II(V1)           {II(V1)}           IM(V1)           {IM(V1)}           IP(V1)           {IP(V1)}           IDB(V1)          {IDB(V1)}    
281      5.41062066e-05    1.02174467e+00    1.02174467e+00    0.00000000e+00    0.00000000e+00    1.02174467e+00    1.02174467e+00    0.00000000e+00    0.00000000e+00    1.86847635e-01    1.86847635e-01   -1.02164798e-03   -1.02164798e-03    0.00000000e+00    0.00000000e+00    1.02164798e-03    1.02164798e-03    1.80000000e+02    1.80000000e+02   -5.98139744e+01   -5.98139744e+01
282      5.44258179e-05    9.90872178e-01    9.90872178e-01    0.00000000e+00    0.00000000e+00    9.90872178e-01    9.90872178e-01    0.00000000e+00    0.00000000e+00   -7.96473116e-02   -7.96473116e-02   -9.90775584e-04   -9.90775584e-04    0.00000000e+00    0.00000000e+00    9.90775584e-04    9.90775584e-04    1.80000000e+02    1.80000000e+02   -6.00804941e+01   -6.00804941e+01
283      5.47454293e-05    9.60032478e-01    9.60032478e-01    0.00000000e+00    0.00000000e+00    9.60032478e-01    9.60032478e-01    0.00000000e+00    0.00000000e+00   -3.54281491e-01   -3.54281491e-01   -9.59935987e-04   -9.59935987e-04    0.00000000e+00    0.00000000e+00    9.59935987e-04    9.59935987e-04    1.80000000e+02    1.80000000e+02   -6.03551545e+01   -6.03551545e+01
284      5.50650407e-05    9.29226874e-01    9.29226874e-01    0.00000000e+00    0.00000000e+00    9.29226874e-01    9.29226874e-01    0.00000000e+00    0.00000000e+00   -6.37564772e-01   -6.37564772e-01   -9.29130489e-04   -9.29130489e-04    0.00000000e+00    0.00000000e+00    9.29130489e-04    9.29130489e-04    1.80000000e+02    1.80000000e+02   -6.06384658e+01   -6.06384658e+01
285      5.53526909e-05    9.01532296e-01    9.01532296e-01    0.00000000e+00    0.00000000e+00    9.01532296e-01    9.01532296e-01    0.00000000e+00    0.00000000e+00   -9.00374218e-01   -9.00374218e-01   -9.01436017e-04   -9.01436017e-04    0.00000000e+00    0.00000000e+00    9.01436017e-04    9.01436017e-04    1.80000000e+02    1.80000000e+02   -6.09013019e+01   -6.09013019e+01
286      5.56403411e-05    8.73867983e-01    8.73867983e-01    0.00000000e+00    0.00000000e+00    8.73867983e-01    8.73867983e-01    0.00000000e+00    0.00000000e+00   -1.17108344e+00   -1.17108344e+00   -8.73771810e-04   -8.73771810e-04    0.00000000e+00    0.00000000e+00    8.73771810e-04    8.73771810e-04    1.80000000e+02    1.80000000e+02   -6.11720394e+01   -6.11720394e+01
287      5.59279913e-05    8.46235456e-01    8.46235456e-01    0.00000000e+00    0.00000000e+00    8.46235456e-01    8.46235456e-01    0.00000000e+00    0.00000000e+00   -1.45017565e+00   -1.45017565e+00   -8.46139393e-04   -8.46139393e-04    0.00000000e+00    0.00000000e+00    8.46139393e-04    8.46139393e-04    1.80000000e+02    1.80000000e+02   -6.14511617e+01   -6.14511617e+01
288      5.61868766e-05    8.21394784e-01    8.21394784e-01    0.00000000e+00    0.00000000e+00    8.21394784e-01    8.21394784e-01    0.00000000e+00    0.00000000e+00   -1.70896118e+00   -1.70896118e+00   -8.21298832e-04   -8.21298832e-04    0.00000000e+00    0.00000000e+00    8.21298832e-04    8.21298832e-04    1.80000000e+02    1.80000000e+02   -6.17099759e+01   -6.17099759e+01
289      5.64457618e-05    7.96582602e-01    7.96582602e-01    0.00000000e+00    0.00000000e+00    7.96582602e-01    7.96582602e-01    0.00000000e+00    0.00000000e+00   -1.97538366e+00   -1.97538366e+00   -7.96486760e-04   -7.96486760e-04    0.00000000e+00    0.00000000e+00    7.96486760e-04    7.96486760e-04    1.80000000e+02    1.80000000e+02   -6.19764288e+01   -6.19764288e+01
290      5.67046470e-05    7.71800406e-01    7.71800406e-01    0.00000000e+00    0.00000000e+00    7.71800406e-01    7.71800406e-01    0.00000000e+00    0.00000000e+00   -2.24989995e+00   -2.24989995e+00   -7.71704679e-04   -7.71704679e-04    0.00000000e+00    0.00000000e+00    7.71704679e-04    7.71704679e-04    1.80000000e+02    1.80000000e+02   -6.22509773e+01   -6.22509773e+01
291      5.69376437e-05    7.49523451e-01    7.49523451e-01    0.00000000e+00    0.00000000e+00    7.49523451e-01    7.49523451e-01    0.00000000e+00    0.00000000e+00   -2.50429549e+00   -2.50429549e+00   -7.49427841e-04   -7.49427841e-04    0.00000000e+00    0.00000000e+00    7.49427841e-04    7.49427841e-04    1.80000000e+02    1.80000000e+02   -6.25054035e+01   -6.25054035e+01
