Index       TIME              V(1)              V(2)              I(C1)             I(R1)             I(V1)      
146      7.06550000e-06   -9.62965180e-01    9.94208350e-04   -9.63959388e-04   -9.63959388e-04    9.63959388e-04
147      7.11670000e-06   -9.71139276e-01    9.69322370e-04   -9.72108598e-04   -9.72108598e-04    9.72108598e-04
148      7.16790000e-06   -9.78308423e-01    9.44253502e-04   -9.79252677e-04   -9.79252677e-04    9.79252677e-04
149      7.21910000e-06   -9.84465204e-01    9.19027665e-04   -9.85384232e-04   -9.85384232e-04    9.85384232e-04
150      7.27030000e-06   -9.89603246e-01    8.93670944e-04   -9.90496917e-04   -9.90496917e-04    9.90496917e-04
151      7.32150000e-06   -9.93717234e-01    8.68209557e-04   -9.94585443e-04   -9.94585443e-04    9.94585443e-04
152      7.37270000e-06   -9.96802909e-01    8.42669830e-04   -9.97645579e-04   -9.97645579e-04    9.97645579e-04
153      7.42390000e-06   -9.98857079e-01    8.17078172e-04   -9.99674157e-04   -9.99674157e-04    9.99674157e-04
154      7.47510000e-06   -9.99877617e-01    7.91461043e-04   -1.00066908e-03   -1.00066908e-03    1.00066908e-03
155      7.52630000e-06   -9.99863469e-01    7.65844933e-04   -1.00062931e-03   -1.00062931e-03    1.00062931e-03
156      7.57750000e-06   -9.98814648e-01    7.40256327e-04   -9.99554904e-04   -9.99554904e-04    9.99554904e-04
157      7.62870000e-06   -9.96732240e-01    7.14721685e-04   -9.97446962e-04   -9.97446962e-04    9.97446962e-04
158      7.67990000e-06   -9.93618400e-01    6.89267409e-04   -9.94307667e-04   -9.94307667e-04    9.94307667e-04
159      7.73110000e-06   -9.89476349e-01    6.63919818e-04   -9.90140269e-04   -9.90140269e-04    9.90140269e-04
160      7.78230000e-06   -9.84310375e-01    6.38705121e-04   -9.84949080e-04   -9.84949080e-04    9.84949080e-04
161      7.83350000e-06   -9.78125823e-01    6.13649391e-04   -9.78739472e-04   -9.78739472e-04    9.78739472e-04
162      7.88470000e-06   -9.70929093e-01    5.88778533e-04   -9.71517871e-04   -9.71517871e-04    9.71517871e-04
163      7.93590000e-06   -9.62727632e-01    5.64118265e-04   -9.63291750e-04   -9.63291750e-04    9.63291750e-04
164      7.98710000e-06   -9.53529927e-01    5.39694082e-04   -9.54069621e-04   -9.54069621e-04    9.54069621e-04
165      8.03830000e-06   -9.43345496e-01    5.15531240e-04   -9.43861027e-04   -9.43861027e-04    9.43861027e-04
