Index    FREQ    Re(V(1))    Im(V(1))    VR(1)    VI(1)    VM(1)    VP(1)    VDB(1)    Re(I(V1))    Im(I(V1))    IR(V1)    II(V1)    IM(V1)    IP(V1)    IDB(V1)    
66   1.60000000e+005   -1.60072157e-004   4.94118464e-005   -1.60072157e-004   4.94118464e-005   1.67525001e-004   2.84218729e+000   -7.55184074e+001   1.60121831e-007   -4.92509243e-008   1.60121831e-007   -4.92509243e-008   1.67525086e-007   -2.98400050e-001   -1.35518403e+002   
67   1.70000000e+005   -2.31085279e-003   1.57172667e-003   -2.31085279e-003   1.57172667e-003   2.79470309e-003   2.54431339e+000   -5.10732865e+001   2.31253162e-006   -1.56925836e-006   2.31253162e-006   -1.56925836e-006   2.79470468e-006   -5.96211125e-001   -1.11073282e+002   
68   1.80000000e+005   -7.12562941e-005   7.30279309e-005   -7.12562941e-005   7.30279309e-005   1.02032045e-004   2.34391631e+000   -7.98252682e+001   7.13388867e-008   -7.29473419e-008   7.13388867e-008   -7.29473419e-008   1.02032110e-007   -7.96545371e-001   -1.39825263e+002   
69   1.90000000e+005   -3.13525840e-004   8.08321532e-004   -3.13525840e-004   8.08321532e-004   8.66996051e-004   1.94080460e+000   -6.12396576e+001   3.14490818e-007   -8.07947244e-007   3.14490818e-007   -8.07947244e-007   8.66996669e-007   -1.19959425e+000   -1.21239651e+002   
70   2.00000000e+005   -1.84558733e-005   -6.41845233e-006   -1.84558733e-005   -6.41845233e-006   1.95401072e-005   -2.80690328e+000   -9.41814611e+001   1.84478077e-008   6.44164467e-009   1.84478077e-008   6.44164467e-009   1.95401227e-008   3.35946014e-001   -1.54181454e+002   
71   2.10000000e+005   -2.22765471e-004   -6.61917229e-004   -2.22765471e-004   -6.61917229e-004   6.98397361e-004   -1.89543532e+000   -6.31179482e+001   2.21892092e-007   6.62211162e-007   2.21892092e-007   6.62211162e-007   6.98397969e-007   1.24747680e+000   -1.23117941e+002   
72   2.20000000e+005   -7.51773694e-005   -9.55036965e-005   -7.51773694e-005   -9.55036965e-005   1.21542556e-004   -2.23766321e+000   -7.83054327e+001   7.50453545e-008   9.56076143e-008   7.50453545e-008   9.56076143e-008   1.21542672e-007   9.05311743e-001   -1.38305424e+002   
73   2.30000000e+005   -1.23419784e-003   -9.29986454e-004   -1.23419784e-003   -9.29986454e-004   1.54535404e-003   -2.49584580e+000   -5.62194402e+001   1.23285388e-006   9.31770033e-007   1.23285388e-006   9.31770033e-007   1.54535565e-006   6.47191981e-001   -1.16219431e+002   
74   2.40000000e+005   -1.86492438e-004   -8.41359517e-005   -1.86492438e-004   -8.41359517e-005   2.04592981e-004   -2.71778330e+000   -7.37821854e+001   1.86365564e-007   8.44171757e-008   1.86365564e-007   8.44171757e-008   2.04593214e-007   4.25317320e-001   -1.33782176e+002   
75   2.50000000e+005   -1.63032683e-003   -4.83532898e-005   -1.63032683e-003   -4.83532898e-005   1.63104372e-003   -3.11194270e+000   -5.57506880e+001   1.63025087e-006   5.09142012e-008   1.63025087e-006   5.09142012e-008   1.63104573e-006   3.12207516e-002   -1.15750677e+002   
76   2.60000000e+005   -2.23166178e-004   2.08022933e-005   -2.23166178e-004   2.08022933e-005   2.24133617e-004   3.04864687e+000   -7.29898600e+001   2.23200161e-007   -2.04377227e-008   2.23200161e-007   -2.04377227e-008   2.24133916e-007   -9.13121583e-002   -1.32989848e+002   
77   2.70000000e+005   -9.54928250e-004   6.26907240e-004   -9.54928250e-004   6.26907240e-004   1.14232248e-003   2.56066389e+000   -5.88442255e+001   9.55991773e-007   -6.25287242e-007   9.55991773e-007   -6.25287242e-007   1.14232412e-006   -5.79232309e-001   -1.18844213e+002   
78   2.80000000e+005   -1.39779894e-004   8.99619085e-005   -1.39779894e-004   8.99619085e-005   1.66227446e-004   2.56973190e+000   -7.55859454e+001   1.39938163e-007   -8.97159948e-008   1.39938163e-007   -8.97159948e-008   1.66227703e-007   -5.70101462e-001   -1.35585932e+002   
79   2.90000000e+005   -1.60976715e-004   3.51550531e-004   -1.60976715e-004   3.51550531e-004   3.86653952e-004   2.00020450e+000   -6.82535509e+001   1.61617283e-007   -3.51257211e-007   1.61617283e-007   -3.51257211e-007   3.86654593e-007   -1.13956603e+000   -1.28253537e+002   
80   3.00000000e+005   -4.60762141e-005   2.79613796e-005   -4.60762141e-005   2.79613796e-005   5.38967184e-005   2.59615114e+000   -8.53687535e+001   4.61289201e-008   -2.78745280e-008   4.61289201e-008   -2.78745280e-008   5.38968142e-008   -5.43556555e-001   -1.45368738e+002   
81   3.10000000e+005   -1.23474349e-004   -3.06166275e-004   -1.23474349e-004   -3.06166275e-004   3.30126798e-004   -1.95413724e+000   -6.96263844e+001   1.22878002e-007   3.06406777e-007   1.22878002e-007   3.06406777e-007   3.30127424e-007   1.18940320e+000   -1.29626368e+002   
82   3.20000000e+005   -7.81668069e-005   -9.28699781e-005   -7.81668069e-005   -9.28699781e-005   1.21387324e-004   -2.27044035e+000   -7.83165332e+001   7.79800808e-008   9.30271417e-008   7.79800808e-008   9.30271417e-008   1.21387570e-007   8.73162919e-001   -1.38316516e+002   
83   3.30000000e+005   -6.23985697e-004   -4.58916764e-004   -6.23985697e-004   -4.58916764e-004   7.74572622e-004   -2.50746202e+000   -6.22187572e+001   6.23034156e-007   4.60210568e-007   6.23034156e-007   4.60210568e-007   7.74574287e-007   6.36204082e-001   -1.22218738e+002   
84   3.40000000e+005   -2.14705876e-004   -1.10487226e-004   -2.14705876e-004   -1.10487226e-004   2.41466437e-004   -2.66633492e+000   -7.23428645e+001   2.14469844e-007   1.10945899e-007   2.14469844e-007   1.10945899e-007   2.41466988e-007   4.77394014e-001   -1.32342845e+002   
85   3.50000000e+005   -8.61036895e-004   -2.94589755e-005   -8.61036895e-004   -2.94589755e-005   8.61540693e-004   -3.10739262e+000   -6.12944841e+001   8.60972111e-007   3.13524945e-008   8.60972111e-007   3.13524945e-008   8.61542776e-007   3.63991430e-002   -1.21294463e+002   
86   3.60000000e+005   -2.86249611e-004   1.28748354e-005   -2.86249611e-004   1.28748354e-005   2.86539004e-004   3.09664529e+000   -7.08563251e+001   2.86278733e-007   -1.22273541e-008   2.86278733e-007   -1.22273541e-008   2.86539737e-007   -4.26854164e-002   -1.30856303e+002   
87   3.70000000e+005   -5.37298140e-004   3.35554284e-004   -5.37298140e-004   3.35554284e-004   6.33471364e-004   2.58333744e+000   -6.39654603e+001   5.38078230e-007   -3.34305185e-007   5.38078230e-007   -3.34305185e-007   6.33473076e-007   -5.55930435e-001   -1.23965437e+002   
