Index       TIME              V(1)              VR(1)             VI(1)             VM(1)             VP(1)            VDB(1)             I(V1)            IR(V1)            II(V1)            IM(V1)            IP(V1)            IDB(V1)            I(R1)            IR(R1)            II(R1)            IM(R1)            IP(R1)            IDB(R1)     
48       4.75247525e-05    1.39646656e+00    1.39646656e+00    0.00000000e+00    1.39646656e+00    0.00000000e+00    2.90061078e+00   -2.79293098e-03   -2.79293098e-03    0.00000000e+00    2.79293098e-03    1.80000000e+02   -5.10787959e+01    2.79293311e-03    2.79293311e-03    0.00000000e+00    2.79293311e-03    0.00000000e+00   -5.10787893e+01
49       4.85148515e-05    1.39648217e+00    1.39648217e+00    0.00000000e+00    1.39648217e+00    0.00000000e+00    2.90070788e+00   -2.79296874e-03   -2.79296874e-03    0.00000000e+00    2.79296874e-03    1.80000000e+02   -5.10786785e+01    2.79296433e-03    2.79296433e-03    0.00000000e+00    2.79296433e-03    0.00000000e+00   -5.10786922e+01
50       4.95049505e-05    1.39644268e+00    1.39644268e+00    0.00000000e+00    1.39644268e+00    0.00000000e+00    2.90046227e+00   -2.79286958e-03   -2.79286958e-03    0.00000000e+00    2.79286958e-03    1.80000000e+02   -5.10789869e+01    2.79288536e-03    2.79288536e-03    0.00000000e+00    2.79288536e-03    0.00000000e+00   -5.10789378e+01
51       5.04950495e-05    1.34743550e+00    1.34743550e+00    0.00000000e+00    1.34743550e+00    0.00000000e+00    2.59015974e+00   -2.69478800e-03   -2.69478800e-03    0.00000000e+00    2.69478800e-03    1.80000000e+02   -5.13895079e+01    2.69487101e-03    2.69487101e-03    0.00000000e+00    2.69487101e-03    0.00000000e+00   -5.13892404e+01
52       5.14851485e-05    1.25024710e+00    1.25024710e+00    0.00000000e+00    1.25024710e+00    0.00000000e+00    1.93991711e+00   -2.50039211e-03   -2.50039211e-03    0.00000000e+00    2.50039211e-03    1.80000000e+02   -5.20398376e+01    2.50049420e-03    2.50049420e-03    0.00000000e+00    2.50049420e-03    0.00000000e+00   -5.20394830e+01
53       5.24752475e-05    1.15391796e+00    1.15391796e+00    0.00000000e+00    1.15391796e+00    0.00000000e+00    1.24349866e+00   -2.30774111e-03   -2.30774111e-03    0.00000000e+00    2.30774111e-03    1.80000000e+02   -5.27362583e+01    2.30783592e-03    2.30783592e-03    0.00000000e+00    2.30783592e-03    0.00000000e+00   -5.27359014e+01
54       5.34653465e-05    1.05794889e+00    1.05794889e+00    0.00000000e+00    1.05794889e+00    0.00000000e+00    4.89293740e-01   -2.11579949e-03   -2.11579949e-03    0.00000000e+00    2.11579949e-03    1.80000000e+02   -5.34905098e+01    2.11589778e-03    2.11589778e-03    0.00000000e+00    2.11589778e-03    0.00000000e+00   -5.34901063e+01
55       5.44554455e-05    9.62321422e-01    9.62321422e-01    0.00000000e+00    9.62321422e-01    0.00000000e+00   -3.33596928e-01   -1.92454763e-03   -1.92454763e-03    0.00000000e+00    1.92454763e-03    1.80000000e+02   -5.43134267e+01    1.92464284e-03    1.92464284e-03    0.00000000e+00    1.92464284e-03    0.00000000e+00   -5.43129970e+01
56       5.54455446e-05    8.67003912e-01    8.67003912e-01    0.00000000e+00    8.67003912e-01    0.00000000e+00   -1.23957886e+00   -1.73391070e-03   -1.73391070e-03    0.00000000e+00    1.73391070e-03    1.80000000e+02   -5.52194655e+01    1.73400782e-03    1.73400782e-03    0.00000000e+00    1.73400782e-03    0.00000000e+00   -5.52189789e+01
57       5.64356436e-05    7.72088374e-01    7.72088374e-01    0.00000000e+00    7.72088374e-01    0.00000000e+00   -2.24665974e+00   -1.54408198e-03   -1.54408198e-03    0.00000000e+00    1.54408198e-03    1.80000000e+02   -5.62265929e+01    1.54417675e-03    1.54417675e-03    0.00000000e+00    1.54417675e-03    0.00000000e+00   -5.62260598e+01
58       5.74257426e-05    6.77620390e-01    6.77620390e-01    0.00000000e+00    6.77620390e-01    0.00000000e+00   -3.38027068e+00   -1.35514507e-03   -1.35514507e-03    0.00000000e+00    1.35514507e-03    1.80000000e+02   -5.73602842e+01    1.35524078e-03    1.35524078e-03    0.00000000e+00    1.35524078e-03    0.00000000e+00   -5.73596708e+01
59       5.84158416e-05    5.83744640e-01    5.83744640e-01    0.00000000e+00    5.83744640e-01    0.00000000e+00   -4.67554189e+00   -1.16739422e-03   -1.16739422e-03    0.00000000e+00    1.16739422e-03    1.80000000e+02   -5.86556492e+01    1.16748928e-03    1.16748928e-03    0.00000000e+00    1.16748928e-03    0.00000000e+00   -5.86549420e+01
60       5.94059406e-05    4.90641388e-01    4.90641388e-01    0.00000000e+00    4.90641388e-01    0.00000000e+00   -6.18471640e+00   -9.81197255e-04   -9.81197255e-04    0.00000000e+00    9.81197255e-04    1.80000000e+02   -6.01648735e+01    9.81282775e-04    9.81282775e-04    0.00000000e+00    9.81282775e-04    0.00000000e+00   -6.01641165e+01
61       6.03960396e-05    4.37090967e-01    4.37090967e-01    0.00000000e+00    4.37090967e-01    0.00000000e+00   -7.18856338e+00   -8.74164695e-04   -8.74164695e-04    0.00000000e+00    8.74164695e-04    1.80000000e+02   -6.11681347e+01    8.74181933e-04    8.74181933e-04    0.00000000e+00    8.74181933e-04    0.00000000e+00   -6.11679635e+01
62       6.13861386e-05    4.39915939e-01    4.39915939e-01    0.00000000e+00    4.39915939e-01    0.00000000e+00   -7.13260604e+00   -8.79839850e-04   -8.79839850e-04    0.00000000e+00    8.79839850e-04    1.80000000e+02   -6.11119274e+01    8.79831879e-04    8.79831879e-04    0.00000000e+00    8.79831879e-04    0.00000000e+00   -6.11120061e+01
63       6.23762376e-05    4.40522631e-01    4.40522631e-01    0.00000000e+00    4.40522631e-01    0.00000000e+00   -7.12063551e+00   -8.81042269e-04   -8.81042269e-04    0.00000000e+00    8.81042269e-04    1.80000000e+02   -6.11000651e+01    8.81045262e-04    8.81045262e-04    0.00000000e+00    8.81045262e-04    0.00000000e+00   -6.11000356e+01
64       6.33663366e-05    4.40764416e-01    4.40764416e-01    0.00000000e+00    4.40764416e-01    0.00000000e+00   -7.11586949e+00   -8.81530967e-04   -8.81530967e-04    0.00000000e+00    8.81530967e-04    1.80000000e+02   -6.10952485e+01    8.81528832e-04    8.81528832e-04    0.00000000e+00    8.81528832e-04    0.00000000e+00   -6.10952696e+01
65       6.43564356e-05    4.40780209e-01    4.40780209e-01    0.00000000e+00    4.40780209e-01    0.00000000e+00   -7.11555827e+00   -8.81559047e-04   -8.81559047e-04    0.00000000e+00    8.81559047e-04    1.80000000e+02   -6.10949719e+01    8.81560418e-04    8.81560418e-04    0.00000000e+00    8.81560418e-04    0.00000000e+00   -6.10949584e+01
66       6.53465347e-05    4.40816835e-01    4.40816835e-01    0.00000000e+00    4.40816835e-01    0.00000000e+00   -7.11483655e+00   -8.81634691e-04   -8.81634691e-04    0.00000000e+00    8.81634691e-04    1.80000000e+02   -6.10942266e+01    8.81633670e-04    8.81633670e-04    0.00000000e+00    8.81633670e-04    0.00000000e+00   -6.10942366e+01
67       6.63366337e-05    4.40802998e-01    4.40802998e-01    0.00000000e+00    4.40802998e-01    0.00000000e+00   -7.11510921e+00   -8.81605232e-04   -8.81605232e-04    0.00000000e+00    8.81605232e-04    1.80000000e+02   -6.10945168e+01    8.81605996e-04    8.81605996e-04    0.00000000e+00    8.81605996e-04    0.00000000e+00   -6.10945093e+01
68       6.73267327e-05    4.40817015e-01    4.40817015e-01    0.00000000e+00    4.40817015e-01    0.00000000e+00   -7.11483302e+00   -8.81634620e-04   -8.81634620e-04    0.00000000e+00    8.81634620e-04    1.80000000e+02   -6.10942273e+01    8.81634029e-04    8.81634029e-04    0.00000000e+00    8.81634029e-04    0.00000000e+00   -6.10942331e+01
69       6.83168317e-05    4.40807125e-01    4.40807125e-01    0.00000000e+00    4.40807125e-01    0.00000000e+00   -7.11502788e+00   -8.81613791e-04   -8.81613791e-04    0.00000000e+00    8.81613791e-04    1.80000000e+02   -6.10944325e+01    8.81614250e-04    8.81614250e-04    0.00000000e+00    8.81614250e-04    0.00000000e+00   -6.10944280e+01
70       6.93069307e-05    4.40815058e-01    4.40815058e-01    0.00000000e+00    4.40815058e-01    0.00000000e+00   -7.11487157e+00   -8.81630473e-04   -8.81630473e-04    0.00000000e+00    8.81630473e-04    1.80000000e+02   -6.10942681e+01    8.81630117e-04    8.81630117e-04    0.00000000e+00    8.81630117e-04    0.00000000e+00   -6.10942717e+01
71       7.02970297e-05    4.40808993e-01    4.40808993e-01    0.00000000e+00    4.40808993e-01    0.00000000e+00   -7.11499109e+00   -8.81617713e-04   -8.81617713e-04    0.00000000e+00    8.81617713e-04    1.80000000e+02   -6.10943939e+01    8.81617985e-04    8.81617985e-04    0.00000000e+00    8.81617985e-04    0.00000000e+00   -6.10943912e+01
72       7.12871287e-05    4.40813606e-01    4.40813606e-01    0.00000000e+00    4.40813606e-01    0.00000000e+00   -7.11490019e+00   -8.81627413e-04   -8.81627413e-04    0.00000000e+00    8.81627413e-04    1.80000000e+02   -6.10942983e+01    8.81627212e-04    8.81627212e-04    0.00000000e+00    8.81627212e-04    0.00000000e+00   -6.10943003e+01
73       7.22772277e-05    4.40810254e-01    4.40810254e-01    0.00000000e+00    4.40810254e-01    0.00000000e+00   -7.11496623e+00   -8.81620369e-04   -8.81620369e-04    0.00000000e+00    8.81620369e-04    1.80000000e+02   -6.10943677e+01    8.81620508e-04    8.81620508e-04    0.00000000e+00    8.81620508e-04    0.00000000e+00   -6.10943663e+01
74       7.32673267e-05    4.40812503e-01    4.40812503e-01    0.00000000e+00    4.40812503e-01    0.00000000e+00   -7.11492191e+00   -8.81625090e-04   -8.81625090e-04    0.00000000e+00    8.81625090e-04    1.80000000e+02   -6.10943212e+01    8.81625007e-04    8.81625007e-04    0.00000000e+00    8.81625007e-04    0.00000000e+00   -6.10943220e+01
