Index    TIME    V(1)    VR(1)    VI(1)    I(V1)    
169   6.02109173e-005   4.61143647e-001   4.61143647e-001   0.00000000e-001   -4.61148897e-004   
170   6.02575769e-005   4.61375714e-001   4.61375714e-001   0.00000000e-001   -4.61380688e-004   
171   6.03042366e-005   4.61595527e-001   4.61595527e-001   0.00000000e-001   -4.61600238e-004   
172   6.03508962e-005   4.61803666e-001   4.61803666e-001   0.00000000e-001   -4.61808127e-004   
173   6.03975558e-005   4.62000688e-001   4.62000688e-001   0.00000000e-001   -4.62004910e-004   
174   6.04442154e-005   4.62187131e-001   4.62187131e-001   0.00000000e-001   -4.62191127e-004   
175   6.04908750e-005   4.62363514e-001   4.62363514e-001   0.00000000e-001   -4.62367294e-004   
176   6.05375346e-005   4.62530334e-001   4.62530334e-001   0.00000000e-001   -4.62533910e-004   
177   6.05841943e-005   4.62688070e-001   4.62688070e-001   0.00000000e-001   -4.62691451e-004   
178   6.06308539e-005   4.62837179e-001   4.62837179e-001   0.00000000e-001   -4.62840375e-004   
179   6.06775135e-005   4.62978102e-001   4.62978102e-001   0.00000000e-001   -4.62981122e-004   
180   6.07241731e-005   4.63111257e-001   4.63111257e-001   0.00000000e-001   -4.63114111e-004   
181   6.07708327e-005   4.63237048e-001   4.63237048e-001   0.00000000e-001   -4.63239744e-004   
182   6.08174924e-005   4.63355858e-001   4.63355858e-001   0.00000000e-001   -4.63358405e-004   
183   6.08641520e-005   4.63468054e-001   4.63468054e-001   0.00000000e-001   -4.63470458e-004   
184   6.09108116e-005   4.63573984e-001   4.63573984e-001   0.00000000e-001   -4.63576255e-004   
185   6.09574712e-005   4.63673983e-001   4.63673983e-001   0.00000000e-001   -4.63676126e-004   
186   6.10041308e-005   4.63768367e-001   4.63768367e-001   0.00000000e-001   -4.63770390e-004   
187   6.10507904e-005   4.63857438e-001   4.63857438e-001   0.00000000e-001   -4.63859347e-004   
188   6.11441097e-005   4.64016383e-001   4.64016383e-001   0.00000000e-001   -4.64018087e-004   
189   6.12280970e-005   4.64145514e-001   4.64145514e-001   0.00000000e-001   -4.64147052e-004   
190   6.13120843e-005   4.64262013e-001   4.64262013e-001   0.00000000e-001   -4.64263400e-004   
191   6.13960716e-005   4.64367080e-001   4.64367080e-001   0.00000000e-001   -4.64368331e-004   
192   6.14800589e-005   4.64461809e-001   4.64461809e-001   0.00000000e-001   -4.64462937e-004   
193   6.15640462e-005   4.64547194e-001   4.64547194e-001   0.00000000e-001   -4.64548211e-004   
194   6.16480335e-005   4.64624138e-001   4.64624138e-001   0.00000000e-001   -4.64625054e-004   
195   6.17320209e-005   4.64693461e-001   4.64693461e-001   0.00000000e-001   -4.64694286e-004   
196   6.18160082e-005   4.64755904e-001   4.64755904e-001   0.00000000e-001   -4.64756647e-004   
197   6.18999955e-005   4.64812140e-001   4.64812140e-001   0.00000000e-001   -4.64812810e-004   
198   6.19839828e-005   4.64862779e-001   4.64862779e-001   0.00000000e-001   -4.64863382e-004   
199   6.20679701e-005   4.64908371e-001   4.64908371e-001   0.00000000e-001   -4.64908913e-004   
200   6.22359447e-005   4.64982967e-001   4.64982967e-001   0.00000000e-001   -4.64983411e-004   
201   6.23871219e-005   4.65038926e-001   4.65038926e-001   0.00000000e-001   -4.65039296e-004   
202   6.25382990e-005   4.65085549e-001   4.65085549e-001   0.00000000e-001   -4.65085858e-004   
203   6.26894762e-005   4.65124386e-001   4.65124386e-001   0.00000000e-001   -4.65124643e-004   
204   6.28406534e-005   4.65156730e-001   4.65156730e-001   0.00000000e-001   -4.65156944e-004   
205   6.29918305e-005   4.65183663e-001   4.65183663e-001   0.00000000e-001   -4.65183841e-004   
206   6.32941848e-005   4.65222065e-001   4.65222065e-001   0.00000000e-001   -4.65222192e-004   
207   6.35965392e-005   4.65249447e-001   4.65249447e-001   0.00000000e-001   -4.65249537e-004   
208   6.38988935e-005   4.65268965e-001   4.65268965e-001   0.00000000e-001   -4.65269029e-004   
209   6.42012478e-005   4.65282875e-001   4.65282875e-001   0.00000000e-001   -4.65282921e-004   
210   6.45036021e-005   4.65292787e-001   4.65292787e-001   0.00000000e-001   -4.65292820e-004   
211   6.51083108e-005   4.65303756e-001   4.65303756e-001   0.00000000e-001   -4.65303774e-004   
212   6.57130194e-005   4.65309827e-001   4.65309827e-001   0.00000000e-001   -4.65309837e-004   
213   6.69224367e-005   4.65314469e-001   4.65314469e-001   0.00000000e-001   -4.65314473e-004   
214   6.81318540e-005   4.65316245e-001   4.65316245e-001   0.00000000e-001   -4.65316246e-004   
215   7.05506885e-005   4.65317085e-001   4.65317085e-001   0.00000000e-001   -4.65317085e-004   
216   7.53883576e-005   4.65317310e-001   4.65317310e-001   0.00000000e-001   -4.65317310e-004   
217   8.50636959e-005   4.65317342e-001   4.65317342e-001   0.00000000e-001   -4.65317342e-004   
218   9.50636959e-005   4.65317344e-001   4.65317344e-001   0.00000000e-001   -4.65317344e-004   
219   1.00000000e-004   4.65317345e-001   4.65317345e-001   0.00000000e-001   -4.65317345e-004   
End of Xyce(TM) Simulation
