TIME,V(1),V(2),I(V1)
3.27670000e-06,8.83265311e-01,1.17905010e-03,-8.82086261e-04
3.32790000e-06,8.67727286e-01,1.20123316e-03,-8.66526053e-04
3.37910000e-06,8.51291325e-01,1.22299491e-03,-8.50068330e-04
3.43030000e-06,8.33974436e-01,1.24431280e-03,-8.32730123e-04
3.48150000e-06,8.15794539e-01,1.26516476e-03,-8.14529374e-04
3.53270000e-06,7.96770446e-01,1.28552917e-03,-7.95484917e-04
3.58390000e-06,7.76921844e-01,1.30538495e-03,-7.75616460e-04
3.63510000e-06,7.56269273e-01,1.32471153e-03,-7.54944562e-04
3.68630000e-06,7.34834104e-01,1.34348889e-03,-7.33490615e-04
3.73750000e-06,7.12638519e-01,1.36169758e-03,-7.11276821e-04
3.78870000e-06,6.89705485e-01,1.37931873e-03,-6.88326167e-04
3.83990000e-06,6.66058735e-01,1.39633409e-03,-6.64662401e-04
3.89110000e-06,6.41722738e-01,1.41272602e-03,-6.40310012e-04
3.94230000e-06,6.16722677e-01,1.42847755e-03,-6.15294200e-04
3.99350000e-06,5.91084423e-01,1.44357236e-03,-5.89640851e-04
4.04470000e-06,5.64834507e-01,1.45799480e-03,-5.63376513e-04
4.09590000e-06,5.38000093e-01,1.47172992e-03,-5.36528363e-04
4.14710000e-06,5.10608948e-01,1.48476350e-03,-5.09124185e-04
4.19830000e-06,4.82689419e-01,1.49708203e-03,-4.81192337e-04
4.24950000e-06,4.54270395e-01,1.50867273e-03,-4.52761723e-04
4.30070000e-06,4.25381287e-01,1.51952359e-03,-4.23861763e-04
4.35190000e-06,3.96051988e-01,1.52962336e-03,-3.94522364e-04
4.40310000e-06,3.66312849e-01,1.53896157e-03,-3.64773887e-04
4.45430000e-06,3.36194644e-01,1.54752854e-03,-3.34647115e-04
4.50550000e-06,3.05728540e-01,1.55531537e-03,-3.04173225e-04
4.55670000e-06,2.74946065e-01,1.56231400e-03,-2.73383751e-04
4.60790000e-06,2.43879071e-01,1.56851715e-03,-2.42310554e-04
4.65910000e-06,2.12559708e-01,1.57391838e-03,-2.10985790e-04
4.71030000e-06,1.81020385e-01,1.57851209e-03,-1.79441873e-04
4.76150000e-06,1.49293740e-01,1.58229351e-03,-1.47711447e-04
4.81270000e-06,1.17412604e-01,1.58525869e-03,-1.15827345e-04
4.86390000e-06,8.54099673e-02,1.58740455e-03,-8.38225628e-05
4.91510000e-06,5.33189474e-02,1.58872884e-03,-5.17302185e-05
4.96630000e-06,2.11727523e-02,1.58923018e-03,-1.95835221e-05
5.01750000e-06,-1.09953527e-02,1.58890802e-03,1.25842607e-05
5.06870000e-06,-4.31520796e-02,1.58776268e-03,4.47398422e-05
5.11990000e-06,-7.52641520e-02,1.58579532e-03,7.68499474e-05
5.17110000e-06,-1.07298340e-01,1.58300796e-03,1.08881348e-04
5.22230000e-06,-1.39221494e-01,1.57940346e-03,1.40800898e-04
5.27350000e-06,-1.71000580e-01,1.57498552e-03,1.72575566e-04
5.32470000e-06,-2.02602713e-01,1.56975871e-03,2.04172471e-04
5.37590000e-06,-2.33995189e-01,1.56372840e-03,2.35558917e-04
5.42710000e-06,-2.65145523e-01,1.55690082e-03,2.66702424e-04
5.47830000e-06,-2.96021482e-01,1.54928300e-03,2.97570765e-04
5.52950000e-06,-3.26591113e-01,1.54088283e-03,3.28131996e-04
5.58070000e-06,-3.56822784e-01,1.53170895e-03,3.58354493e-04
5.63190000e-06,-3.86685209e-01,1.52177085e-03,3.88206980e-04
5.68310000e-06,-4.16147487e-01,1.51107879e-03,4.17658566e-04
5.73430000e-06,-4.45179130e-01,1.49964382e-03,4.46678774e-04
5.78550000e-06,-4.73750095e-01,1.48747773e-03,4.75237573e-04
5.83670000e-06,-5.01830817e-01,1.47459312e-03,5.03305410e-04
5.88790000e-06,-5.29392238e-01,1.46100327e-03,5.30853241e-04
5.93910000e-06,-5.56405837e-01,1.44672225e-03,5.57852559e-04
5.99030000e-06,-5.82843659e-01,1.43176480e-03,5.84275423e-04
6.04150000e-06,-6.08678346e-01,1.41614638e-03,6.10094492e-04
6.09270000e-06,-6.33883165e-01,1.39988313e-03,6.35283048e-04
6.14390000e-06,-6.58432032e-01,1.38299187e-03,6.59815024e-04
6.19510000e-06,-6.82299545e-01,1.36549004e-03,6.83665035e-04
6.24630000e-06,-7.05461005e-01,1.34739575e-03,7.06808401e-04
6.29750000e-06,-7.27892444e-01,1.32872768e-03,7.29221172e-04
6.34870000e-06,-7.49570651e-01,1.30950515e-03,7.50880156e-04
6.39990000e-06,-7.70473191e-01,1.28974802e-03,7.71762939e-04
6.45110000e-06,-7.90578435e-01,1.26947671e-03,7.91847911e-04
6.50230000e-06,-8.09865577e-01,1.24871219e-03,8.11114289e-04
6.55350000e-06,-8.28314659e-01,1.22747591e-03,8.29542135e-04
6.60470000e-06,-8.45906590e-01,1.20578983e-03,8.47112380e-04
6.65590000e-06,-8.62623165e-01,1.18367638e-03,8.63806842e-04
6.70710000e-06,-8.78447086e-01,1.16115841e-03,8.79608244e-04
6.75830000e-06,-8.93361978e-01,1.13825920e-03,8.94500237e-04
6.80950000e-06,-9.07352406e-01,1.11500244e-03,9.08467408e-04
6.86070000e-06,-9.20403893e-01,1.09141216e-03,9.21495306e-04
6.91190000e-06,-9.32502934e-01,1.06751275e-03,9.33570447e-04
6.96310000e-06,-9.43637008e-01,1.04332894e-03,9.44680337e-04
7.01430000e-06,-9.53794594e-01,1.01888571e-03,9.54813480e-04
7.06550000e-06,-9.62965180e-01,9.94208350e-04,9.63959388e-04
7.11670000e-06,-9.71139276e-01,9.69322370e-04,9.72108598e-04
7.16790000e-06,-9.78308423e-01,9.44253502e-04,9.79252677e-04
7.21910000e-06,-9.84465204e-01,9.19027665e-04,9.85384232e-04
7.27030000e-06,-9.89603246e-01,8.93670944e-04,9.90496917e-04
7.32150000e-06,-9.93717234e-01,8.68209557e-04,9.94585443e-04
7.37270000e-06,-9.96802909e-01,8.42669830e-04,9.97645579e-04
7.42390000e-06,-9.98857079e-01,8.17078172e-04,9.99674157e-04
7.47510000e-06,-9.99877617e-01,7.91461043e-04,1.00066908e-03
