Index       TIME             I(VPR2)          V(NODE3)           V(PR1)      
247      1.48742822e-06    1.22400852e-08    3.15632246e-01    3.15632246e-01
248      1.49437593e-06   -1.20386970e-08    1.41321337e-01    1.41321337e-01
249      1.50827133e-06    1.20387199e-08   -2.07790147e-01   -2.07790147e-01
250      1.51054910e-06   -1.59969456e-12   -2.64933588e-01   -2.64933588e-01
251      1.51510462e-06   -1.10671324e-10   -3.79050782e-01   -3.79050782e-01
252      1.52421566e-06   -7.19763732e-07   -6.06116459e-01   -6.06116459e-01
253      1.52649342e-06   -6.14469512e-06   -6.61552475e-01   -6.61552475e-01
254      1.52877118e-06   -4.14217797e-05   -7.10882310e-01   -7.10882310e-01
255      1.52908674e-06   -5.17208917e-05   -7.16622712e-01   -7.16622712e-01
256      1.52940230e-06   -6.37266453e-05   -7.22018928e-01   -7.22018928e-01
257      1.53003342e-06   -9.29156506e-05   -7.31767164e-01   -7.31767164e-01
258      1.53129566e-06   -1.70291616e-04   -7.47428403e-01   -7.47428403e-01
259      1.53255790e-06   -2.67402108e-04   -7.59093582e-01   -7.59093582e-01
260      1.53382014e-06   -3.77882627e-04   -7.68033646e-01   -7.68033646e-01
261      1.53508237e-06   -4.97302239e-04   -7.75132830e-01   -7.75132830e-01
262      1.53760685e-06   -7.52718858e-04   -7.85848741e-01   -7.85848741e-01
263      1.54265581e-06   -1.29678119e-03   -7.99912495e-01   -7.99912495e-01
264      1.54770476e-06   -1.85918164e-03   -8.09242687e-01   -8.09242687e-01
265      1.55275371e-06   -2.42796530e-03   -8.16107719e-01   -8.16107719e-01
266      1.56285162e-06   -3.56418772e-03   -8.26057007e-01   -8.26057007e-01
267      1.57294953e-06   -4.68396937e-03   -8.33101669e-01   -8.33101669e-01
268      1.58304744e-06   -5.77619694e-03   -8.38534775e-01   -8.38534775e-01
269      1.59314535e-06   -6.83379598e-03   -8.42870290e-01   -8.42870290e-01
270      1.60324326e-06   -7.85064090e-03   -8.46464691e-01   -8.46464691e-01
271      1.61334117e-06   -8.82179491e-03   -8.49472480e-01   -8.49472480e-01
272      1.62343908e-06   -9.74253336e-03   -8.52044866e-01   -8.52044866e-01
273      1.63353699e-06   -1.06088006e-02   -8.54241585e-01   -8.54241585e-01
274      1.64363489e-06   -1.14166621e-02   -8.56143494e-01   -8.56143494e-01
275      1.65373280e-06   -1.21627037e-02   -8.57775579e-01   -8.57775579e-01
276      1.66383071e-06   -1.28436409e-02   -8.59187727e-01   -8.59187727e-01
277      1.67392862e-06   -1.34566579e-02   -8.60389385e-01   -8.60389385e-01
278      1.68402653e-06   -1.39990944e-02   -8.61414401e-01   -8.61414401e-01
279      1.69412444e-06   -1.44687397e-02   -8.62264195e-01   -8.62264195e-01
280      1.70422235e-06   -1.48635645e-02   -8.62963249e-01   -8.62963249e-01
281      1.71432026e-06   -1.51819824e-02   -8.63508246e-01   -8.63508246e-01
282      1.72441816e-06   -1.54226090e-02   -8.63917613e-01   -8.63917613e-01
283      1.73451607e-06   -1.55845004e-02   -8.64184786e-01   -8.64184786e-01
284      1.74461398e-06   -1.56669294e-02   -8.64323864e-01   -8.64323864e-01
285      1.75471189e-06   -1.56696076e-02   -8.64325624e-01   -8.64325624e-01
286      1.76480980e-06   -1.55924710e-02   -8.64200679e-01   -8.64200679e-01
287      1.77490771e-06   -1.54358919e-02   -8.63937167e-01   -8.63937167e-01
288      1.78500562e-06   -1.52004690e-02   -8.63542454e-01   -8.63542454e-01
289      1.79510353e-06   -1.48872322e-02   -8.63001575e-01   -8.63001575e-01
290      1.80520144e-06   -1.44974343e-02   -8.62318308e-01   -8.62318308e-01
291      1.81529934e-06   -1.40327532e-02   -8.61473497e-01   -8.61473497e-01
292      1.82539725e-06   -1.34950805e-02   -8.60466223e-01   -8.60466223e-01
293      1.83549516e-06   -1.28867275e-02   -8.59271041e-01   -8.59271041e-01
294      1.84559307e-06   -1.22102068e-02   -8.57879848e-01   -8.57879848e-01
295      1.85569098e-06   -1.14684481e-02   -8.56256801e-01   -8.56256801e-01
296      1.86578889e-06   -1.06645723e-02   -8.54381225e-01   -8.54381225e-01
297      1.87588680e-06   -9.80212693e-03   -8.52198168e-01   -8.52198168e-01
298      1.88598471e-06   -8.88485587e-03   -8.49661754e-01   -8.49661754e-01
299      1.89608261e-06   -7.91697705e-03   -8.46676859e-01   -8.46676859e-01
300      1.90618052e-06   -6.90297237e-03   -8.43138098e-01   -8.43138098e-01
301      1.91627843e-06   -5.84798230e-03   -8.38847725e-01   -8.38847725e-01
302      1.92637634e-06   -4.75775963e-03   -8.33521540e-01   -8.33521540e-01
303      1.93647425e-06   -3.63959353e-03   -8.26600590e-01   -8.26600590e-01
304      1.94657216e-06   -2.50368476e-03   -8.16972516e-01   -8.16972516e-01
305      1.95667007e-06   -1.37167538e-03   -8.01261872e-01   -8.01261872e-01
306      1.95808282e-06   -1.21553101e-03   -7.98250150e-01   -7.98250150e-01
307      1.96090834e-06   -9.09542785e-04   -7.90723154e-01   -7.90723154e-01
308      1.96655936e-06   -3.43396471e-04   -7.65605261e-01   -7.65605261e-01
309      1.96702920e-06   -3.02326941e-04   -7.62266927e-01   -7.62266927e-01
310      1.96749904e-06   -2.62693311e-04   -7.58634243e-01   -7.58634243e-01
311      1.96843871e-06   -1.89326699e-04   -7.50167640e-01   -7.50167640e-01
312      1.96937839e-06   -1.26060235e-04   -7.39653536e-01   -7.39653536e-01
313      1.97031806e-06   -7.58138421e-05   -7.26508756e-01   -7.26508756e-01
314      1.97125774e-06   -4.05610282e-05   -7.10339406e-01   -7.10339406e-01
315      1.97219742e-06   -1.94348017e-05   -6.91319695e-01   -6.91319695e-01
316      1.97313709e-06   -8.59212090e-06   -6.70219040e-01   -6.70219040e-01
317      1.97407677e-06   -3.62628533e-06   -6.47919592e-01   -6.47919592e-01
318      1.97595612e-06   -6.10821556e-07   -6.01870436e-01   -6.01870436e-01
319      1.97783547e-06   -1.00479144e-07   -5.55236316e-01   -5.55236316e-01
320      1.98159418e-06   -2.76293888e-09   -4.61557745e-01   -4.61557745e-01
321      1.98535288e-06    8.15588308e-12   -3.67602764e-01   -3.67602764e-01
322      1.99287029e-06   -7.95815771e-11   -1.79129134e-01   -1.79129134e-01
323      2.00000000e-06    7.93541518e-11   -1.58708329e-08   -1.58708329e-08
End of Xyce(TM) Simulation
