Index	TIME	N(YRXN!R1_000_CONC_XSPEC)	N(YRXN!R1_000_CONC_YSPEC)
429	3.24009981e+00	2.97167607e+02	1.57297723e+02
430	3.24796413e+00	2.97660557e+02	1.58398910e+02
431	3.25582845e+00	2.98141352e+02	1.59510861e+02
432	3.26369277e+00	2.98609804e+02	1.60633614e+02
433	3.27155709e+00	2.99065724e+02	1.61767211e+02
434	3.27942141e+00	2.99508926e+02	1.62911687e+02
435	3.28728573e+00	2.99939221e+02	1.64067078e+02
436	3.29515005e+00	3.00356425e+02	1.65233416e+02
437	3.30301437e+00	3.00760350e+02	1.66410731e+02
438	3.31087869e+00	3.01150811e+02	1.67599053e+02
439	3.31874301e+00	3.01527624e+02	1.68798406e+02
440	3.32660733e+00	3.01890606e+02	1.70008815e+02
441	3.33447165e+00	3.02239573e+02	1.71230300e+02
442	3.34233597e+00	3.02574345e+02	1.72462880e+02
443	3.35020029e+00	3.02894741e+02	1.73706569e+02
444	3.35806461e+00	3.03200581e+02	1.74961381e+02
445	3.36592893e+00	3.03491690e+02	1.76227326e+02
446	3.37379325e+00	3.03767890e+02	1.77504410e+02
447	3.38165757e+00	3.04029006e+02	1.78792638e+02
448	3.38952189e+00	3.04274868e+02	1.80092010e+02
449	3.39738621e+00	3.04505303e+02	1.81402523e+02
450	3.40525053e+00	3.04720143e+02	1.82724172e+02
451	3.41311485e+00	3.04919221e+02	1.84056949e+02
452	3.42097917e+00	3.05102373e+02	1.85400839e+02
453	3.42884349e+00	3.05269436e+02	1.86755828e+02
454	3.43670781e+00	3.05420251e+02	1.88121894e+02
455	3.44457213e+00	3.05554661e+02	1.89499016e+02
456	3.45243645e+00	3.05672511e+02	1.90887165e+02
457	3.46030077e+00	3.05773650e+02	1.92286311e+02
458	3.46816509e+00	3.05857929e+02	1.93696418e+02
459	3.47602941e+00	3.05925202e+02	1.95117447e+02
460	3.48389373e+00	3.05975327e+02	1.96549354e+02
461	3.49175805e+00	3.06008166e+02	1.97992093e+02
462	3.49962237e+00	3.06023582e+02	1.99445611e+02
463	3.50748669e+00	3.06021443e+02	2.00909851e+02
464	3.51535101e+00	3.06001621e+02	2.02384754e+02
465	3.52321533e+00	3.05963993e+02	2.03870254e+02
466	3.53107965e+00	3.05908436e+02	2.05366280e+02
467	3.53894397e+00	3.05834836e+02	2.06872759e+02
468	3.54680829e+00	3.05743079e+02	2.08389612e+02
469	3.55467261e+00	3.05633058e+02	2.09916753e+02
470	3.56253693e+00	3.05504670e+02	2.11454094e+02
471	3.57040125e+00	3.05357815e+02	2.13001541e+02
472	3.57826557e+00	3.05192401e+02	2.14558995e+02
