Index       TIME        N(YRXN!R1_000_CONC_ZSPEC)
594      3.48598438e-04    1.00000983e+00
595      3.69078438e-04    1.00000985e+00
596      3.89558438e-04    1.00000986e+00
597      4.10038438e-04    1.00000988e+00
598      4.30518438e-04    1.00000988e+00
599      4.50998438e-04    1.00000989e+00
600      4.71478438e-04    1.00000990e+00
601      4.91958438e-04    1.00000990e+00
602      5.12438438e-04    1.00000990e+00
603      5.32918438e-04    1.00000990e+00
604      5.53398438e-04    1.00000989e+00
605      5.73878438e-04    1.00000989e+00
606      5.94358438e-04    1.00000988e+00
607      6.35318438e-04    1.00000987e+00
608      6.76278438e-04    1.00000985e+00
609      7.17238438e-04    1.00000983e+00
610      7.58198438e-04    1.00000981e+00
611      7.99158438e-04    1.00000978e+00
612      8.40118438e-04    1.00000976e+00
613      8.81078438e-04    1.00000973e+00
614      9.22038438e-04    1.00000970e+00
615      9.62998438e-04    1.00000967e+00
616      1.00395844e-03    1.00000964e+00
617      1.08587844e-03    1.00000958e+00
618      1.16779844e-03    1.00000952e+00
619      1.24971844e-03    1.00000946e+00
620      1.33163844e-03    1.00000939e+00
621      1.41355844e-03    1.00000933e+00
622      1.49547844e-03    1.00000926e+00
623      1.65931844e-03    1.00000913e+00
624      1.82315844e-03    1.00000900e+00
625      1.98699844e-03    1.00000887e+00
626      2.15083844e-03    1.00000874e+00
627      2.47851844e-03    1.00000848e+00
628      2.80619844e-03    1.00000822e+00
629      3.46155844e-03    1.00000769e+00
630      4.77227844e-03    1.00000664e+00
631      7.39371844e-03    1.00000455e+00
632      1.26365984e-02    1.00000035e+00
633      2.31223584e-02    9.99991967e-01
634      4.40938784e-02    9.99975193e-01
635      8.60369184e-02    9.99941647e-01
636      1.69922998e-01    9.99874561e-01
637      3.37695158e-01    9.99740417e-01
638      6.73239478e-01    9.99472236e-01
639      1.34432812e+00    9.98936305e-01
640      2.01541676e+00    9.98400950e-01
641      2.68650540e+00    9.97866167e-01
642      3.35759404e+00    9.97331958e-01
643      4.02868268e+00    9.96798320e-01
644      4.69977132e+00    9.96265253e-01
645      5.37085996e+00    9.95732755e-01
646      6.04194860e+00    9.95200827e-01
647      6.71303724e+00    9.94669467e-01
648      7.38412588e+00    9.94138675e-01
649      8.72630316e+00    9.93078786e-01
650      1.00684804e+01    9.92021155e-01
651      1.14106577e+01    9.90965775e-01
652      1.27528350e+01    9.89912637e-01
653      1.40950123e+01    9.88861737e-01
