Index         TIME             V(3)         {V(2)-V(27)}   {V(3)-(V(2)-V(27))}
310     4.66319583e-04   -1.94874875e+00  -1.94874875e+00  0.00000000e+00   
311     4.67274929e-04   -2.11538657e+00  -2.11538657e+00  0.00000000e+00   
312     4.68230275e-04   -2.26701020e+00  -2.26701020e+00  0.00000000e+00   
313     4.69185621e-04   -2.40349895e+00  -2.40349895e+00  0.00000000e+00   
314     4.70140967e-04   -2.52477273e+00  -2.52477273e+00  0.00000000e+00   
315     4.71096312e-04   -2.63079211e+00  -2.63079211e+00  0.00000000e+00   
316     4.72051658e-04   -2.72155827e+00  -2.72155827e+00  0.00000000e+00   
317     4.73007004e-04   -2.79711285e+00  -2.79711285e+00  0.00000000e+00   
318     4.73962350e-04   -2.85753771e+00  -2.85753771e+00  0.00000000e+00   
319     4.74917696e-04   -2.90295461e+00  -2.90295461e+00  0.00000000e+00   
320     4.75873042e-04   -2.93352475e+00  -2.93352475e+00  0.00000000e+00   
321     4.76828387e-04   -2.94944827e+00  -2.94944827e+00  0.00000000e+00   
322     4.77783733e-04   -2.95096362e+00  -2.95096362e+00  0.00000000e+00   
323     4.78739079e-04   -2.93834686e+00  -2.93834686e+00  0.00000000e+00   
324     4.79694425e-04   -2.91191085e+00  -2.91191085e+00  0.00000000e+00   
325     4.80649771e-04   -2.87200437e+00  -2.87200437e+00  0.00000000e+00   
326     4.81605117e-04   -2.81901116e+00  -2.81901116e+00  0.00000000e+00   
327     4.82560463e-04   -2.75334886e+00  -2.75334886e+00  0.00000000e+00   
328     4.83515808e-04   -2.67546787e+00  -2.67546787e+00  0.00000000e+00   
329     4.84471154e-04   -2.58585015e+00  -2.58585015e+00  0.00000000e+00   
330     4.85426500e-04   -2.48500792e+00  -2.48500792e+00  0.00000000e+00   
331     4.86381846e-04   -2.37348233e+00  -2.37348233e+00  0.00000000e+00   
332     4.87337192e-04   -2.25184200e+00  -2.25184200e+00  0.00000000e+00   
333     4.88292538e-04   -2.12068156e+00  -2.12068156e+00  0.00000000e+00   
334     4.89247883e-04   -1.98062008e+00  -1.98062008e+00  0.00000000e+00   
335     4.90203229e-04   -1.83229946e+00  -1.83229946e+00  0.00000000e+00   
336     4.91158575e-04   -1.67638276e+00  -1.67638276e+00  0.00000000e+00   
337     4.92113921e-04   -1.51355253e+00  -1.51355253e+00  0.00000000e+00   
338     4.93069267e-04   -1.34450899e+00  -1.34450899e+00  0.00000000e+00   
339     4.94024613e-04   -1.16996826e+00  -1.16996826e+00  0.00000000e+00   
340     4.94979958e-04   -9.90660528e-01  -9.90660528e-01  0.00000000e+00   
341     4.95935304e-04   -8.07328146e-01  -8.07328146e-01  0.00000000e+00   
342     4.96890650e-04   -6.20723763e-01  -6.20723763e-01  0.00000000e+00   
