Index       TIME              V(1A)             V(2A)             V(3A)        {I(C1A)+I(C1B)}        I(C2)             I(C3)        {P(C1A)+P(C1B)}        P(C2)             P(C3)      
88       1.00093840e-01    7.12863566e-01    9.16255950e-01    9.16255950e-01   -7.12863566e-04   -9.16255950e-04   -9.16255950e-04   -5.08174464e-04   -8.39524966e-04   -8.39524966e-04
89       1.00175760e-01    7.12133967e-01    9.14381377e-01    9.14381377e-01   -7.12133967e-04   -9.14381377e-04   -9.14381377e-04   -5.07134787e-04   -8.36093303e-04   -8.36093303e-04
90       1.00339600e-01    7.10677009e-01    9.10643726e-01    9.10643726e-01   -7.10677009e-04   -9.10643726e-04   -9.10643726e-04   -5.05061811e-04   -8.29271995e-04   -8.29271995e-04
91       1.00667280e-01    7.07772025e-01    9.03214164e-01    9.03214164e-01   -7.07772025e-04   -9.03214164e-04   -9.03214164e-04   -5.00941240e-04   -8.15795826e-04   -8.15795826e-04
92       1.01322640e-01    7.01997609e-01    8.88536145e-01    8.88536145e-01   -7.01997609e-04   -8.88536145e-04   -8.88536145e-04   -4.92800643e-04   -7.89496482e-04   -7.89496482e-04
93       1.02633360e-01    6.90589535e-01    8.59889933e-01    8.59889933e-01   -6.90589535e-04   -8.59889933e-04   -8.59889933e-04   -4.76913906e-04   -7.39410696e-04   -7.39410696e-04
94       1.05254800e-01    6.68325078e-01    8.05324196e-01    8.05324196e-01   -6.68325078e-04   -8.05324196e-04   -8.05324196e-04   -4.46658410e-04   -6.48547061e-04   -6.48547061e-04
95       1.07876240e-01    6.46778422e-01    7.54221018e-01    7.54221018e-01   -6.46778422e-04   -7.54221018e-04   -7.54221018e-04   -4.18322327e-04   -5.68849345e-04   -5.68849345e-04
96       1.10497680e-01    6.25926426e-01    7.06360677e-01    7.06360677e-01   -6.25926426e-04   -7.06360677e-04   -7.06360677e-04   -3.91783891e-04   -4.98945407e-04   -4.98945407e-04
97       1.13119120e-01    6.05746693e-01    6.61537393e-01    6.61537393e-01   -6.05746693e-04   -6.61537393e-04   -6.61537393e-04   -3.66929057e-04   -4.37631723e-04   -4.37631723e-04
98       1.15740560e-01    5.86217551e-01    6.19558445e-01    6.19558445e-01   -5.86217551e-04   -6.19558445e-04   -6.19558445e-04   -3.43651017e-04   -3.83852667e-04   -3.83852667e-04
99       1.18362000e-01    5.67318024e-01    5.80243340e-01    5.80243340e-01   -5.67318024e-04   -5.80243340e-04   -5.80243340e-04   -3.21849741e-04   -3.36682334e-04   -3.36682334e-04
100      1.20983440e-01    5.49027814e-01    5.43423040e-01    5.43423040e-01   -5.49027814e-04   -5.43423040e-04   -5.43423040e-04   -3.01431541e-04   -2.95308601e-04   -2.95308601e-04
101      1.23604880e-01    5.31327276e-01    5.08939233e-01    5.08939233e-01   -5.31327276e-04   -5.08939233e-04   -5.08939233e-04   -2.82308675e-04   -2.59019143e-04   -2.59019143e-04
102      1.26226320e-01    5.14197400e-01    4.76643653e-01    4.76643653e-01   -5.14197400e-04   -4.76643653e-04   -4.76643653e-04   -2.64398966e-04   -2.27189172e-04   -2.27189172e-04
103      1.28847760e-01    4.97619787e-01    4.46397443e-01    4.46397443e-01   -4.97619787e-04   -4.46397443e-04   -4.46397443e-04   -2.47625453e-04   -1.99270677e-04   -1.99270677e-04
104      1.31469200e-01    4.81576633e-01    4.18070555e-01    4.18070555e-01   -4.81576633e-04   -4.18070555e-04   -4.18070555e-04   -2.31916054e-04   -1.74782989e-04   -1.74782989e-04
