Index       TIME              V(1A)             V(2A)             V(3A)        {I(C1A)+I(C1B)}        I(C2)             I(C3)        {P(C1A)+P(C1B)}        P(C2)             P(C3)      
101      1.28847760e-01    4.97632010e-01    4.46417026e-01    4.46417026e-01   -4.97632010e-04   -4.46417026e-04   -4.46417026e-04   -2.47637617e-04   -1.99288161e-04   -1.99288161e-04
102      1.31469200e-01    4.81588462e-01    4.18088896e-01    4.18088896e-01   -4.81588461e-04   -4.18088896e-04   -4.18088896e-04   -2.31927446e-04   -1.74798325e-04   -1.74798325e-04
103      1.34090640e-01    4.66062154e-01    3.91558374e-01    3.91558374e-01   -4.66062154e-04   -3.91558374e-04   -3.91558374e-04   -2.17213931e-04   -1.53317960e-04   -1.53317960e-04
104      1.36712080e-01    4.51036411e-01    3.66711390e-01    3.66711390e-01   -4.51036411e-04   -3.66711391e-04   -3.66711391e-04   -2.03433844e-04   -1.34477244e-04   -1.34477244e-04
105      1.39333520e-01    4.36495095e-01    3.43441113e-01    3.43441113e-01   -4.36495095e-04   -3.43441113e-04   -3.43441113e-04   -1.90527968e-04   -1.17951798e-04   -1.17951798e-04
106      1.41954960e-01    4.22422587e-01    3.21647490e-01    3.21647490e-01   -4.22422587e-04   -3.21647490e-04   -3.21647490e-04   -1.78440842e-04   -1.03457108e-04   -1.03457108e-04
107      1.44576400e-01    4.08803775e-01    3.01236817e-01    3.01236817e-01   -4.08803775e-04   -3.01236817e-04   -3.01236817e-04   -1.67120526e-04   -9.07436199e-05   -9.07436199e-05
108      1.47197840e-01    3.95624030e-01    2.82121337e-01    2.82121337e-01   -3.95624030e-04   -2.82121337e-04   -2.82121337e-04   -1.56518373e-04   -7.95924488e-05   -7.95924488e-05
109      1.49819280e-01    3.82869197e-01    2.64218861e-01    2.64218861e-01   -3.82869197e-04   -2.64218861e-04   -2.64218861e-04   -1.46588822e-04   -6.98116067e-05   -6.98116067e-05
110      1.52440720e-01    3.70525577e-01    2.47452417e-01    2.47452417e-01   -3.70525577e-04   -2.47452417e-04   -2.47452417e-04   -1.37289203e-04   -6.12326986e-05   -6.12326986e-05
111      1.55062160e-01    3.58579912e-01    2.31749915e-01    2.31749915e-01   -3.58579912e-04   -2.31749915e-04   -2.31749915e-04   -1.28579553e-04   -5.37080230e-05   -5.37080230e-05
112      1.57683600e-01    3.47019374e-01    2.17043841e-01    2.17043841e-01   -3.47019374e-04   -2.17043841e-04   -2.17043841e-04   -1.20422446e-04   -4.71080290e-05   -4.71080290e-05
113      1.60305040e-01    3.35831544e-01    2.03270965e-01    2.03270965e-01   -3.35831544e-04   -2.03270965e-04   -2.03270965e-04   -1.12782826e-04   -4.13190854e-05   -4.13190854e-05
114      1.62926480e-01    3.25004408e-01    1.90372070e-01    1.90372070e-01   -3.25004408e-04   -1.90372071e-04   -1.90372071e-04   -1.05627865e-04   -3.62415252e-05   -3.62415252e-05
115      1.65547920e-01    3.14526336e-01    1.78291696e-01    1.78291696e-01   -3.14526336e-04   -1.78291696e-04   -1.78291696e-04   -9.89268162e-05   -3.17879289e-05   -3.17879289e-05
116      1.68169360e-01    3.04386075e-01    1.66977902e-01    1.66977902e-01   -3.04386075e-04   -1.66977902e-04   -1.66977902e-04   -9.26508828e-05   -2.78816198e-05   -2.78816198e-05
117      1.70790800e-01    2.94572734e-01    1.56382043e-01    1.56382043e-01   -2.94572734e-04   -1.56382043e-04   -1.56382043e-04   -8.67730957e-05   -2.44553435e-05   -2.44553435e-05
118      1.73412240e-01    2.85075773e-01    1.46458562e-01    1.46458562e-01   -2.85075773e-04   -1.46458562e-04   -1.46458562e-04   -8.12681963e-05   -2.14501105e-05   -2.14501105e-05
119      1.76033680e-01    2.75884992e-01    1.37164792e-01    1.37164792e-01   -2.75884992e-04   -1.37164792e-04   -1.37164792e-04   -7.61125287e-05   -1.88141802e-05   -1.88141802e-05
120      1.78655120e-01    2.66990519e-01    1.28460774e-01    1.28460774e-01   -2.66990519e-04   -1.28460774e-04   -1.28460774e-04   -7.12839375e-05   -1.65021704e-05   -1.65021704e-05
121      1.81276560e-01    2.58382803e-01    1.20309083e-01    1.20309083e-01   -2.58382803e-04   -1.20309083e-04   -1.20309083e-04   -6.67616728e-05   -1.44742755e-05   -1.44742755e-05
122      1.83898000e-01    2.50052597e-01    1.12674671e-01    1.12674671e-01   -2.50052597e-04   -1.12674671e-04   -1.12674671e-04   -6.25263014e-05   -1.26955816e-05   -1.26955816e-05
123      1.86519440e-01    2.41990956e-01    1.05524714e-01    1.05524714e-01   -2.41990956e-04   -1.05524714e-04   -1.05524714e-04   -5.85596227e-05   -1.11354652e-05   -1.11354652e-05
124      1.89140880e-01    2.34189220e-01    9.88284688e-02    9.88284688e-02   -2.34189220e-04   -9.88284689e-05   -9.88284689e-05   -5.48445906e-05   -9.76706625e-06   -9.76706625e-06
125      1.91762320e-01    2.26639010e-01    9.25571450e-02    9.25571450e-02   -2.26639010e-04   -9.25571450e-05   -9.25571450e-05   -5.13652409e-05   -8.56682509e-06   -8.56682509e-06
126      1.94383760e-01    2.19332217e-01    8.66837784e-02    8.66837784e-02   -2.19332217e-04   -8.66837785e-05   -8.66837785e-05   -4.81066216e-05   -7.51407745e-06   -7.51407745e-06
127      1.97005200e-01    2.12260994e-01    8.11831161e-02    8.11831161e-02   -2.12260994e-04   -8.11831160e-05   -8.11831160e-05   -4.50547297e-05   -6.59069833e-06   -6.59069833e-06
128      2.02248080e-01    1.98791622e-01    7.11967492e-02    7.11967492e-02   -1.98791622e-04   -7.11967492e-05   -7.11967492e-05   -3.95181090e-05   -5.06897710e-06   -5.06897710e-06
129      2.07490960e-01    1.86176971e-01    6.24388092e-02    6.24388092e-02   -1.86176971e-04   -6.24388092e-05   -6.24388092e-05   -3.46618646e-05   -3.89860490e-06   -3.89860490e-06
130      2.12733840e-01    1.74362804e-01    5.47581869e-02    5.47581869e-02   -1.74362804e-04   -5.47581869e-05   -5.47581869e-05   -3.04023874e-05   -2.99845903e-06   -2.99845903e-06
131      2.17976720e-01    1.63298324e-01    4.80223609e-02    4.80223609e-02   -1.63298324e-04   -4.80223609e-05   -4.80223609e-05   -2.66663426e-05   -2.30614715e-06   -2.30614715e-06
132      2.23219600e-01    1.52935959e-01    4.21151115e-02    4.21151115e-02   -1.52935959e-04   -4.21151116e-05   -4.21151116e-05   -2.33894076e-05   -1.77368262e-06   -1.77368262e-06
133      2.28462480e-01    1.43231155e-01    3.69345152e-02    3.69345152e-02   -1.43231155e-04   -3.69345152e-05   -3.69345152e-05   -2.05151638e-05   -1.36415841e-06   -1.36415841e-06
134      2.33705360e-01    1.34142185e-01    3.23911860e-02    3.23911860e-02   -1.34142185e-04   -3.23911861e-05   -3.23911861e-05   -1.79941259e-05   -1.04918893e-06   -1.04918893e-06
135      2.38948240e-01    1.25629971e-01    2.84067336e-02    2.84067336e-02   -1.25629971e-04   -2.84067335e-05   -2.84067335e-05   -1.57828897e-05   -8.06942511e-07   -8.06942511e-07
136      2.44191120e-01    1.17657914e-01    2.49124102e-02    2.49124102e-02   -1.17657914e-04   -2.49124102e-05   -2.49124102e-05   -1.38433847e-05   -6.20628181e-07   -6.20628181e-07
137      2.49434000e-01    1.10191737e-01    2.18479249e-02    2.18479249e-02   -1.10191737e-04   -2.18479248e-05   -2.18479248e-05   -1.21422188e-05   -4.77331820e-07   -4.77331820e-07
138      2.54676880e-01    1.03199338e-01    1.91604031e-02    1.91604031e-02   -1.03199338e-04   -1.91604031e-05   -1.91604031e-05   -1.06501033e-05   -3.67121047e-07   -3.67121047e-07
139      2.59919760e-01    9.66506534e-02    1.68034744e-02    1.68034744e-02   -9.66506534e-05   -1.68034744e-05   -1.68034744e-05   -9.34134880e-06   -2.82356751e-07   -2.82356751e-07
