Index       TIME              V(1A)             V(2A)             I(C1)             I(C2)             P(C1)             P(C2)      
148      2.63578200e-01    1.37272514e-03    1.37272514e-03   -1.37272513e-06   -1.37272513e-06   -1.88437428e-09   -1.88437428e-09
149      2.67264600e-01    1.25178759e-03    1.25178759e-03   -1.25178760e-06   -1.25178760e-06   -1.56697218e-09   -1.56697218e-09
150      2.70951000e-01    1.14150468e-03    1.14150468e-03   -1.14150467e-06   -1.14150467e-06   -1.30303293e-09   -1.30303293e-09
151      2.74637400e-01    1.04093773e-03    1.04093773e-03   -1.04093774e-06   -1.04093774e-06   -1.08355138e-09   -1.08355138e-09
152      2.78323800e-01    9.49230770e-04    9.49230770e-04   -9.49230761e-07   -9.49230761e-07   -9.01039046e-10   -9.01039046e-10
153      2.82010200e-01    8.65603220e-04    8.65603220e-04   -8.65603228e-07   -8.65603228e-07   -7.49268941e-10   -7.49268941e-10
154      2.85696600e-01    7.89343285e-04    7.89343285e-04   -7.89343276e-07   -7.89343276e-07   -6.23062814e-10   -6.23062814e-10
155      2.89383000e-01    7.19801876e-04    7.19801876e-04   -7.19801884e-07   -7.19801884e-07   -5.18114746e-10   -5.18114746e-10
156      2.93069400e-01    6.56387088e-04    6.56387088e-04   -6.56387080e-07   -6.56387080e-07   -4.30844004e-10   -4.30844004e-10
157      2.96755800e-01    5.98559165e-04    5.98559165e-04   -5.98559173e-07   -5.98559173e-07   -3.58273079e-10   -3.58273079e-10
158      3.00442200e-01    5.45825901e-04    5.45825901e-04   -5.45825892e-07   -5.45825892e-07   -2.97925910e-10   -2.97925910e-10
159      3.04128600e-01    4.97738455e-04    4.97738455e-04   -4.97738464e-07   -4.97738464e-07   -2.47743574e-10   -2.47743574e-10
160      3.07815000e-01    4.53887530e-04    4.53887530e-04   -4.53887521e-07   -4.53887521e-07   -2.06013886e-10   -2.06013886e-10
161      3.11501400e-01    4.13899886e-04    4.13899886e-04   -4.13899895e-07   -4.13899895e-07   -1.71313119e-10   -1.71313119e-10
162      3.15187800e-01    3.77435167e-04    3.77435167e-04   -3.77435158e-07   -3.77435158e-07   -1.42457302e-10   -1.42457302e-10
163      3.18874200e-01    3.44183002e-04    3.44183002e-04   -3.44183010e-07   -3.44183010e-07   -1.18461942e-10   -1.18461942e-10
164      3.22560600e-01    3.13860363e-04    3.13860363e-04   -3.13860355e-07   -3.13860355e-07   -9.85083249e-11   -9.85083249e-11
165      3.26247000e-01    2.86209160e-04    2.86209160e-04   -2.86209168e-07   -2.86209168e-07   -8.19156855e-11   -8.19156855e-11
166      3.29933400e-01    2.60994036e-04    2.60994036e-04   -2.60994028e-07   -2.60994028e-07   -6.81178848e-11   -6.81178848e-11
167      3.33619800e-01    2.38000374e-04    2.38000374e-04   -2.38000383e-07   -2.38000383e-07   -5.66441801e-11   -5.66441801e-11
168      3.37306200e-01    2.17032461e-04    2.17032461e-04   -2.17032452e-07   -2.17032452e-07   -4.71030872e-11   -4.71030872e-11
169      3.44679000e-01    1.80404656e-04    1.80404656e-04   -1.80404665e-07   -1.80404665e-07   -3.25458415e-11   -3.25458415e-11
170      3.52051800e-01    1.49958397e-04    1.49958397e-04   -1.49958389e-07   -1.49958389e-07   -2.24875196e-11   -2.24875196e-11
171      3.59424600e-01    1.24650446e-04    1.24650446e-04   -1.24650455e-07   -1.24650455e-07   -1.55377348e-11   -1.55377348e-11
172      3.66797400e-01    1.03613629e-04    1.03613629e-04   -1.03613620e-07   -1.03613620e-07   -1.07357832e-11   -1.07357832e-11
173      3.74170200e-01    8.61271215e-05    8.61271215e-05   -8.61271301e-08   -8.61271301e-08   -7.41788179e-12   -7.41788179e-12
174      3.81543000e-01    7.15917502e-05    7.15917502e-05   -7.15917416e-08   -7.15917416e-08   -5.12537809e-12   -5.12537809e-12
175      3.88915800e-01    5.95094625e-05    5.95094625e-05   -5.95094711e-08   -5.95094711e-08   -3.54137664e-12   -3.54137664e-12
176      3.96288600e-01    4.94662599e-05    4.94662599e-05   -4.94662513e-08   -4.94662513e-08   -2.44691044e-12   -2.44691044e-12
177      4.00000000e-01    4.50800215e-05    4.50800215e-05   -4.50800302e-08   -4.50800302e-08   -2.03220873e-12   -2.03220873e-12
End of Xyce(TM) Simulation
