Index        TIME             R1:R            R1:TEMP           I(R1)            R2:R            R2:TEMP           I(R2)           R3:TEMP          R4:TEMP          R5:TEMP
132     3.87408583e-02   4.61017212e-04   4.49296635e+02   1.08455820e+04   6.01197070e-04   2.17200863e+02   8.31674047e+03   2.92224389e+01   3.59123173e+01   2.92224389e+01   
133     4.00192578e-02   4.65712644e-04   4.56394299e+02   1.07362342e+04   6.06491208e-04   2.21214039e+02   8.24414259e+03   2.92943777e+01   3.62015377e+01   2.92943777e+01   
134     4.13030082e-02   4.70681009e-04   4.63377890e+02   1.06229057e+04   6.12109655e-04   2.25174652e+02   8.16847106e+03   2.93665291e+01   3.64916589e+01   2.93665291e+01   
135     4.25177406e-02   4.75569523e-04   4.69856141e+02   1.05137099e+04   6.17654512e-04   2.28859207e+02   8.09514041e+03   2.94347177e+01   3.67658888e+01   2.94347177e+01   
136     4.36534111e-02   4.80104299e-04   4.75803281e+02   1.04144037e+04   6.22812890e-04   2.32250380e+02   8.02809331e+03   2.94983943e+01   3.70220111e+01   2.94983943e+01   
137     4.47574839e-02   4.84267296e-04   4.81489776e+02   1.03248764e+04   6.27560532e-04   2.35500334e+02   7.96735892e+03   2.95602322e+01   3.72707724e+01   2.95602322e+01   
138     4.59035613e-02   4.88247843e-04   4.87300412e+02   1.02407006e+04   6.32110467e-04   2.38828277e+02   7.91000982e+03   2.96243553e+01   3.75287614e+01   2.96243553e+01   
139     4.71651322e-02   4.92315289e-04   4.93595331e+02   1.01560933e+04   6.36769588e-04   2.42441176e+02   7.85213379e+03   2.96948634e+01   3.78124790e+01   2.96948634e+01   
140     4.85887749e-02   4.96721732e-04   5.00578178e+02   1.00659981e+04   6.41827646e-04   2.46457780e+02   7.79025339e+03   2.97743343e+01   3.81323111e+01   2.97743343e+01   
141     5.01599414e-02   5.01609725e-04   5.08140708e+02   9.96790882e+03   6.47450893e-04   2.50818178e+02   7.72259342e+03   2.98619222e+01   3.84848703e+01   2.98619222e+01   
142     5.17901226e-02   5.06903495e-04   5.15830255e+02   9.86381046e+03   6.53555449e-04   2.55262847e+02   7.65046028e+03   2.99526650e+01   3.88501980e+01   2.99526650e+01   
143     5.33693963e-02   5.12286179e-04   5.23129621e+02   9.76016962e+03   6.59777986e-04   2.59492277e+02   7.57830681e+03   3.00404390e+01   3.92036423e+01   3.00404390e+01   
144     5.48469950e-02   5.17395735e-04   5.29829668e+02   9.66378280e+03   6.65699187e-04   2.63383111e+02   7.51089996e+03   3.01224400e+01   3.95339023e+01   3.01224400e+01   
145     5.62539682e-02   5.22085768e-04   5.36099448e+02   9.57697051e+03   6.71146356e-04   2.67031288e+02   7.44993988e+03   3.02004133e+01   3.98479956e+01   3.02004133e+01   
