STEPNUM  Index       TIME              R1:R              R2:R              V(1)              V(2)       
2        62       6.20000000e-01    1.00000000e+00    4.00000000e+00   -6.84457861e-01   -5.47566289e-01
2        63       6.30000000e-01    1.00000000e+00    4.00000000e+00   -7.28930991e-01   -5.83144793e-01
2        64       6.40000000e-01    1.00000000e+00    4.00000000e+00   -7.70463987e-01   -6.16371190e-01
2        65       6.50000000e-01    1.00000000e+00    4.00000000e+00   -8.08907349e-01   -6.47125880e-01
2        66       6.60000000e-01    1.00000000e+00    4.00000000e+00   -8.44198589e-01   -6.75358871e-01
2        67       6.70000000e-01    1.00000000e+00    4.00000000e+00   -8.76204783e-01   -7.00963826e-01
2        68       6.80000000e-01    1.00000000e+00    4.00000000e+00   -9.04804887e-01   -7.23843909e-01
2        69       6.90000000e-01    1.00000000e+00    4.00000000e+00   -9.29696382e-01   -7.43757106e-01
2        70       7.00000000e-01    1.00000000e+00    4.00000000e+00   -9.50918774e-01   -7.60735019e-01
2        71       7.10000000e-01    1.00000000e+00    4.00000000e+00   -9.68438614e-01   -7.74750891e-01
2        72       7.20000000e-01    1.00000000e+00    4.00000000e+00   -9.82189883e-01   -7.85751906e-01
2        73       7.30000000e-01    1.00000000e+00    4.00000000e+00   -9.92109329e-01   -7.93687463e-01
