Index    TIME    V(DRAIN)quad_pce_mean    V(DRAIN)quad_pce_meanPlus    V(DRAIN)quad_pce_meanMinus    V(DRAIN)quad_pce_stddev    V(DRAIN)quad_pce_variance    
216   1.43133400e-06   1.00108400e+00   1.00232200e+00   9.99845700e-01   1.23822900e-03   1.53321100e-06   
217   1.43273000e-06   1.00138200e+00   1.00304800e+00   9.99716500e-01   1.66563700e-03   2.77434600e-06   
218   1.43552300e-06   1.00196300e+00   1.00463500e+00   9.99291300e-01   2.67160100e-03   7.13745400e-06   
219   1.43648800e-06   1.00219200e+00   1.00538500e+00   9.99000000e-01   3.19230000e-03   1.01907800e-05   
220   1.43841900e-06   1.00243900e+00   1.00723700e+00   9.97640800e-01   4.79822900e-03   2.30230000e-05   
221   1.43907200e-06   1.00240600e+00   1.00819400e+00   9.96617100e-01   5.78870900e-03   3.35091500e-05   
222   1.43972400e-06   1.00228500e+00   1.00932900e+00   9.95242100e-01   7.04338200e-03   4.96092300e-05   
223   1.44103000e-06   1.00149200e+00   1.01280100e+00   9.90182600e-01   1.13093400e-02   1.27901100e-04   
224   1.44233500e-06   9.99473800e-01   1.01865400e+00   9.80293200e-01   1.91805900e-02   3.67895200e-04   
225   1.44364100e-06   9.95331900e-01   1.02784900e+00   9.62814900e-01   3.25169700e-02   1.05735400e-03   
226   1.44494600e-06   9.87791600e-01   1.04116000e+00   9.34422800e-01   5.33687900e-02   2.84822700e-03   
227   1.44625100e-06   9.75257100e-01   1.05890100e+00   8.91613200e-01   8.36438600e-02   6.99629500e-03   
228   1.44755700e-06   9.55695800e-01   1.08071300e+00   8.30678900e-01   1.25016900e-01   1.56292200e-02   
229   1.44886200e-06   9.27144300e-01   1.10571000e+00   7.48578800e-01   1.78565500e-01   3.18856400e-02   
230   1.45003700e-06   8.92440200e-01   1.12710300e+00   6.57777000e-01   2.34663200e-01   5.50668200e-02   
231   1.45016700e-06   8.88071600e-01   1.12894200e+00   6.47201100e-01   2.40870600e-01   5.80186200e-02   
232   1.45029700e-06   8.83718700e-01   1.13057600e+00   6.36861600e-01   2.46857100e-01   6.09384400e-02   
233   1.45055700e-06   8.75185300e-01   1.13235000e+00   6.18020600e-01   2.57164700e-01   6.61337000e-02   
234   1.45081700e-06   8.66819500e-01   1.13237900e+00   6.01259800e-01   2.65559600e-01   7.05219300e-02   
