Index       TIME              V(N1)           V(N1,N2)          V(N1,N3)      I(YMEMRISTOR!MR1)     I(RPTG2)      N(YMEMRISTOR!MR1_X)       V(N4)      
436      1.34022157e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
437      1.36000000e-03    3.47682464e-02    2.70032898e-02    2.70029816e-02    1.55299131e-04    1.55305295e-04    6.76602022e-01    6.76636600e-01
438      1.36000004e-03    3.07210059e-02    2.38599390e-02    2.38596667e-02    1.37221338e-04    1.37226785e-04    6.76602022e-01    6.76636600e-01
439      1.36000008e-03    2.73080620e-02    2.12092242e-02    2.12089821e-02    1.21976757e-04    1.21981598e-04    6.76602022e-01    6.76636600e-01
440      1.36000015e-03    2.04821742e-02    1.59077942e-02    1.59076127e-02    9.14875985e-05    9.14912298e-05    6.76602022e-01    6.76636600e-01
441      1.36000029e-03    6.83039846e-03    5.30493368e-03    5.30487313e-03    3.05092956e-05    3.05105066e-05    6.76602022e-01    6.76636600e-01
442      1.36000058e-03   -2.04731530e-02   -1.59007878e-02   -1.59006063e-02   -9.14473036e-05   -9.14509333e-05    6.76602022e-01    6.76636600e-01
443      1.36000100e-03   -6.10509462e-02   -4.74161435e-02   -4.74156023e-02   -2.72696053e-04   -2.72706877e-04    6.76602022e-01    6.76636600e-01
444      1.36000106e-03   -6.10509462e-02   -4.74161435e-02   -4.74156023e-02   -2.72696053e-04   -2.72706877e-04    6.76602022e-01    6.76636600e-01
445      1.36000117e-03   -6.10509462e-02   -4.74161435e-02   -4.74156023e-02   -2.72696053e-04   -2.72706877e-04    6.76602022e-01    6.76636600e-01
446      1.36000140e-03   -6.10509462e-02   -4.74161435e-02   -4.74156023e-02   -2.72696053e-04   -2.72706877e-04    6.76602022e-01    6.76636600e-01
447      1.36000185e-03   -6.10509462e-02   -4.74161435e-02   -4.74156023e-02   -2.72696053e-04   -2.72706877e-04    6.76602022e-01    6.76636600e-01
448      1.36000277e-03   -6.10509462e-02   -4.74161435e-02   -4.74156023e-02   -2.72696053e-04   -2.72706877e-04    6.76602022e-01    6.76636600e-01
449      1.36000459e-03   -6.10509462e-02   -4.74161435e-02   -4.74156023e-02   -2.72696053e-04   -2.72706877e-04    6.76602022e-01    6.76636600e-01
450      1.36000824e-03   -6.10509462e-02   -4.74161435e-02   -4.74156023e-02   -2.72696053e-04   -2.72706877e-04    6.76602022e-01    6.76636600e-01
451      1.36001553e-03   -6.10509462e-02   -4.74161435e-02   -4.74156023e-02   -2.72696053e-04   -2.72706877e-04    6.76602022e-01    6.76636600e-01
452      1.36003012e-03   -6.10509462e-02   -4.74161435e-02   -4.74156023e-02   -2.72696053e-04   -2.72706877e-04    6.76602022e-01    6.76636600e-01
453      1.36005930e-03   -6.10509462e-02   -4.74161435e-02   -4.74156023e-02   -2.72696053e-04   -2.72706877e-04    6.76602022e-01    6.76636600e-01
