Index       V(2)              V(1)             I(VDS)           N(M1:GM)     
202     -3.00000000e+00    1.00000000e+00    8.71031465e+00   -1.15696207e-03
203     -3.05000000e+00    1.00000000e+00    8.90368339e+00   -1.15302478e-03
204     -3.10000000e+00    1.00000000e+00    9.09705171e+00   -1.14912545e-03
205     -3.15000000e+00    1.00000000e+00    9.29041964e+00   -1.14525125e-03
206     -3.20000000e+00    1.00000000e+00    9.48378717e+00   -1.14139088e-03
207     -3.25000000e+00    1.00000000e+00    9.67715431e+00   -1.13753623e-03
208     -3.30000000e+00    1.00000000e+00    9.87052106e+00   -1.13368205e-03
209     -3.35000000e+00    1.00000000e+00    1.00638874e+01   -1.12982524e-03
210     -3.40000000e+00    1.00000000e+00    1.02572534e+01   -1.12596417e-03
211     -3.45000000e+00    1.00000000e+00    1.04506191e+01   -1.12209816e-03
212     -3.50000000e+00    1.00000000e+00    1.06439843e+01   -1.11822716e-03
213      0.00000000e+00    1.50000000e+00    0.00000000e+00    0.00000000e+00
214     -5.00000000e-02    1.50000000e+00    1.88295906e-04   -6.70855538e-05
215     -1.00000000e-01    1.50000000e+00    3.69701816e-04   -1.30950336e-04
216     -1.50000000e-01    1.50000000e+00    5.44413031e-04   -1.91984994e-04
217     -2.00000000e-01    1.50000000e+00    7.12637827e-04   -2.50503105e-04
218     -2.50000000e-01    1.50000000e+00    8.74588881e-04   -3.06760887e-04
219     -3.00000000e-01    1.50000000e+00    1.03047804e-03   -3.60970900e-04
220     -3.50000000e-01    1.50000000e+00    1.18051606e-03   -4.13311640e-04
221     -4.00000000e-01    1.50000000e+00    1.32493416e-03   -4.63934252e-04
222     -4.50000000e-01    1.50000000e+00    1.46414746e-03   -5.12967113e-04
223     -5.00000000e-01    1.50000000e+00    1.59989279e-03   -5.60518690e-04
224     -5.50000000e-01    1.50000000e+00    1.74309665e-03   -6.06678815e-04
225     -6.00000000e-01    1.50000000e+00    1.96825456e-03   -6.51518102e-04
226     -6.50000000e-01    1.50000000e+00    2.78926683e-03   -6.95084202e-04
227     -7.00000000e-01    1.50000000e+00    7.75699267e-03   -7.37390685e-04
228     -7.50000000e-01    1.50000000e+00    4.14120269e-02   -7.78388725e-04
229     -8.00000000e-01    1.50000000e+00    2.02016630e-01   -8.17909474e-04
230     -8.50000000e-01    1.50000000e+00    3.95435213e-01   -8.55587558e-04
231     -9.00000000e-01    1.50000000e+00    5.88849839e-01   -8.90840227e-04
232     -9.50000000e-01    1.50000000e+00    7.82260780e-01   -9.23012038e-04
233     -1.00000000e+00    1.50000000e+00    9.75668355e-01   -9.51657307e-04
234     -1.05000000e+00    1.50000000e+00    1.16907290e+00   -9.76725223e-04
235     -1.10000000e+00    1.50000000e+00    1.36247473e+00   -9.98494009e-04
236     -1.15000000e+00    1.50000000e+00    1.55587413e+00   -1.01737745e-03
237     -1.20000000e+00    1.50000000e+00    1.74927134e+00   -1.03378085e-03
238     -1.25000000e+00    1.50000000e+00    1.94266655e+00   -1.04804812e-03
239     -1.30000000e+00    1.50000000e+00    2.13605993e+00   -1.06046029e-03
240     -1.35000000e+00    1.50000000e+00    2.32945164e+00   -1.07124854e-03
241     -1.40000000e+00    1.50000000e+00    2.52284178e+00   -1.08060667e-03
242     -1.45000000e+00    1.50000000e+00    2.71623048e+00   -1.08869987e-03
243     -1.50000000e+00    1.50000000e+00    2.90961783e+00   -1.09567058e-03
244     -1.55000000e+00    1.50000000e+00    3.10300390e+00   -1.10164245e-03
245     -1.60000000e+00    1.50000000e+00    3.29638879e+00   -1.10672330e-03
246     -1.65000000e+00    1.50000000e+00    3.48977254e+00   -1.11100739e-03
247     -1.70000000e+00    1.50000000e+00    3.68315523e+00   -1.11457730e-03
248     -1.75000000e+00    1.50000000e+00    3.87653690e+00   -1.11750547e-03
249     -1.80000000e+00    1.50000000e+00    4.06991760e+00   -1.11985550e-03
250     -1.85000000e+00    1.50000000e+00    4.26329737e+00   -1.12168326e-03
251     -1.90000000e+00    1.50000000e+00    4.45667625e+00   -1.12303778e-03
252     -1.95000000e+00    1.50000000e+00    4.65005428e+00   -1.12396191e-03
253     -2.00000000e+00    1.50000000e+00    4.84343148e+00   -1.12449287e-03
254     -2.05000000e+00    1.50000000e+00    5.03680857e+00   -1.12464985e-03
255     -2.10000000e+00    1.50000000e+00    5.23018570e+00   -1.12445968e-03
256     -2.15000000e+00    1.50000000e+00    5.42356219e+00   -1.12395716e-03
257     -2.20000000e+00    1.50000000e+00    5.61693803e+00   -1.12315916e-03
258     -2.25000000e+00    1.50000000e+00    5.81031325e+00   -1.12208107e-03
259     -2.30000000e+00    1.50000000e+00    6.00368786e+00   -1.12074418e-03
260     -2.35000000e+00    1.50000000e+00    6.19706187e+00   -1.11918391e-03
261     -2.40000000e+00    1.50000000e+00    6.39043530e+00   -1.11744854e-03
262     -2.45000000e+00    1.50000000e+00    6.58380816e+00   -1.11558371e-03
263     -2.50000000e+00    1.50000000e+00    6.77718048e+00   -1.11361779e-03
264     -2.55000000e+00    1.50000000e+00    6.97055225e+00   -1.11156189e-03
