Index       V(2)              V(1)             I(VDS)           N(M1:GM)          N(M1:VTH)        N(M1:VDSAT)        N(M1:VDS)         N(M1:VGS)         N(M1:VBS)     {N(M1:VDS)-N(M1:VDSAT)}
118      2.35000000e+00    5.00000000e-01   -1.85834682e-04    1.30070411e-03    2.72088838e-01    1.69496899e-01    2.35000000e+00    5.00000000e-01    0.00000000e+00    2.18050310e+00
119      2.40000000e+00    5.00000000e-01   -1.87657644e-04    1.30744100e-03    2.71402187e-01    1.69869073e-01    2.40000000e+00    5.00000000e-01    0.00000000e+00    2.23013093e+00
120      2.45000000e+00    5.00000000e-01   -1.89487404e-04    1.31414664e-03    2.70715536e-01    1.70240841e-01    2.45000000e+00    5.00000000e-01    0.00000000e+00    2.27975916e+00
121      2.50000000e+00    5.00000000e-01   -1.91324120e-04    1.32082249e-03    2.70028886e-01    1.70612202e-01    2.50000000e+00    5.00000000e-01    0.00000000e+00    2.32938780e+00
122      2.55000000e+00    5.00000000e-01   -1.93167936e-04    1.32746991e-03    2.69342235e-01    1.70983156e-01    2.55000000e+00    5.00000000e-01    0.00000000e+00    2.37901684e+00
123      2.60000000e+00    5.00000000e-01   -1.95018987e-04    1.33409015e-03    2.68655584e-01    1.71353699e-01    2.60000000e+00    5.00000000e-01    0.00000000e+00    2.42864630e+00
124      2.65000000e+00    5.00000000e-01   -1.96877402e-04    1.34068439e-03    2.67968933e-01    1.71723832e-01    2.65000000e+00    5.00000000e-01    0.00000000e+00    2.47827617e+00
125      2.70000000e+00    5.00000000e-01   -1.98743296e-04    1.34725369e-03    2.67282283e-01    1.72093554e-01    2.70000000e+00    5.00000000e-01    0.00000000e+00    2.52790645e+00
126      2.75000000e+00    5.00000000e-01   -2.00616782e-04    1.35379906e-03    2.66595632e-01    1.72462863e-01    2.75000000e+00    5.00000000e-01    0.00000000e+00    2.57753714e+00
127      2.80000000e+00    5.00000000e-01   -2.02497961e-04    1.36032144e-03    2.65908981e-01    1.72831758e-01    2.80000000e+00    5.00000000e-01    0.00000000e+00    2.62716824e+00
128      2.85000000e+00    5.00000000e-01   -2.04386932e-04    1.36682168e-03    2.65222331e-01    1.73200238e-01    2.85000000e+00    5.00000000e-01    0.00000000e+00    2.67679976e+00
129      2.90000000e+00    5.00000000e-01   -2.06283785e-04    1.37330060e-03    2.64535680e-01    1.73568303e-01    2.90000000e+00    5.00000000e-01    0.00000000e+00    2.72643170e+00
130      2.95000000e+00    5.00000000e-01   -2.08188606e-04    1.37975896e-03    2.63849029e-01    1.73935951e-01    2.95000000e+00    5.00000000e-01    0.00000000e+00    2.77606405e+00
131      3.00000000e+00    5.00000000e-01   -2.10101476e-04    1.38619745e-03    2.63162378e-01    1.74303181e-01    3.00000000e+00    5.00000000e-01    0.00000000e+00    2.82569682e+00
132      3.05000000e+00    5.00000000e-01   -2.12022472e-04    1.39261675e-03    2.62475728e-01    1.74669992e-01    3.05000000e+00    5.00000000e-01    0.00000000e+00    2.87533001e+00
133      3.10000000e+00    5.00000000e-01   -2.13951665e-04    1.39901746e-03    2.61789077e-01    1.75036384e-01    3.10000000e+00    5.00000000e-01    0.00000000e+00    2.92496362e+00
134      3.15000000e+00    5.00000000e-01   -2.15889124e-04    1.40540018e-03    2.61102426e-01    1.75402355e-01    3.15000000e+00    5.00000000e-01    0.00000000e+00    2.97459764e+00
135      3.20000000e+00    5.00000000e-01   -2.17834913e-04    1.41176544e-03    2.60415776e-01    1.75767906e-01    3.20000000e+00    5.00000000e-01    0.00000000e+00    3.02423209e+00
136      3.25000000e+00    5.00000000e-01   -2.19789094e-04    1.41811376e-03    2.59729125e-01    1.76133034e-01    3.25000000e+00    5.00000000e-01    0.00000000e+00    3.07386697e+00
137      3.30000000e+00    5.00000000e-01   -2.21751725e-04    1.42444562e-03    2.59042474e-01    1.76497740e-01    3.30000000e+00    5.00000000e-01    0.00000000e+00    3.12350226e+00
138      3.35000000e+00    5.00000000e-01   -2.23722861e-04    1.43076147e-03    2.58355823e-01    1.76862022e-01    3.35000000e+00    5.00000000e-01    0.00000000e+00    3.17313798e+00
139      3.40000000e+00    5.00000000e-01   -2.25702555e-04    1.43706175e-03    2.57669173e-01    1.77225880e-01    3.40000000e+00    5.00000000e-01    0.00000000e+00    3.22277412e+00
140      3.45000000e+00    5.00000000e-01   -2.27690857e-04    1.44334686e-03    2.56982522e-01    1.77589312e-01    3.45000000e+00    5.00000000e-01    0.00000000e+00    3.27241069e+00
141      3.50000000e+00    5.00000000e-01   -2.29687815e-04    1.44961718e-03    2.56295871e-01    1.77952320e-01    3.50000000e+00    5.00000000e-01    0.00000000e+00    3.32204768e+00
142      0.00000000e+00    1.00000000e+00    0.00000000e+00    0.00000000e+00    3.04361422e-01    3.99014881e-01    0.00000000e+00    1.00000000e+00    0.00000000e+00   -3.99014881e-01
143      5.00000000e-02    1.00000000e+00   -1.36123138e-04    1.25037747e-04    3.03674771e-01    3.99257581e-01    5.00000000e-02    1.00000000e+00    0.00000000e+00   -3.49257581e-01
