Index       TIME              V(1)              I(L1)             V(3)              V(2)              I(VS)      
202      9.22023810e-04    0.00000000e+00    0.00000000e+00    2.07562676e-02    4.05975994e-02    1.98413317e-05
203      9.26785714e-04    0.00000000e+00    0.00000000e+00    2.52437231e-02    4.03787124e-02    1.51349893e-05
204      9.31547619e-04    0.00000000e+00    0.00000000e+00    2.97309527e-02    4.02421816e-02    1.05112289e-05
205      9.36309524e-04    0.00000000e+00    0.00000000e+00    3.42179160e-02    4.01854933e-02    5.96757725e-06
206      9.41071429e-04    0.00000000e+00    0.00000000e+00    3.87045731e-02    4.02049892e-02    1.50041613e-06
207      9.45833333e-04    0.00000000e+00    0.00000000e+00    4.31908836e-02    4.02963810e-02   -2.89450266e-06
208      9.50595238e-04    0.00000000e+00    0.00000000e+00    4.76768076e-02    4.04553532e-02   -7.22145437e-06
209      9.55357143e-04    0.00000000e+00    0.00000000e+00    5.21623047e-02    4.06780867e-02   -1.14842180e-05
210      9.60119048e-04    0.00000000e+00    0.00000000e+00    5.66473348e-02    4.09616118e-02   -1.56857230e-05
211      9.64880952e-04    0.00000000e+00    0.00000000e+00    6.11318579e-02    4.13039683e-02   -1.98278896e-05
212      9.69642857e-04    0.00000000e+00    0.00000000e+00    6.56158337e-02    4.17041920e-02   -2.39116417e-05
213      9.74404762e-04    0.00000000e+00    0.00000000e+00    7.00992221e-02    4.21621746e-02   -2.79370475e-05
214      9.79166667e-04    0.00000000e+00    0.00000000e+00    7.45819830e-02    4.26784453e-02   -3.19035377e-05
215      9.83928571e-04    0.00000000e+00    0.00000000e+00    7.90640762e-02    4.32539219e-02   -3.58101542e-05
216      9.88690476e-04    0.00000000e+00    0.00000000e+00    8.35454616e-02    4.38896688e-02   -3.96557928e-05
217      9.93452381e-04    0.00000000e+00    0.00000000e+00    8.80260991e-02    4.45866861e-02   -4.34394130e-05
218      9.98214286e-04    0.00000000e+00    0.00000000e+00    3.36398366e-02    4.44259152e-02    1.07860786e-05
219      1.00297619e-03    0.00000000e+00    0.00000000e+00    2.80498926e-03    4.37905084e-02    4.09855191e-05
220      1.00773810e-03    0.00000000e+00    0.00000000e+00    7.29294695e-03    4.32403406e-02    3.59473937e-05
221      1.01250000e-03    0.00000000e+00    0.00000000e+00    1.17808394e-02    4.27739024e-02    3.09930630e-05
222      1.01726190e-03    0.00000000e+00    0.00000000e+00    1.62686263e-02    4.23903278e-02    2.61217015e-05
223      1.02202381e-03    0.00000000e+00    0.00000000e+00    2.07562676e-02    4.20893268e-02    2.13330591e-05
224      1.02678571e-03    0.00000000e+00    0.00000000e+00    2.52437231e-02    4.18704109e-02    1.66266878e-05
225      1.03154762e-03    0.00000000e+00    0.00000000e+00    2.97309527e-02    4.17322240e-02    1.20012714e-05
226      1.03630952e-03    0.00000000e+00    0.00000000e+00    3.42179160e-02    4.16723170e-02    7.45440093e-06
227      1.04107143e-03    0.00000000e+00    0.00000000e+00    3.87045731e-02    4.16873485e-02    2.98277541e-06
228      1.04583333e-03    0.00000000e+00    0.00000000e+00    4.31908836e-02    4.17735344e-02   -1.41734928e-06
229      1.05059524e-03    0.00000000e+00    0.00000000e+00    4.76768076e-02    4.19271539e-02   -5.74965366e-06
230      1.05535714e-03    0.00000000e+00    0.00000000e+00    5.21623047e-02    4.21449753e-02   -1.00173294e-05
231      1.06011905e-03    0.00000000e+00    0.00000000e+00    5.66473348e-02    4.24245288e-02   -1.42228061e-05
232      1.06488095e-03    0.00000000e+00    0.00000000e+00    6.11318579e-02    4.27642135e-02   -1.83676444e-05
233      1.06964286e-03    0.00000000e+00    0.00000000e+00    6.56158337e-02    4.31632599e-02   -2.24525738e-05
234      1.07440476e-03    0.00000000e+00    0.00000000e+00    7.00992221e-02    4.36215893e-02   -2.64776328e-05
235      1.07916667e-03    0.00000000e+00    0.00000000e+00    7.45819830e-02    4.41396142e-02   -3.04423687e-05
236      1.08392857e-03    0.00000000e+00    0.00000000e+00    7.90640762e-02    4.47180206e-02   -3.43460556e-05
237      1.08869048e-03    0.00000000e+00    0.00000000e+00    8.35454616e-02    4.53575612e-02   -3.81879004e-05
238      1.09345238e-03    0.00000000e+00    0.00000000e+00    8.80260991e-02    4.60588826e-02   -4.19672166e-05
239      1.09821429e-03    0.00000000e+00    0.00000000e+00    3.36398366e-02    4.59025741e-02    1.22627375e-05
240      1.10297619e-03    0.00000000e+00    0.00000000e+00    2.80498926e-03    4.52713706e-02    4.24663814e-05
241      1.10773810e-03    0.00000000e+00    0.00000000e+00    7.29294695e-03    4.47249453e-02    3.74319983e-05
242      1.11250000e-03    0.00000000e+00    0.00000000e+00    1.17808394e-02    4.42617270e-02    3.24808876e-05
243      1.11726190e-03    0.00000000e+00    0.00000000e+00    1.62686263e-02    4.25920964e-02    2.63234701e-05
