Index        TIME               V(VOUT)              V(IN)               V(1)        
190      3.0095119520e-06    5.5753269735e-01    2.9584257524e+00    2.9778883167e+00
191      3.0095628248e-06    5.4792169564e-01    2.9924219731e+00    3.0114643786e+00
192      3.0096136976e-06    5.3993600545e-01    3.0264808802e+00    3.0450404405e+00
193      3.0096645705e-06    5.3371313066e-01    3.0606186041e+00    3.0786165024e+00
194      3.0097154433e-06    5.2937589538e-01    3.0948528431e+00    3.1121925643e+00
195      3.0097663161e-06    5.2697564388e-01    3.1291888112e+00    3.1457686262e+00
196      3.0098171889e-06    5.2638520927e-01    3.1635817658e+00    3.1793446882e+00
197      3.0098680617e-06    5.2721608570e-01    3.1979024555e+00    3.2129207501e+00
198      3.0099189346e-06    5.2893821764e-01    3.2320081712e+00    3.2464968120e+00
199      3.0100000000e-06    5.3257210351e-01    3.2859359836e+00    3.3000000000e+00
200      3.0100048732e-06    5.3277020192e-01    3.2885575515e+00    3.3000000000e+00
201      3.0100086936e-06    5.3290258286e-01    3.2902997362e+00    3.3000000000e+00
202      3.0100125141e-06    5.3302446616e-01    3.2918983684e+00    3.3000000000e+00
203      3.0100201549e-06    5.3321418747e-01    3.2943641286e+00    3.3000000000e+00
204      3.0100277958e-06    5.3334735242e-01    3.2960770452e+00    3.3000000000e+00
205      3.0100430776e-06    5.3350905155e-01    3.2981405694e+00    3.3000000000e+00
206      3.0100736412e-06    5.3363007131e-01    3.2996718093e+00    3.3000000000e+00
207      3.0101347684e-06    5.3365766954e-01    3.3000192225e+00    3.3000000000e+00
208      3.0101897828e-06    5.3365283611e-01    3.2999586645e+00    3.3000000000e+00
209      3.0102447972e-06    5.3365347993e-01    3.2999665931e+00    3.3000000000e+00
210      3.0103548261e-06    5.3365336672e-01    3.2999652654e+00    3.3000000000e+00
211      3.0105748839e-06    5.3365342963e-01    3.2999659530e+00    3.3000000000e+00
212      3.0110149994e-06    5.3365338172e-01    3.2999654454e+00    3.3000000000e+00
213      3.0118952304e-06    5.3365342385e-01    3.2999658836e+00    3.3000000000e+00
214      3.0136556925e-06    5.3365338429e-01    3.2999654760e+00    3.3000000000e+00
215      3.0171766166e-06    5.3365342264e-01    3.2999658692e+00    3.3000000000e+00
