Index        TIME               V(VOUT)              V(IN)               V(1)           N(M:XINV1:N1_T)     N(M:XINV1:P1_T)  
208      4.5208970130e-06    4.4730089937e-01    1.8263183896e+00    1.8205973946e+00    2.2799882278e+01    4.3977785419e+00
209      4.5217322094e-06    4.4984910721e-01    1.6594926126e+00    1.6535581269e+00    2.2798710800e+01    4.4099835994e+00
210      4.5225674057e-06    6.0503569948e-01    1.4946597956e+00    1.4865188593e+00    2.2799704796e+01    4.4284115601e+00
211      4.5234026020e-06    1.0274706573e+00    1.3286243130e+00    1.3194795916e+00    2.2812614092e+01    4.4453225074e+00
212      4.5241542787e-06    1.4383146814e+00    1.1774447615e+00    1.1691442507e+00    2.2839877276e+01    4.4542071426e+00
213      4.5249059555e-06    1.7147005670e+00    1.0271028111e+00    1.0188089099e+00    2.2878504913e+01    4.4574037811e+00
214      4.5256576322e-06    1.7925853213e+00    8.7463404590e-01    8.6847356898e-01    2.2918496305e+01    4.4576048767e+00
215      4.5264093089e-06    1.7919535228e+00    7.2418509915e-01    7.1813822810e-01    2.2951685389e+01    4.4574259210e+00
216      4.5271609856e-06    1.7648916936e+00    5.7318429128e-01    5.6780288721e-01    2.2975412841e+01    4.4582635862e+00
217      4.5286643390e-06    1.6857354602e+00    2.7271964108e-01    2.6713220545e-01    2.2993642698e+01    4.4665936081e+00
218      4.5300000000e-06    1.8420575526e+00    9.5011370550e-03    1.9095836024e-14    2.2983914423e+01    4.4724242075e+00
219      4.5301503353e-06    1.8491776562e+00    2.1412719311e-03    0.0000000000e+00    2.2981780172e+01    4.4723323350e+00
220      4.5304510060e-06    1.8509925942e+00    2.7232300730e-04    0.0000000000e+00    2.2977489827e+01    4.4721208825e+00
