Index       V(2)              V(1)             I(VDS)           N(M1:GM)     
298      1.08000000e+00   -1.00000000e+00   -1.34605327e-01   -5.50589104e-04
299      1.10000000e+00   -1.00000000e+00   -1.42789690e-01   -5.38770022e-04
300      1.12000000e+00   -1.00000000e+00   -1.51038243e-01   -5.27221480e-04
301      1.14000000e+00   -1.00000000e+00   -1.59359976e-01   -5.15938049e-04
302      1.16000000e+00   -1.00000000e+00   -1.67765073e-01   -5.04915764e-04
303      1.18000000e+00   -1.00000000e+00   -1.76265028e-01   -4.94151753e-04
304      1.20000000e+00   -1.00000000e+00   -1.84872767e-01   -4.83643982e-04
305      0.00000000e+00   -1.20000000e+00   -4.68495082e-06    0.00000000e+00
306      2.00000000e-02   -1.20000000e+00   -1.09315044e-04   -3.25685114e-05
307      4.00000000e-02   -1.20000000e+00   -2.13735574e-04   -6.21824186e-05
308      6.00000000e-02   -1.20000000e+00   -3.17930650e-04   -8.90579611e-05
309      8.00000000e-02   -1.20000000e+00   -4.21891174e-04   -1.13392875e-04
310      1.00000000e-01   -1.20000000e+00   -5.25614776e-04   -1.35368625e-04
311      1.20000000e-01   -1.20000000e+00   -6.29105863e-04   -1.55152325e-04
312      1.40000000e-01   -1.20000000e+00   -7.32375793e-04   -1.72898404e-04
313      1.60000000e-01   -1.20000000e+00   -8.35443178e-04   -1.88750069e-04
314      1.80000000e-01   -1.20000000e+00   -9.38334312e-04   -2.02840593e-04
315      2.00000000e-01   -1.20000000e+00   -1.04108374e-03   -2.15294471e-04
316      2.20000000e-01   -1.20000000e+00   -1.14373498e-03   -2.26228452e-04
317      2.40000000e-01   -1.20000000e+00   -1.24634138e-03   -2.35752500e-04
318      2.60000000e-01   -1.20000000e+00   -1.34896581e-03   -2.43805974e-04
319      2.80000000e-01   -1.20000000e+00   -1.45168183e-03   -2.50625631e-04
320      3.00000000e-01   -1.20000000e+00   -1.55457915e-03   -2.56346155e-04
321      3.20000000e-01   -1.20000000e+00   -1.65776297e-03   -2.61063059e-04
322      3.40000000e-01   -1.20000000e+00   -1.76135593e-03   -2.64868557e-04
323      3.60000000e-01   -1.20000000e+00   -1.86550033e-03   -2.67852432e-04
324      3.80000000e-01   -1.20000000e+00   -1.97036083e-03   -2.70102937e-04
325      4.00000000e-01   -1.20000000e+00   -2.07612762e-03   -2.71707773e-04
326      4.20000000e-01   -1.20000000e+00   -2.18302013e-03   -2.72755160e-04
327      4.40000000e-01   -1.20000000e+00   -2.29129184e-03   -2.73335047e-04
328      4.60000000e-01   -1.20000000e+00   -2.40123680e-03   -2.73540517e-04
329      4.80000000e-01   -1.20000000e+00   -2.51319932e-03   -2.73469449e-04
330      5.00000000e-01   -1.20000000e+00   -2.62759024e-03   -2.73226508e-04
331      5.20000000e-01   -1.20000000e+00   -2.74491691e-03   -2.72925597e-04
332      5.40000000e-01   -1.20000000e+00   -2.86584225e-03   -2.72692894e-04
333      5.60000000e-01   -1.20000000e+00   -2.99130666e-03   -2.72670681e-04
334      5.80000000e-01   -1.20000000e+00   -3.12278574e-03   -2.73022203e-04
335      6.00000000e-01   -1.20000000e+00   -3.26284220e-03   -2.73937901e-04
336      6.20000000e-01   -1.20000000e+00   -3.41631579e-03   -2.75643395e-04
