Index         TIME             V(N03529)           V(NCLK)           V(NMYVDD)           V(NRF)        V(X_DFF:N285734)  V(X_DFF:X_U8A:PREB) V(X_DFF:X_U8A:CLRB)   V(X_DFF:INVVRF)
40      1.0125155625e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1649088333e+01   1.1705765688e+01   
41      1.0125166875e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1643216740e+01   1.1699836849e+01   
42      1.0125189375e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1628144240e+01   1.1685433993e+01   
43      1.0125206250e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1614053064e+01   1.1672801365e+01   
44      1.0125210750e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1610203843e+01   1.1669455157e+01   
45      1.0125219750e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1602469775e+01   1.1662766130e+01   
46      1.0125237750e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1586959887e+01   1.1649391469e+01   
47      1.0125273750e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1555836933e+01   1.1622648625e+01   
48      1.0125345750e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1493638208e+01   1.1569155693e+01   
49      1.0125489750e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1369752129e+01   1.1462132905e+01   
50      1.0125777750e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.1123975073e+01   1.1247942053e+01   
51      1.0126353750e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   1.0640039922e+01   1.0818975510e+01   
52      1.0127505750e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   9.6998522174e+00   9.9586902689e+00   
53      1.0129809750e-05   1.1999699996e+01   1.2000000000e+01   1.2000000000e+01   1.2000000000e+01   1.4984827862e-04   1.1650485437e+01   7.9094141948e+00   8.2285888546e+00   
