Index       TIME              V(1)            V(RC_OUT)         V(RG_OUT)    
253      3.35750000e-08    0.00000000e+00   -8.66121178e-17    0.00000000e+00
254      3.37250000e-08    0.00000000e+00   -1.39332537e-16    0.00000000e+00
255      3.38750000e-08    0.00000000e+00   -1.86404340e-16    0.00000000e+00
256      3.40250000e-08    0.00000000e+00   -2.33476144e-16    0.00000000e+00
257      3.41750000e-08    0.00000000e+00   -2.80547947e-16    0.00000000e+00
258      3.43250000e-08    0.00000000e+00   -3.31385494e-16    0.00000000e+00
259      3.44750000e-08    0.00000000e+00   -3.72808681e-16    0.00000000e+00
260      3.46250000e-08    0.00000000e+00   -4.14231868e-16    0.00000000e+00
261      3.47750000e-08    0.00000000e+00   -4.59420799e-16    0.00000000e+00
262      3.49250000e-08    0.00000000e+00   -4.97078241e-16    0.00000000e+00
263      3.50750000e-08    0.00000000e+00   -5.36618556e-16    0.00000000e+00
264      3.52250000e-08    0.00000000e+00   -5.72393126e-16    0.00000000e+00
265      3.53750000e-08    0.00000000e+00   -6.10050569e-16    0.00000000e+00
266      3.55250000e-08    0.00000000e+00   -6.47708011e-16    0.00000000e+00
267      3.56750000e-08    0.00000000e+00   -6.85365454e-16    0.00000000e+00
268      3.58250000e-08    0.00000000e+00   -7.19257152e-16    0.00000000e+00
269      3.59750000e-08    0.00000000e+00   -7.53148850e-16    0.00000000e+00
270      3.61250000e-08    0.00000000e+00   -7.88923420e-16    0.00000000e+00
271      3.62750000e-08    0.00000000e+00   -8.20932247e-16    0.00000000e+00
272      3.64250000e-08    0.00000000e+00   -8.52941073e-16    0.00000000e+00
273      3.65750000e-08    0.00000000e+00   -8.84949899e-16    0.00000000e+00
274      3.67250000e-08    0.00000000e+00   -9.15075853e-16    0.00000000e+00
275      3.68750000e-08    0.00000000e+00   -9.47084679e-16    0.00000000e+00
276      3.70250000e-08    0.00000000e+00   -9.79093505e-16    0.00000000e+00
277      3.71750000e-08    0.00000000e+00   -1.00921946e-15    0.00000000e+00
278      3.73250000e-08    0.00000000e+00   -1.03746254e-15    0.00000000e+00
279      3.74750000e-08    0.00000000e+00   -1.06758850e-15    0.00000000e+00
280      3.76250000e-08    0.00000000e+00   -1.09206583e-15    0.00000000e+00
281      3.77750000e-08    0.00000000e+00   -1.12219179e-15    0.00000000e+00
282      3.79250000e-08    0.00000000e+00   -1.15043487e-15    0.00000000e+00
283      3.80750000e-08    0.00000000e+00   -1.17867795e-15    0.00000000e+00
284      3.82250000e-08    0.00000000e+00   -1.20786247e-15    0.00000000e+00
285      3.83750000e-08    0.00000000e+00   -1.23610555e-15    0.00000000e+00
286      3.85250000e-08    0.00000000e+00   -1.26340720e-15    0.00000000e+00
287      3.86750000e-08    0.00000000e+00   -1.29070884e-15    0.00000000e+00
288      3.88250000e-08    0.00000000e+00   -1.31706905e-15    0.00000000e+00
289      3.89750000e-08    0.00000000e+00   -1.34342926e-15    0.00000000e+00
290      3.91250000e-08    0.00000000e+00   -1.36884804e-15    0.00000000e+00
291      3.92750000e-08    0.00000000e+00   -1.39332537e-15    0.00000000e+00
292      3.94250000e-08    0.00000000e+00   -1.41968558e-15    0.00000000e+00
