Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)         N(M1:VDS)         N(M1:VBS)         N(M1:VGS)        N(M1:VDSAT)   
86      -1.40000000e-02    0.00000000e+00    1.45334242e-09    4.82658087e-08    4.82657981e-08   -1.06917143e-14    3.04292587e-01    2.80000000e-02   -1.40000000e-02    1.40000000e-02    7.42966635e-02
87      -1.30000000e-02    0.00000000e+00    1.34204213e-09    4.45736331e-08    4.45736423e-08    9.15797682e-15    3.04296471e-01    2.60000000e-02   -1.30000000e-02    1.30000000e-02    7.42963292e-02
88      -1.20000000e-02    0.00000000e+00    1.23238111e-09    4.09350011e-08    4.09349823e-08   -1.88442357e-14    3.04300084e-01    2.40000000e-02   -1.20000000e-02    1.20000000e-02    7.42960068e-02
89      -1.10000000e-02    0.00000000e+00    1.12423528e-09    3.73457743e-08    3.73457788e-08    4.47385936e-15    3.04303424e-01    2.20000000e-02   -1.10000000e-02    1.10000000e-02    7.42956960e-02
90      -1.00000000e-02    0.00000000e+00    1.01748373e-09    3.38020606e-08    3.38020949e-08    3.42794848e-14    3.04306486e-01    2.00000000e-02   -1.00000000e-02    1.00000000e-02    7.42953963e-02
91      -9.00000000e-03    0.00000000e+00    9.12007258e-10    3.03000586e-08    3.03000500e-08   -8.60360510e-15    3.04309267e-01    1.80000000e-02   -9.00000000e-03    9.00000000e-03    7.42951074e-02
92      -8.00000000e-03    0.00000000e+00    8.07687202e-10    2.68357598e-08    2.68357785e-08    1.87006186e-14    3.04311764e-01    1.60000000e-02   -8.00000000e-03    8.00000000e-03    7.42948288e-02
93      -7.00000000e-03    0.00000000e+00    7.04404276e-10    2.34053946e-08    2.34053932e-08   -1.39572566e-15    3.04313975e-01    1.40000000e-02   -7.00000000e-03    7.00000000e-03    7.42945602e-02
94      -6.00000000e-03    0.00000000e+00    6.02037692e-10    2.00049769e-08    2.00049556e-08   -2.13365002e-14    3.04315895e-01    1.20000000e-02   -6.00000000e-03    6.00000000e-03    7.42943012e-02
95      -5.00000000e-03    0.00000000e+00    5.00464455e-10    1.66304486e-08    1.66304525e-08    3.97531486e-15    3.04317524e-01    1.00000000e-02   -5.00000000e-03    5.00000000e-03    7.42940515e-02
96      -4.00000000e-03    0.00000000e+00    3.99558889e-10    1.32778102e-08    1.32777809e-08   -2.93568875e-14    3.04318860e-01    8.00000000e-03   -4.00000000e-03    4.00000000e-03    7.42938106e-02
97      -3.00000000e-03    0.00000000e+00    2.99192405e-10    9.94277249e-09    9.94273969e-09   -3.28047778e-14    3.04319900e-01    6.00000000e-03   -3.00000000e-03    3.00000000e-03    7.42935783e-02
98      -2.00000000e-03    0.00000000e+00    1.99233510e-10    6.62104065e-09    6.62103093e-09   -9.71305724e-15    3.04320644e-01    4.00000000e-03   -2.00000000e-03    2.00000000e-03    7.42933543e-02
99      -1.00000000e-03    0.00000000e+00    9.95480940e-11    3.30829856e-09    3.30826903e-09   -2.95315756e-14    3.04321091e-01    2.00000000e-03   -1.00000000e-03    1.00000000e-03    7.42931383e-02
100      0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.04321240e-01    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.42929299e-02
101      1.00000000e-03    0.00000000e+00    9.95480940e-11    3.30829856e-09    3.30826903e-09   -2.95315756e-14    3.04321091e-01    2.00000000e-03    1.00000000e-03    1.00000000e-03    7.42931383e-02
102      2.00000000e-03    0.00000000e+00    1.99233510e-10    6.62104065e-09    6.62103093e-09   -9.71305724e-15    3.04320644e-01    4.00000000e-03    2.00000000e-03    2.00000000e-03    7.42933543e-02
103      3.00000000e-03    0.00000000e+00    2.99192405e-10    9.94277249e-09    9.94273969e-09   -3.28047778e-14    3.04319900e-01    6.00000000e-03    3.00000000e-03    3.00000000e-03    7.42935783e-02
104      4.00000000e-03    0.00000000e+00    3.99558889e-10    1.32778102e-08    1.32777809e-08   -2.93568875e-14    3.04318860e-01    8.00000000e-03    4.00000000e-03    4.00000000e-03    7.42938106e-02
105      5.00000000e-03    0.00000000e+00    5.00464455e-10    1.66304486e-08    1.66304525e-08    3.96497502e-15    3.04317524e-01    1.00000000e-02    5.00000000e-03    5.00000000e-03    7.42940515e-02
106      6.00000000e-03    0.00000000e+00    6.02037692e-10    2.00049765e-08    2.00049556e-08   -2.09022304e-14    3.04315895e-01    1.20000000e-02    6.00000000e-03    6.00000000e-03    7.42943012e-02
107      7.00000000e-03    0.00000000e+00    7.04404276e-10    2.34053942e-08    2.34053932e-08   -9.71795600e-16    3.04313975e-01    1.40000000e-02    7.00000000e-03    7.00000000e-03    7.42945602e-02
108      8.00000000e-03    0.00000000e+00    8.07687202e-10    2.68357594e-08    2.68357785e-08    1.91038692e-14    3.04311764e-01    1.60000000e-02    8.00000000e-03    8.00000000e-03    7.42948288e-02
109      9.00000000e-03    0.00000000e+00    9.12007258e-10    3.03000588e-08    3.03000500e-08   -8.81040032e-15    3.04309267e-01    1.80000000e-02    9.00000000e-03    9.00000000e-03    7.42951074e-02
110      1.00000000e-02    0.00000000e+00    1.01748373e-09    3.38020604e-08    3.38020949e-08    3.44862800e-14    3.04306486e-01    2.00000000e-02    1.00000000e-02    1.00000000e-02    7.42953963e-02
111      1.10000000e-02    0.00000000e+00    1.12423528e-09    3.73457742e-08    3.73457788e-08    4.65997500e-15    3.04303424e-01    2.20000000e-02    1.10000000e-02    1.10000000e-02    7.42956960e-02
112      1.20000000e-02    0.00000000e+00    1.23238111e-09    4.09350009e-08    4.09349823e-08   -1.86374405e-14    3.04300084e-01    2.40000000e-02    1.20000000e-02    1.20000000e-02    7.42960068e-02
113      1.30000000e-02    0.00000000e+00    1.34204213e-09    4.45736331e-08    4.45736423e-08    9.15797682e-15    3.04296471e-01    2.60000000e-02    1.30000000e-02    1.30000000e-02    7.42963292e-02
114      1.40000000e-02    0.00000000e+00    1.45334242e-09    4.82658087e-08    4.82657981e-08   -1.06917143e-14    3.04292587e-01    2.80000000e-02    1.40000000e-02    1.40000000e-02    7.42966635e-02
115      1.50000000e-02    0.00000000e+00    1.56641067e-09    5.20156386e-08    5.20156396e-08    9.74267077e-16    3.04288437e-01    3.00000000e-02    1.50000000e-02    1.50000000e-02    7.42970104e-02
116      1.60000000e-02    0.00000000e+00    1.68138163e-09    5.58275644e-08    5.58275563e-08   -8.13719351e-15    3.04284025e-01    3.20000000e-02    1.60000000e-02    1.60000000e-02    7.42973701e-02
117      1.70000000e-02    0.00000000e+00    1.79839758e-09    5.97061857e-08    5.97061838e-08   -1.95662882e-15    3.04279356e-01    3.40000000e-02    1.70000000e-02    1.70000000e-02    7.42977433e-02
