Index    TIME    {V(DRAIN)}_quad_pce_mean    {V(DRAIN)}_quad_pce_meanPlus    {V(DRAIN)}_quad_pce_meanMinus    {V(DRAIN)}_quad_pce_stddev    {V(DRAIN)}_quad_pce_variance    
179   9.52962200e-07   3.35254600e-01   7.68834500e-01   -9.83253600e-02   4.33579900e-01   1.87991600e-01   
180   9.53249500e-07   3.45795300e-01   7.84613300e-01   -9.30226400e-02   4.38817900e-01   1.92561200e-01   
181   9.53536900e-07   3.55191400e-01   7.97364800e-01   -8.69820100e-02   4.42173400e-01   1.95517300e-01   
182   9.53824200e-07   3.64567400e-01   8.09733600e-01   -8.05987400e-02   4.45166200e-01   1.98172900e-01   
183   9.54111500e-07   3.74130700e-01   8.22245600e-01   -7.39841900e-02   4.48114900e-01   2.00807000e-01   
184   9.54398900e-07   3.82899200e-01   8.32663200e-01   -6.68647900e-02   4.49764000e-01   2.02287700e-01   
185   9.54686200e-07   3.90645200e-01   8.40310600e-01   -5.90201500e-02   4.49665400e-01   2.02198900e-01   
186   9.54973600e-07   3.98408100e-01   8.47432700e-01   -5.06165400e-02   4.49024600e-01   2.01623100e-01   
187   9.55260900e-07   4.06647300e-01   8.55052000e-01   -4.17573400e-02   4.48404700e-01   2.01066700e-01   
188   9.55548300e-07   4.15190200e-01   8.62806600e-01   -3.24261600e-02   4.47616400e-01   2.00360400e-01   
189   9.55835600e-07   4.23422700e-01   8.69351000e-01   -2.25055100e-02   4.45928200e-01   1.98852000e-01   
190   9.56122900e-07   4.31421100e-01   8.74802800e-01   -1.19607200e-02   4.43381800e-01   1.96587400e-01   
191   9.56410300e-07   4.39824600e-01   8.80548500e-01   -8.99329800e-04   4.40723900e-01   1.94237600e-01   
192   9.56697600e-07   4.48794600e-01   8.86964200e-01   1.06250600e-02   4.38169600e-01   1.91992600e-01   
193   9.56985000e-07   4.58334800e-01   8.94095200e-01   2.25744000e-02   4.35760400e-01   1.89887100e-01   
194   9.57559600e-07   4.79192700e-01   9.10811600e-01   4.75737300e-02   4.31618900e-01   1.86294900e-01   
195   9.58134300e-07   5.02495000e-01   9.31320000e-01   7.36700400e-02   4.28825000e-01   1.83890900e-01   
