Index        TIME             V(1S)            V(1)             V(2S)            V(2)             V(3S)            V(3)             V(4S)            V(4)
98      4.51392216e-09   2.00000000e+00   1.00000000e-03   1.01240167e+00   2.00000000e-03   1.23887321e+00   3.00000000e-03   6.72156648e-02   4.00000000e-03   
99      4.55974201e-09   2.00000000e+00   1.00000000e-03   1.02513891e+00   2.00000000e-03   1.24119464e+00   3.00000000e-03   1.14234421e-02   4.00000000e-03   
100     4.57526342e-09   2.00000000e+00   1.00000000e-03   1.02942056e+00   2.00000000e-03   1.24197942e+00   3.00000000e-03   -7.57577358e-03  4.00000000e-03   
101     4.59078484e-09   2.00000000e+00   1.00000000e-03   1.03368540e+00   2.00000000e-03   1.24276339e+00   3.00000000e-03   -2.66224123e-02  4.00000000e-03   
102     4.60398474e-09   2.00000000e+00   1.00000000e-03   1.03729908e+00   2.00000000e-03   1.24342946e+00   3.00000000e-03   -4.28562154e-02  4.00000000e-03   
103     4.61718464e-09   2.00000000e+00   1.00000000e-03   1.04090054e+00   2.00000000e-03   1.24409494e+00   3.00000000e-03   -5.91218592e-02  4.00000000e-03   
104     4.64358445e-09   2.00000000e+00   1.00000000e-03   1.04806667e+00   2.00000000e-03   1.24542415e+00   3.00000000e-03   -9.17441345e-02  4.00000000e-03   
105     4.66998425e-09   2.00000000e+00   1.00000000e-03   1.05518357e+00   2.00000000e-03   1.24675103e+00   3.00000000e-03   -1.24480149e-01  4.00000000e-03   
106     4.69638405e-09   2.00000000e+00   1.00000000e-03   1.06225100e+00   2.00000000e-03   1.24807557e+00   3.00000000e-03   -1.57320783e-01  4.00000000e-03   
107     4.74918365e-09   2.00000000e+00   1.00000000e-03   1.07623656e+00   2.00000000e-03   1.25071767e+00   3.00000000e-03   -2.23279282e-01  4.00000000e-03   
108     4.80198326e-09   2.00000000e+00   1.00000000e-03   1.09002159e+00   2.00000000e-03   1.25335049e+00   3.00000000e-03   -2.89546129e-01  4.00000000e-03   
109     4.85478286e-09   2.00000000e+00   1.00000000e-03   1.10360432e+00   2.00000000e-03   1.25597406e+00   3.00000000e-03   -3.56047478e-01  4.00000000e-03   
110     4.96038207e-09   2.00000000e+00   1.00000000e-03   1.13015603e+00   2.00000000e-03   1.26119356e+00   3.00000000e-03   -4.89457080e-01  4.00000000e-03   
111     5.00000000e-09   2.00000000e+00   1.00000000e-03   1.13990422e+00   2.00000000e-03   1.26314232e+00   3.00000000e-03   -5.39552780e-01  4.00000000e-03   
112     5.04250000e-09   2.00000000e+00   1.00000000e-03   1.15023094e+00   2.00000000e-03   1.26395303e+00   3.00000000e-03   -5.93264326e-01  4.00000000e-03   
113     5.12750000e-09   2.00000000e+00   1.00000000e-03   1.17047545e+00   2.00000000e-03   1.26556219e+00   3.00000000e-03   -7.00446628e-01  4.00000000e-03   
114     5.29750000e-09   2.00000000e+00   1.00000000e-03   1.20930562e+00   2.00000000e-03   1.26873180e+00   3.00000000e-03   -9.12766831e-01  4.00000000e-03   
115     5.46750000e-09   2.00000000e+00   1.00000000e-03   1.24588162e+00   2.00000000e-03   1.27183724e+00   3.00000000e-03   -1.12032267e+00  4.00000000e-03   
116     5.61198251e-09   2.00000000e+00   1.00000000e-03   1.27515931e+00   2.00000000e-03   1.27442676e+00   3.00000000e-03   -1.29118734e+00  4.00000000e-03   
117     5.75646501e-09   2.00000000e+00   1.00000000e-03   1.30274598e+00   2.00000000e-03   1.27697111e+00   3.00000000e-03   -1.45545394e+00  4.00000000e-03   
118     5.88226635e-09   2.00000000e+00   1.00000000e-03   1.32536806e+00   2.00000000e-03   1.27915009e+00   3.00000000e-03   -1.59203863e+00  4.00000000e-03   
119     6.00806769e-09   2.00000000e+00   1.00000000e-03   1.34667184e+00   2.00000000e-03   1.28129558e+00   3.00000000e-03   -1.72171799e+00  4.00000000e-03   
120     6.13386903e-09   2.00000000e+00   1.00000000e-03   1.36664194e+00   2.00000000e-03   1.28340791e+00   3.00000000e-03   -1.84367204e+00  4.00000000e-03   
121     6.25967037e-09   2.00000000e+00   1.00000000e-03   1.38526393e+00   2.00000000e-03   1.28548742e+00   3.00000000e-03   -1.95712966e+00  4.00000000e-03   
122     6.38547172e-09   2.00000000e+00   1.00000000e-03   1.40252438e+00   2.00000000e-03   1.28753445e+00   3.00000000e-03   -2.06137344e+00  4.00000000e-03   
123     6.51127306e-09   2.00000000e+00   1.00000000e-03   1.41841081e+00   2.00000000e-03   1.28954933e+00   3.00000000e-03   -2.15574426e+00  4.00000000e-03   
124     6.63707440e-09   2.00000000e+00   1.00000000e-03   1.43291175e+00   2.00000000e-03   1.29153241e+00   3.00000000e-03   -2.23964541e+00  4.00000000e-03   
125     6.75013389e-09   2.00000000e+00   1.00000000e-03   1.44475319e+00   2.00000000e-03   1.29328775e+00   3.00000000e-03   -2.30567710e+00  4.00000000e-03   
126     6.86319339e-09   2.00000000e+00   1.00000000e-03   1.45546022e+00   2.00000000e-03   1.29501790e+00   3.00000000e-03   -2.36248594e+00  4.00000000e-03   
