Index        TIME               V(VOUT)              V(IN)       
393      9.0290703256e-06    1.8352674404e-03    1.6178329941e+00
394      9.0292385467e-06    1.3982752998e-03    1.6851545970e+00
395      9.0294067678e-06    1.2507124509e-03    1.7523872422e+00
396      9.0297432100e-06    9.9017377163e-04    1.8868701395e+00
397      9.0300000000e-06    8.7575024332e-04    1.9894974781e+00
398      9.0300672884e-06    4.1309668611e-04    1.9969883536e+00
399      9.0301216627e-06    1.8485588920e-04    1.9989829368e+00
400      9.0301760370e-06    3.4209764978e-05    1.9999816234e+00
401      9.0302847856e-06   -1.2104777151e-05    2.0000002104e+00
402      9.0305022828e-06    7.6360652211e-06    2.0000010933e+00
403      9.0307197800e-06   -4.8278716498e-06    1.9999984178e+00
404      9.0311547744e-06    3.8679864032e-06    2.0000015532e+00
405      9.0320247632e-06   -3.4639186002e-06    1.9999984756e+00
406      9.0337647408e-06    3.2789557741e-06    2.0000015030e+00
407      9.0372446960e-06   -3.1902459308e-06    1.9999985081e+00
408      9.0442046064e-06    3.1468528098e-06    2.0000014859e+00
409      9.0581244272e-06   -3.1253715468e-06    1.9999985170e+00
410      9.0859640688e-06    3.1146970978e-06    2.0000014815e+00
411      9.1416433519e-06   -3.1093655192e-06    1.9999985193e+00
412      9.2530019181e-06    3.1067114285e-06    2.0000014803e+00
413      9.4757190506e-06   -3.1053771633e-06    1.9999985199e+00
414      9.7767190506e-06    3.1043996515e-06    2.0000014800e+00
415      1.0000000000e-05   -3.1030697704e-06    1.9999985202e+00
End of Xyce(TM) Simulation
