Index       V(2)              V(1)             I(VDS)      
241      1.16000000e+00    8.00000000e-01   -3.45288046e-03
242      1.18000000e+00    8.00000000e-01   -3.47518359e-03
243      1.20000000e+00    8.00000000e-01   -3.49736798e-03
244      0.00000000e+00    1.00000000e+00    0.00000000e+00
245      2.00000000e-02    1.00000000e+00   -3.93036810e-04
246      4.00000000e-02    1.00000000e+00   -7.49677041e-04
247      6.00000000e-02    1.00000000e+00   -1.07331112e-03
248      8.00000000e-02    1.00000000e+00   -1.36693467e-03
249      1.00000000e-01    1.00000000e+00   -1.63320962e-03
250      1.20000000e-01    1.00000000e+00   -1.87451683e-03
251      1.40000000e-01    1.00000000e+00   -2.09300274e-03
252      1.60000000e-01    1.00000000e+00   -2.29062234e-03
253      1.80000000e-01    1.00000000e+00   -2.46918092e-03
254      2.00000000e-01    1.00000000e+00   -2.63037596e-03
255      2.20000000e-01    1.00000000e+00   -2.77583912e-03
256      2.40000000e-01    1.00000000e+00   -2.90717330e-03
257      2.60000000e-01    1.00000000e+00   -3.02597204e-03
258      2.80000000e-01    1.00000000e+00   -3.13380529e-03
259      3.00000000e-01    1.00000000e+00   -3.23216817e-03
260      3.20000000e-01    1.00000000e+00   -3.32241785e-03
261      3.40000000e-01    1.00000000e+00   -3.40573377e-03
262      3.60000000e-01    1.00000000e+00   -3.48311326e-03
263      3.80000000e-01    1.00000000e+00   -3.55538949e-03
264      4.00000000e-01    1.00000000e+00   -3.62325615e-03
265      4.20000000e-01    1.00000000e+00   -3.68729114e-03
266      4.40000000e-01    1.00000000e+00   -3.74797710e-03
267      4.60000000e-01    1.00000000e+00   -3.80571862e-03
268      4.80000000e-01    1.00000000e+00   -3.86085654e-03
269      5.00000000e-01    1.00000000e+00   -3.91367947e-03
270      5.20000000e-01    1.00000000e+00   -3.96443322e-03
271      5.40000000e-01    1.00000000e+00   -4.01332840e-03
272      5.60000000e-01    1.00000000e+00   -4.06054644e-03
273      5.80000000e-01    1.00000000e+00   -4.10624456e-03
274      6.00000000e-01    1.00000000e+00   -4.15055972e-03
275      6.20000000e-01    1.00000000e+00   -4.19361188e-03
276      6.40000000e-01    1.00000000e+00   -4.23550656e-03
277      6.60000000e-01    1.00000000e+00   -4.27633708e-03
278      6.80000000e-01    1.00000000e+00   -4.31618627e-03
279      7.00000000e-01    1.00000000e+00   -4.35512801e-03
280      7.20000000e-01    1.00000000e+00   -4.39322838e-03
281      7.40000000e-01    1.00000000e+00   -4.43054677e-03
282      7.60000000e-01    1.00000000e+00   -4.46713671e-03
283      7.80000000e-01    1.00000000e+00   -4.50304658e-03
284      8.00000000e-01    1.00000000e+00   -4.53832028e-03
285      8.20000000e-01    1.00000000e+00   -4.57299774e-03
286      8.40000000e-01    1.00000000e+00   -4.60711538e-03
287      8.60000000e-01    1.00000000e+00   -4.64070651e-03
288      8.80000000e-01    1.00000000e+00   -4.67380164e-03
289      9.00000000e-01    1.00000000e+00   -4.70642884e-03
290      9.20000000e-01    1.00000000e+00   -4.73861392e-03
291      9.40000000e-01    1.00000000e+00   -4.77038073e-03
292      9.60000000e-01    1.00000000e+00   -4.80175130e-03
293      9.80000000e-01    1.00000000e+00   -4.83274606e-03
294      1.00000000e+00    1.00000000e+00   -4.86338394e-03
295      1.02000000e+00    1.00000000e+00   -4.89368258e-03
296      1.04000000e+00    1.00000000e+00   -4.92365840e-03
297      1.06000000e+00    1.00000000e+00   -4.95332674e-03
298      1.08000000e+00    1.00000000e+00   -4.98270193e-03
299      1.10000000e+00    1.00000000e+00   -5.01179743e-03
300      1.12000000e+00    1.00000000e+00   -5.04062588e-03
301      1.14000000e+00    1.00000000e+00   -5.06919922e-03
302      1.16000000e+00    1.00000000e+00   -5.09752873e-03
303      1.18000000e+00    1.00000000e+00   -5.12562515e-03
304      1.20000000e+00    1.00000000e+00   -5.15349871e-03
305      0.00000000e+00    1.20000000e+00    0.00000000e+00
306      2.00000000e-02    1.20000000e+00   -4.83167351e-04
307      4.00000000e-02    1.20000000e+00   -9.26659726e-04
308      6.00000000e-02    1.20000000e+00   -1.33393834e-03
309      8.00000000e-02    1.20000000e+00   -1.70808053e-03
310      1.00000000e-01    1.20000000e+00   -2.05183390e-03
311      1.20000000e-01    1.20000000e+00   -2.36766242e-03
312      1.40000000e-01    1.20000000e+00   -2.65778622e-03
313      1.60000000e-01    1.20000000e+00   -2.92421668e-03
314      1.80000000e-01    1.20000000e+00   -3.16878792e-03
315      2.00000000e-01    1.20000000e+00   -3.39318613e-03
316      2.20000000e-01    1.20000000e+00   -3.59897758e-03
317      2.40000000e-01    1.20000000e+00   -3.78763599e-03
318      2.60000000e-01    1.20000000e+00   -3.96056847e-03
319      2.80000000e-01    1.20000000e+00   -4.11913761e-03
320      3.00000000e-01    1.20000000e+00   -4.26467415e-03
321      3.20000000e-01    1.20000000e+00   -4.39847485e-03
322      3.40000000e-01    1.20000000e+00   -4.52178556e-03
323      3.60000000e-01    1.20000000e+00   -4.63577821e-03
324      3.80000000e-01    1.20000000e+00   -4.74153298e-03
325      4.00000000e-01    1.20000000e+00   -4.84002874e-03
326      4.20000000e-01    1.20000000e+00   -4.93213961e-03
327      4.40000000e-01    1.20000000e+00   -5.01863557e-03
328      4.60000000e-01    1.20000000e+00   -5.10018705e-03
329      4.80000000e-01    1.20000000e+00   -5.17737299e-03
330      5.00000000e-01    1.20000000e+00   -5.25069097e-03
331      5.20000000e-01    1.20000000e+00   -5.32056794e-03
332      5.40000000e-01    1.20000000e+00   -5.38737058e-03
333      5.60000000e-01    1.20000000e+00   -5.45141452e-03
334      5.80000000e-01    1.20000000e+00   -5.51297238e-03
335      6.00000000e-01    1.20000000e+00   -5.57228061e-03
336      6.20000000e-01    1.20000000e+00   -5.62954514e-03
337      6.40000000e-01    1.20000000e+00   -5.68494615e-03
338      6.60000000e-01    1.20000000e+00   -5.73864197e-03
339      6.80000000e-01    1.20000000e+00   -5.79077234e-03
340      7.00000000e-01    1.20000000e+00   -5.84146110e-03
341      7.20000000e-01    1.20000000e+00   -5.89081844e-03
342      7.40000000e-01    1.20000000e+00   -5.93894282e-03
343      7.60000000e-01    1.20000000e+00   -5.98592246e-03
344      7.80000000e-01    1.20000000e+00   -6.03183677e-03
345      8.00000000e-01    1.20000000e+00   -6.07675739e-03
346      8.20000000e-01    1.20000000e+00   -6.12074918e-03
347      8.40000000e-01    1.20000000e+00   -6.16387107e-03
348      8.60000000e-01    1.20000000e+00   -6.20617667e-03
349      8.80000000e-01    1.20000000e+00   -6.24771497e-03
350      9.00000000e-01    1.20000000e+00   -6.28853078e-03
351      9.20000000e-01    1.20000000e+00   -6.32866523e-03
352      9.40000000e-01    1.20000000e+00   -6.36815613e-03
353      9.60000000e-01    1.20000000e+00   -6.40703832e-03
354      9.80000000e-01    1.20000000e+00   -6.44534399e-03
355      1.00000000e+00    1.20000000e+00   -6.48310291e-03
356      1.02000000e+00    1.20000000e+00   -6.52034268e-03
357      1.04000000e+00    1.20000000e+00   -6.55708895e-03
358      1.06000000e+00    1.20000000e+00   -6.59336556e-03
359      1.08000000e+00    1.20000000e+00   -6.62919477e-03
360      1.10000000e+00    1.20000000e+00   -6.66459734e-03
361      1.12000000e+00    1.20000000e+00   -6.69959271e-03
362      1.14000000e+00    1.20000000e+00   -6.73419913e-03
363      1.16000000e+00    1.20000000e+00   -6.76843375e-03
364      1.18000000e+00    1.20000000e+00   -6.80231274e-03
365      1.20000000e+00    1.20000000e+00   -6.83585141e-03
End of Xyce(TM) Simulation
