Index       TIME             V(VDD)             V(IN)            V(OUT)      
249      1.48031568e-09    1.00000000e+00    1.00000000e+00    3.79911407e-02
250      1.48063137e-09    1.00000000e+00    1.00000000e+00    3.67481435e-02
251      1.48094705e-09    1.00000000e+00    1.00000000e+00    3.55241442e-02
252      1.48157841e-09    1.00000000e+00    1.00000000e+00    3.31870871e-02
253      1.48284114e-09    1.00000000e+00    1.00000000e+00    2.89294034e-02
254      1.48536660e-09    1.00000000e+00    1.00000000e+00    2.18756983e-02
255      1.48789206e-09    1.00000000e+00    1.00000000e+00    1.64701878e-02
256      1.49041752e-09    1.00000000e+00    1.00000000e+00    1.23584218e-02
257      1.49546844e-09    1.00000000e+00    1.00000000e+00    6.82777079e-03
258      1.50557028e-09    1.00000000e+00    1.00000000e+00    1.79853807e-03
259      1.51567213e-09    1.00000000e+00    1.00000000e+00    4.65195817e-04
260      1.53587581e-09    1.00000000e+00    1.00000000e+00   -3.86728891e-05
261      1.55405912e-09    1.00000000e+00    1.00000000e+00    2.10645181e-06
262      1.59042575e-09    1.00000000e+00    1.00000000e+00   -1.91669067e-07
263      1.62679238e-09    1.00000000e+00    1.00000000e+00    6.40672301e-07
264      1.69952563e-09    1.00000000e+00    1.00000000e+00    2.81379958e-07
265      1.84499214e-09    1.00000000e+00    1.00000000e+00    5.27412707e-07
266      2.02000000e-09    1.00000000e+00    1.00000000e+00    3.29575413e-07
267      2.02187602e-09    1.00000000e+00    9.95309948e-01   -1.01734102e-03
268      2.02347434e-09    1.00000000e+00    9.91314151e-01   -1.74695109e-03
269      2.02507266e-09    1.00000000e+00    9.87318353e-01   -2.41441298e-03
270      2.02826930e-09    1.00000000e+00    9.79326758e-01   -3.43840122e-03
271      2.03466257e-09    1.00000000e+00    9.63343568e-01   -4.68226162e-03
272      2.04744913e-09    1.00000000e+00    9.31377187e-01   -5.71230299e-03
273      2.06000000e-09    1.00000000e+00    9.00000000e-01   -6.05681927e-03
274      2.06075102e-09    1.00000000e+00    8.92489826e-01   -7.46164602e-03
275      2.06134803e-09    1.00000000e+00    8.86519719e-01   -8.51699482e-03
276      2.06194504e-09    1.00000000e+00    8.80549612e-01   -9.54307154e-03
277      2.06313906e-09    1.00000000e+00    8.68609397e-01   -1.14328250e-02
278      2.06552710e-09    1.00000000e+00    8.44728969e-01   -1.46730534e-02
279      2.07030319e-09    1.00000000e+00    7.96968111e-01   -1.96082675e-02
280      2.07985536e-09    1.00000000e+00    7.01446397e-01   -2.45537190e-02
281      2.08940753e-09    1.00000000e+00    6.05924682e-01   -1.60323973e-02
282      2.09068310e-09    1.00000000e+00    5.93168982e-01   -1.27949693e-02
283      2.09195867e-09    1.00000000e+00    5.80413283e-01   -9.22906661e-03
284      2.09450981e-09    1.00000000e+00    5.54901884e-01   -2.74480329e-05
285      2.09706095e-09    1.00000000e+00    5.29390485e-01    1.18725883e-02
286      2.09961209e-09    1.00000000e+00    5.03879086e-01    2.69725646e-02
287      2.10216323e-09    1.00000000e+00    4.78367687e-01    4.57100170e-02
288      2.10471437e-09    1.00000000e+00    4.52856288e-01    6.86143964e-02
289      2.10726551e-09    1.00000000e+00    4.27344890e-01    9.61105553e-02
290      2.10981665e-09    1.00000000e+00    4.01833491e-01    1.28383467e-01
291      2.11236779e-09    1.00000000e+00    3.76322092e-01    1.65356927e-01
292      2.11491893e-09    1.00000000e+00    3.50810693e-01    2.06754201e-01
293      2.11747007e-09    1.00000000e+00    3.25299294e-01    2.52199675e-01
294      2.12002121e-09    1.00000000e+00    2.99787895e-01    3.01264959e-01
295      2.12257235e-09    1.00000000e+00    2.74276496e-01    3.53487282e-01
296      2.12512349e-09    1.00000000e+00    2.48765097e-01    4.08382246e-01
297      2.12767463e-09    1.00000000e+00    2.23253698e-01    4.65443114e-01
298      2.13277691e-09    1.00000000e+00    1.72230900e-01    5.83464354e-01
299      2.14000000e-09    1.00000000e+00    1.00000000e-01    7.45160114e-01
300      2.14032087e-09    1.00000000e+00    9.91978133e-02    7.52477715e-01
301      2.14057255e-09    1.00000000e+00    9.85686320e-02    7.58129708e-01
302      2.14082422e-09    1.00000000e+00    9.79394508e-02    7.63731611e-01
303      2.14132756e-09    1.00000000e+00    9.66810882e-02    7.74670229e-01
304      2.14233425e-09    1.00000000e+00    9.41643632e-02    7.95468791e-01
305      2.14434763e-09    1.00000000e+00    8.91309131e-02    8.32736005e-01
306      2.14636101e-09    1.00000000e+00    8.40974631e-02    8.64436514e-01
307      2.14837439e-09    1.00000000e+00    7.90640130e-02    8.90975187e-01
308      2.15038777e-09    1.00000000e+00    7.40305629e-02    9.12866278e-01
309      2.15240115e-09    1.00000000e+00    6.89971129e-02    9.30676246e-01
310      2.15441453e-09    1.00000000e+00    6.39636628e-02    9.44985409e-01
311      2.15642791e-09    1.00000000e+00    5.89302128e-02    9.56355243e-01
