Index     V(DRAIN)           V(GATE)        {-I(VDRAIN)}   
431    -7.1000e-02  -4.00000000e-01    -1.280e-05 
432    -7.0000e-02  -4.00000000e-01    -1.259e-05 
433    -6.9000e-02  -4.00000000e-01    -1.237e-05 
434    -6.8000e-02  -4.00000000e-01    -1.216e-05 
435    -6.7000e-02  -4.00000000e-01    -1.195e-05 
436    -6.6000e-02  -4.00000000e-01    -1.175e-05 
437    -6.5000e-02  -4.00000000e-01    -1.154e-05 
438    -6.4000e-02  -4.00000000e-01    -1.134e-05 
439    -6.3000e-02  -4.00000000e-01    -1.113e-05 
440    -6.2000e-02  -4.00000000e-01    -1.093e-05 
441    -6.1000e-02  -4.00000000e-01    -1.073e-05 
442    -6.0000e-02  -4.00000000e-01    -1.053e-05 
443    -5.9000e-02  -4.00000000e-01    -1.034e-05 
444    -5.8000e-02  -4.00000000e-01    -1.014e-05 
445    -5.7000e-02  -4.00000000e-01    -9.948e-06 
446    -5.6000e-02  -4.00000000e-01    -9.756e-06 
447    -5.5000e-02  -4.00000000e-01    -9.565e-06 
448    -5.4000e-02  -4.00000000e-01    -9.376e-06 
449    -5.3000e-02  -4.00000000e-01    -9.187e-06 
450    -5.2000e-02  -4.00000000e-01    -9.000e-06 
451    -5.1000e-02  -4.00000000e-01    -8.815e-06 
452    -5.0000e-02  -4.00000000e-01    -8.630e-06 
453    -4.9000e-02  -4.00000000e-01    -8.447e-06 
454    -4.8000e-02  -4.00000000e-01    -8.265e-06 
455    -4.7000e-02  -4.00000000e-01    -8.084e-06 
456    -4.6000e-02  -4.00000000e-01    -7.904e-06 
457    -4.5000e-02  -4.00000000e-01    -7.725e-06 
458    -4.4000e-02  -4.00000000e-01    -7.547e-06 
459    -4.3000e-02  -4.00000000e-01    -7.370e-06 
460    -4.2000e-02  -4.00000000e-01    -7.194e-06 
461    -4.1000e-02  -4.00000000e-01    -7.019e-06 
462    -4.0000e-02  -4.00000000e-01    -6.845e-06 
463    -3.9000e-02  -4.00000000e-01    -6.672e-06 
464    -3.8000e-02  -4.00000000e-01    -6.499e-06 
465    -3.7000e-02  -4.00000000e-01    -6.327e-06 
466    -3.6000e-02  -4.00000000e-01    -6.155e-06 
467    -3.5000e-02  -4.00000000e-01    -5.985e-06 
468    -3.4000e-02  -4.00000000e-01    -5.814e-06 
469    -3.3000e-02  -4.00000000e-01    -5.645e-06 
470    -3.2000e-02  -4.00000000e-01    -5.475e-06 
471    -3.1000e-02  -4.00000000e-01    -5.306e-06 
472    -3.0000e-02  -4.00000000e-01    -5.138e-06 
473    -2.9000e-02  -4.00000000e-01    -4.969e-06 
474    -2.8000e-02  -4.00000000e-01    -4.801e-06 
475    -2.7000e-02  -4.00000000e-01    -4.633e-06 
476    -2.6000e-02  -4.00000000e-01    -4.465e-06 
477    -2.5000e-02  -4.00000000e-01    -4.297e-06 
478    -2.4000e-02  -4.00000000e-01    -4.128e-06 
479    -2.3000e-02  -4.00000000e-01    -3.960e-06 
480    -2.2000e-02  -4.00000000e-01    -3.792e-06 
481    -2.1000e-02  -4.00000000e-01    -3.623e-06 
