Index     V(DRAIN)           V(GATE)          N(M1:IDS)     {(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}     N(M1:GM)      {N(M1:GM)-{(N(M2:IDS)-N(M1:IDS))/(V(GATE2)-V(GATE))}}     N(M1:VTH)       N(M1:VDSSAT)   
116      1.60000000e-02    0.00000000e+00    1.70311935e-09    5.65524206e-08    5.65538580e-08    0.00000000e+00    2.92297291e-01    7.48459685e-02
117      1.70000000e-02    0.00000000e+00    1.82168713e-09    6.04885543e-08    6.04843301e-08    0.00000000e+00    2.92292622e-01    7.48463443e-02
118      1.80000000e-02    0.00000000e+00    1.94248737e-09    6.44886572e-08    6.44876546e-08    0.00000000e+00    2.92287700e-01    7.48467341e-02
119      1.90000000e-02    0.00000000e+00    2.06568321e-09    6.85683678e-08    6.85691543e-08    0.00000000e+00    2.92282530e-01    7.48471384e-02
120      2.00000000e-02    0.00000000e+00    2.19144839e-09    7.27358445e-08    7.27344997e-08    0.00000000e+00    2.92277116e-01    7.48475578e-02
121      2.10000000e-02    0.00000000e+00    2.31996766e-09    7.69901831e-08    7.69897230e-08    0.00000000e+00    2.92271464e-01    7.48479928e-02
122      2.20000000e-02    0.00000000e+00    2.45143682e-09    8.13398553e-08    8.13412182e-08    0.00000000e+00    2.92265578e-01    7.48484441e-02
123      2.30000000e-02    0.00000000e+00    2.58606234e-09    8.57980795e-08    8.57957281e-08    0.00000000e+00    2.92259464e-01    7.48489122e-02
124      2.40000000e-02    0.00000000e+00    2.72406061e-09    9.03642209e-08    9.03603194e-08    0.00000000e+00    2.92253126e-01    7.48493977e-02
125      2.50000000e-02    0.00000000e+00    2.86565693e-09    9.50422508e-08    9.50423476e-08    0.00000000e+00    2.92246570e-01    7.48499013e-02
126      2.60000000e-02    0.00000000e+00    3.01108425e-09    9.98546601e-08    9.98494162e-08    0.00000000e+00    2.92239801e-01    7.48504237e-02
127      2.70000000e-02    0.00000000e+00    3.16058191e-09    1.04788175e-07    1.04789334e-07    0.00000000e+00    2.92232823e-01    7.48509655e-02
128      2.80000000e-02    0.00000000e+00    3.31439445e-09    1.09871225e-07    1.09870074e-07    0.00000000e+00    2.92225643e-01    7.48515276e-02
129      2.90000000e-02    0.00000000e+00    3.47277058e-09    1.15099440e-07    1.15099742e-07    0.00000000e+00    2.92218264e-01    7.48521105e-02
130      3.00000000e-02    0.00000000e+00    3.63596246e-09    1.20486871e-07    1.20486546e-07    0.00000000e+00    2.92210693e-01    7.48527151e-02
131      3.10000000e-02    0.00000000e+00    3.80422525e-09    1.26041125e-07    1.26038789e-07    0.00000000e+00    2.92202934e-01    7.48533422e-02
132      3.20000000e-02    0.00000000e+00    3.97781712e-09    1.31764861e-07    1.31764863e-07    0.00000000e+00    2.92194992e-01    7.48539926e-02
133      3.30000000e-02    0.00000000e+00    4.15699942e-09    1.37673063e-07    1.37673257e-07    0.00000000e+00    2.92186871e-01    7.48546672e-02
134      3.40000000e-02    0.00000000e+00    4.34203726e-09    1.43772710e-07    1.43772573e-07    0.00000000e+00    2.92178578e-01    7.48553669e-02
135      3.50000000e-02    0.00000000e+00    4.53320016e-09    1.50072208e-07    1.50071552e-07    0.00000000e+00    2.92170116e-01    7.48560925e-02
136      3.60000000e-02    0.00000000e+00    4.73076295e-09    1.56581430e-07    1.56579095e-07    0.00000000e+00    2.92161490e-01    7.48568450e-02
137      3.70000000e-02    0.00000000e+00    4.93500658e-09    1.63303850e-07    1.63304300e-07    0.00000000e+00    2.92152705e-01    7.48576255e-02
