Index       TIME              V(VI)             V(1)       
464      4.14728845e-06    1.99721466e+00    1.52272236e+00
465      4.14894603e-06    2.01276697e+00    1.34170954e+00
466      4.15060361e-06    2.02810097e+00    1.17113301e+00
467      4.15226119e-06    2.04321498e+00    1.01915007e+00
468      4.15391876e-06    2.05810736e+00    8.95703411e-01
469      4.15557634e-06    2.07277651e+00    8.01228335e-01
470      4.15723392e-06    2.08722082e+00    7.29978258e-01
471      4.15889150e-06    2.10143873e+00    6.74173097e-01
472      4.16054908e-06    2.11542871e+00    6.28990803e-01
473      4.16220666e-06    2.12918923e+00    5.90994219e-01
474      4.16552182e-06    2.15601594e+00    5.29980729e-01
475      4.17215213e-06    2.20685189e+00    4.42810002e-01
